"Conference","Date","Place","Proceedings"
"WikiSym 2005","14â\u0080\u009316 October","San Diego, California, US","[3]"
"WikiSym 2006","21â\u0080\u009323 August","Odense, Denmark","[4]"
"WikiSym 2007","21â\u0080\u009323 October","Montreal, Canada","[5]"
"WikiSym 2008","8â\u0080\u009310 September","Porto, Portugal","[6]"
"WikiSym 2009","25â\u0080\u009327 October","Orlando, Florida, US","[7]"
"WikiSym 2010","7â\u0080\u00939 July","GdaÅ\u0084sk, Poland","[8][dead link]"
"WikiSym 2011","3â\u0080\u00935 October","Mountain View, California, US","[9]"
"WikiSym 2012","27â\u0080\u009329 August","Linz, Austria","[10]"
"WikiSym 2013","5â\u0080\u00937 August","Hong Kong","[11][dead link]"
"WikiSym 2014","27-29 August","Berlin, Germany","[12]"
"WikiSym 2015","19-21 August","San Francisco, US","[13]"

