"Fiction work(s)","Film adaptation(s)"
"A Painted Devil (1966), Thomas P. Cullinan","The Beguiled (1971)"
"A Painted House (2001), John Grisham","A Painted House (2003) (TV)"
"The Painted Veil (1925), W. Somerset Maugham","The Painted Veil (1934) The Seventh Sin (1957) The Painted Veil (2006)"
"Pan Wolodyjowski (Fire in the Steppe) (1888), Henryk Sienkiewicz","Colonel Wolodyjowski (1968)"
"Parineeta (1914), Sharat Chandra Chattopadhyay","Parineeta (1942) Parineeta (1953) Parineeta (1969) Parineeta (2005)"
"Paris Blues (1957), Harold Flender","Paris Blues (1961)"
"Les Particules Ã\u0089lÃ©mentaires (1998) (a.k.a. Atomised), Michel Houellebecq","The Elementary Particles (2006)"
"PasÃ³ por aquÃ­ (Once in the Saddle) (1947), Eugene Manlove Rhodes","Four Faces West (1948)"
"A Passage to India (1924), E. M. Forster","A Passage to India (1984)"
"Patriot Games (1987), Tom Clancy","Patriot Games (1992)"
"The Peacock Spring (1975), Rumer Godden","The Peacock Spring (1996) (TV)"
"The Pelican Brief (1992), John Grisham","The Pelican Brief (1993)"
"The Penal Colony (1987), Richard Herley","No Escape (1994)"
"The People That Time Forgot (1918), Edgar Rice Burroughs","The People That Time Forgot (1977)"
"Percy Jackson & the Olympians (2005â\u0080\u00932009) (series), Rick Riordan The Lightning Thief (2005) * The Sea of Monsters (2006)","Percy Jackson & the Olympians (2010â\u0080\u0093present) (series) Percy Jackson & the Olympians: The Lightning Thief (2010) * Percy Jackson & the Olympians: The Sea of Monsters (2013)"
"Perfect Little Angels (1989), Andrew Neiderman","Perfect Little Angels (1998) (TV)"
"Pet Sematary (1983), Stephen King","Pet Sematary (1989) * Pet Sematary Two (1992)"
"Peter Pan, or The Boy Who Wouldn't Grow Up (1904) (play) Peter and Wendy (1911) (novel), J. M. Barrie","Peter Pan (1924) Peter Pan (1953) * Return to Never Land (2002) Peter Pan (1976) (TV) The Lost Boys (1978) Peter Pan (USSR, 1987) Hook (1991) Peter Pan (2003) Neverland (2003) Peter Pan (2003) Neverland (2003) Finding Neverland (2004) Tinker Bell (2008â\u0080\u00932012) (series) Tinker Bell (2008) (V) * Tinker Bell and the Lost Treasure (2009) ** Tinker Bell and the Great Fairy Rescue (2010) (V) *** Pixie Hollow Games (2011) (V) **** Secret of the Wings (2012) (V)"
"Peyton Place (1956), Grace Metalious","Peyton Place (1957)"
"The Phantom Crown: The Story of Maximilian & Carlota of Mexico (1934), Bertita Harding","Juarez (1939)"
"Phantom Lady (1942), Cornell Woolrich (as William Irish)","Phantom Lady (1944)"
"The Phantom of the Opera (1909â\u0080\u00931910, 1911), Gaston Leroux","The Phantom of the Opera (1925) Phantom of the Opera (1943) The Phantom of the Opera (1962) The Phantom of the Opera (1989) The Phantom of the Opera (1998) The Phantom of the Opera (2004)"
"Pharaoh (1895), BolesÅ\u0082aw Prus","Pharaoh (1966)"
"The Philadelphian (1957), Richard P. Powell","The Young Philadelphians (1959)"
"El Pianista (1985), Manuel VÃ¡zquez MontalbÃ¡n","The Pianist (1998)"
