"Title","Author","Released"
"Spock Must Die!","James Blish","February 1970"
"Star Trek: The New Voyages â\u0080","(edited by Sondra Marshak and Myrna Culbreath)","March 1976"
"Spock, Messiah!","Theodore Cogswell and Charles A. Spano, Jr.","September 1976"
"The Price of the Phoenix â\u0080¡","Sondra Marshak and Myrna Culbreath","July 1977"
"Planet of Judgment â\u0080¡","Joe Haldeman","August 1977"
"Star Trek: The New Voyages 2 â\u0080","(edited by Sondra Marshak and Myrna Culbreath)","January 1978"
"Vulcan! â\u0080¡","Kathleen Sky","September 1978"
"The Starless World â\u0080¡","Gordon Eklund","November 1978"
"Trek to Madworld â\u0080¡","Stephen Goldin","January 1979"
"World Without End â\u0080¡","Joe Haldeman","February 1979"
"The Fate of the Phoenix â\u0080¡","Sondra Marshak and Myrna Culbreath","May 1979"
"Devil World â\u0080¡","Gordon Eklund","November 1979"
"Perry's Planet â\u0080¡","Jack C. Haldeman II","February 1980"
"The Galactic Whirlpool â\u0080¡","David Gerrold","October 1980"
"Death's Angel â\u0080¡","Kathleen Sky","April 1981"

