"Country","City","Name of diplomatic missions"
"Australia","Canberra","Taipei Economic and Cultural Office in Australia"
"Australia","Brisbane","Taipei Economic and Cultural Office, Brisbane, Australia"
"Australia","Melbourne","Taipei Economic and Cultural Office Melbourne"
"Australia","Sydney","Taipei Economic and Cultural Office in Sydney"
"Fiji","Suva","Trade Mission of the Republic of China, Suva, Republic of Fiji Islands"
"Kiribati","Tarawa","Embassy of the Republic of China (Taiwan), Tarawa, Republic of Kiribati"
"Marshall Islands","Majuro","Embassy of the Republic of China (Taiwan), Majuro, Republic of the Marshall Islands"
"Nauru","Yaren","Embassy of the Republic of China (Taiwan), Yaren, Republic of Nauru"
"New Zealand","Wellington","Taipei Economic & Cultural Office, New Zealand"
"New Zealand","Auckland","Taipei Economic and Cultural Office, Auckland"
"Palau","Koror","Embassy of the Republic of China (Taiwan) in the Republic of Palau"
"Papua New Guinea","Port Moresby","Trade Mission of the Republic of China (Taiwan) in Papua New Guinea"
"Solomon Islands","Honiara","Embassy of the Republic of China (Taiwan) in Solomon Islands"
"Tuvalu","Funafuti","Embassy of the Republic of China (Taiwan) to Tuvalu"

