"Peak","Height (m)","Prom. (m)","Grid ref.",""
"Mangerton Mountain","843","586","V980807","Knockboy"
"Knockboy","706","610","W004620","Knockboy"
"Crohane","656","388","W050829","Knockboy"
"Knocknamanagh","637","180","V990661","Knockboy"
"Carran","604","238","W052678","Knockboy"
"Peakeen Mountain","555","278","V903765","Knockboy"
"Torc Mountain","535","298","V955839","Knockboy"
"Knockanaguish","509","186","V919768","Knockboy"
"Coomagearlahy","506","185","W095772","Knockboy"
"Bennaunmore","454","152","W035819","Knockboy"
"Cappanlivane","406","246","W027771","Knockboy"

