"Country","00Winners","0Finalists","Finals","Clubs won in final(s)","Clubs did not win in final(s)"
"Bulgaria","9","0 7[4]","0 15[5]","Beroe Stara Zagora (4) Slavia Sofia (2) Trakia Plovdiv (1) Lokomotiv Sofia (1) Akademik Sofia (1)","Levski Sofia (1 + Runner-up spot in 1961.) Spartak Plovdiv (1) Spartak Sofia (1) Beroe Stara Zagora (1) Slavia Sofia (1) Trakia Plovdiv (1) Etar Veliko Tarnovo (1)"
"Greece","6","3","09","Olympiacos Piraeus (1) Panionios Smyrna (Athens) (1) Panathinaikos Athens (1) Iraklis Thessaloniki (1) OFI Crete (1) Edessaikos Edessa (1)","AEK Athens (1) Panionios Smyrna (Athens) (1) PAS Giannina Ioannina (1)"
"Romania","5","0 7[3]","0 11[5]","Rapid BucureÅ\u009Fti (2) Steagul RoÅ\u009Fu BraÅ\u009Fov (1) Sportul StudenÈ\u009Besc BucureÅ\u009Fti (1) Inter Sibiu (1)","ArgeÅ\u009F PiteÅ\u009Fti (2 + Runner-up spot in 1983â\u0080\u009384.) Farul ConstanÅ£a (1) ASA 1962 TÃ¢rgu MureÈ\u0099 (1) Sportul StudenÈ\u009Besc BucureÅ\u009Fti (1) Jiul PetroÅ\u009Fani (1) OÅ£elul GalaÅ£i (1)"
"Yugoslavia","4","5","09","Dinamo Zagreb (1) NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) VeleÅ¾ Mostar (1) ___ ___","NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) â\u0080\u0094â\u0080\u0094 Vardar Skopje (2) BuduÄ\u0087nost Podgorica (1)"
"","2","1","3","Dinamo Zagreb (1) NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) VeleÅ¾ Mostar (1) ___ ___","NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) â\u0080\u0094â\u0080\u0094 Vardar Skopje (2) BuduÄ\u0087nost Podgorica (1)"
"","1","1","2","Dinamo Zagreb (1) NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) VeleÅ¾ Mostar (1) ___ ___","NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) â\u0080\u0094â\u0080\u0094 Vardar Skopje (2) BuduÄ\u0087nost Podgorica (1)"
"","1","-","1","Dinamo Zagreb (1) NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) VeleÅ¾ Mostar (1) ___ ___","NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) â\u0080\u0094â\u0080\u0094 Vardar Skopje (2) BuduÄ\u0087nost Podgorica (1)"
"","-","2","2","Dinamo Zagreb (1) NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) VeleÅ¾ Mostar (1) ___ ___","NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) â\u0080\u0094â\u0080\u0094 Vardar Skopje (2) BuduÄ\u0087nost Podgorica (1)"
"","-","1","1","Dinamo Zagreb (1) NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) VeleÅ¾ Mostar (1) ___ ___","NK Rijeka (1) RadniÄ\u008Dki NiÅ¡ (1) â\u0080\u0094â\u0080\u0094 Vardar Skopje (2) BuduÄ\u0087nost Podgorica (1)"
"Turkey","3","1","04","FenerbahÃ§e Ä°stanbul (1) SarÄ±yer Ä°stanbul (1) Samsunspor Samsun (1)","EskiÅ\u009Fehirspor EskiÅ\u009Fehir (1)"
"Albania","1","3","04","Partizani Tirana (1)","Dinamo Tirana (1) Besa KavajÃ« (1) 17 NÃ«ntori Tirana (1)"
"Total","280","260","52","52 Teams in Finals, since 1961 and 1983â\u0080\u009384 editions were contested in Group Format."

