"Caribbean","Pacific","Africa, Indian Ocean, Mediterranean and South China Sea (AIMS)"
"Anguilla[a][b][c]","American Samoa[d][e][c]","Bahrain[a][e]"
"Antigua and Barbuda","Cook Islands[c]","Cape Verde[e]"
"Aruba[a][f]","Federated States of Micronesia","Comoros[g]"
"Bahamas","Fiji","Guinea-Bissau[g][e]"
"Barbados","French Polynesia[a][b][c]","Maldives[f]"
"Belize","Guam[d][e][c]","Mauritius"
"British Virgin Islands[a][b][c]","Kiribati[g]","SÃ£o TomÃ© and PrÃ­ncipe[g][e]"
"Cuba[e]","Marshall Islands","Seychelles"
"Dominica","Nauru","Singapore[e]"
"Dominican Republic[f]","New Caledonia[a][b][c]"

