"Year","Title","Role","Director"
"1974","Antoine et SÃ©bastien (fr)","SÃ©bastien","Jean-Marie PÃ©rier"
"1974","OK patron (fr)","LÃ©on Bonnet","Claude Vital (fr)"
"1975","That Most Important Thing: Love","Jacques Chevalier","Andrzej Å»uÅ\u0082awski"
"1976","The Good and the Bad","Jacques","Claude Lelouch"
"1976","Mado","Pierre","Claude Sautet"
"1977","Violette et FranÃ§ois (fr)","FranÃ§ois","Jacques Rouffio"
"1977","Le Point de mire (fr)","Julien","Jean-Claude Tramont"
"1978","Dirty Dreamer","JÃ©rÃ´me","Jean-Marie PÃ©rier"
"1978","The Savage State","Avit","Francis Girod"
"1979","Return to the Beloved","Julien","Jean-FranÃ§ois Adam"
"1979","Us Two","Simon Lacassaigne","Claude Lelouch"
"1980","Slow Motion a.k.a. Every Man for Himself","Paul Godard","Jean-Luc Godard"
"1981","Malevil","Colin","Christian de Chalonge"
"1984","Tricheurs","Elric","Barbet Schroeder"
"1989","My Nights Are More Beautiful Than Your Days","Lucas","Andrzej Å»uÅ\u0082awski"
"1991","Van Gogh","Van Gogh","Maurice Pialat"
"1992","Toutes peines confondues","Antoine Gardella","Michel Deville"
"1998","Place VendÃ´me","Battistelli","Nicole Garcia"
"2000","Merci pour le chocolat","AndrÃ© Polonski","Claude Chabrol"
"2002","Summer Things","Bertrand Lannier","Michel Blanc"

