"Rank","Author","Title"
"1","Miyuki Miyabe","Mohohan (æ¨¡å\u0080£ç\u008A¯?) English translation: Puppet Master"
"2","Hideo Okuda","Jama (é\u0082ªé­\u0094?)"
"3","Masaki Yamada","Misuteri Opera (ã\u0083\u009Fã\u0082¹ã\u0083\u0086ã\u0083ªã\u0083»ã\u0082ªã\u0083\u009Aã\u0083©?)"
"4","Ryuichi Kasumi (ja)","Sutimutaiga no Shiso (ã\u0082¹ã\u0083\u0086ã\u0082£ã\u0083¼ã\u0083 ã\u0082¿ã\u0082¤ã\u0082¬ã\u0083¼ã\u0081®æ­»èµ°?)"
"5","Keigo Higashino","Cho Satsujin Jiken (è¶ ã\u0083»æ®ºäººäº\u008Bä»¶?)"
"6","Arimasa Osawa","Yamisaki Annainin (é\u0097\u0087å \u0088æ¡\u0088å\u0086 äºº?)[4]"
"7","Futaro Yamada","Tengumisaki Satsujin Jiken (å¤©ç\u008B\u0097å²¬æ®ºäººäº\u008Bä»¶?)"
"8","Kazuaki Takano","Jusan Kaidan (13é\u009A\u008Eæ®µ?)"
"8","Otaro Maijo","Kemuri ka Tsuchi ka Kuimono (ç \u0099ã\u0081\u008Bå\u009C\u009Fã\u0081\u008Bé£\u009Fã\u0081\u0084ç\u0089©?)"
"10","Go Osaka","Aibo ni Ki o Tsukero (ç\u009B¸æ£\u0092ã\u0081«æ°\u0097ã\u0082\u0092ã\u0081¤ã\u0081\u0091ã\u0082\u008D?)"

