"#","Mayor","Term","Party","Notes"
"1","","John R. Williams","1824 â\u0080\u0093 1825","Democratic[6]","John R. Williams wrote the City Charter and served from 1824 to 1825 as the first mayor under the re-incorporation.[3] He also served a second time in 1830, and a third in 1844â\u0080\u00931846. He was a successful merchant, and served in a number of other capacities, including as one of the first trustees of the University of Michigan, was president of the Detroit Board of Education, and was a delegate to the first Michigan Constitutional Convention.[7]"
"2","","Henry Jackson Hunt","1826","Democratic[6]","Henry Jackson Hunt was a successful merchant, and served in various political offices, including county judge, city assessor, and trustee of the University of Michigan.[3] He was the uncle and namesake of Civil War General Henry Jackson Hunt.[8] Hunt died while in office on September 15, 1826.[5]"
"3","","Jonathan Kearsley","1826","Democratic[9]","Jonathan Kearsley served in the War of 1812, and was wounded badly enough to have his leg amputated.[10] He moved to Detroit in 1819 to become of Receiver of Public Monies, a post he held for 30 years. Kearsley was mayor twice, being appointed once in 1826 to fill Henry Jackson Hunt's term after his death, and being elected himself in 1829.[3][5]"
"4","","John Biddle","1827 â\u0080\u0093 1828","Whig[11]","Major John Biddle was born in Philadelphia, Pennsylvania in 1792, the son of Charles Biddle, former Vice President of Pennsylvania,[12] He was in the US Army during the War of 1812, and was active in Detroit politics and civic life. He went on to serve as Michigan Territory delegate to the United States House of Representatives. His summer estate, \"Wyandotte,\" was expanded into the current city of Wyandotte, Michigan.[12]"
"5","","Jonathan Kearsley","1829","Democratic[6]","Jonathan Kearsley served in the War of 1812, and was wounded badly enough to have his leg amputated.[10] He moved to Detroit in 1819 to become of Receiver of Public Monies, a post he held for 30 years. Kearsley was mayor twice, being appointed once in 1826 to fill Henry Jackson Hunt's term after his death, and being elected himself in 1829.[3][5]"
"6","","John R. Williams","1830","Democratic[6]","John R. Williams wrote the City Charter and served from 1824 to 1825 as the first mayor under the re-incorporation.[3] He also served a second time in 1830, and a third in 1844â\u0080\u00931846. He was a successful merchant, and served in a number of other capacitie, including as one of the first trustees of the University of Michigan, was president of the Detroit Board of Education, and was a delegate to the first Michigan Constitutional Convention.[7]"
"7","","Marshall Chapin","1831","Whig[6]","Marshall Chapin trained as a medical doctor, and established the first drugstore in Detroit in 1819,[10] which endured well after Chapin's death and on into the 1880s.[3] He served twice as mayor (in 1831 and 1833) and was appointed City Physician during the cholera epidemics of 1832 and 1834.[10]"
"8","","Levi Cook","1832","Whig[13]","Levi Cook served in multiple positions in the government of Detroit and Michigan, including as Representative to the State House, Treasurer of the Michigan Territory, and mayor of Detroit in 1832, 1835, and 1836.[10]"
"9","","Marshall Chapin","1833[10]","Whig[6]","Marshall Chapin trained as a medical doctor, and established the first drugstore in Detroit in 1819,[10] which endured well after Chapin's death and on into the 1880s.[3] He served twice as mayor (in 1831 and 1833) and was appointed City Physician during the cholera epidemics of 1832 and 1834.[10]"
"10","","Charles Christopher Trowbridge","1834","Whig[14]","Trowbridge moved to Detroit in 1819, at 19 years of age. In 1820, he served on the Lewis Cass expedition, led by Lewis Cass, so impressing Cass that the latter made Trowbridge his private secretary.[15] In 1821, Trowbridge helped negotiate a treaty between the US government and the Winnebago and Menominee Indians, and was later appointed assistant secretary in the local Indian department.[15] In 1833, Trowbridge became an alderman of the city of Detroit,[15] and briefly served as Mayor during the cholera epidemic of 1834, resigning his position soon after.[16] In 1837, he ran as the Whig candidate for governor of Michigan, and was defeated by Stevens T. Mason."
