"Species","Spring","Summer","Fall","Winter"
"Red-throated loon","C","-","C","F"
"Pacific loon","C","-","C","C"
"Common loon","C","-","C","F"
"Pied-billed grebe","C","F","C","C"
"Horned grebe","-","-","-","U"
"Eared grebe","-","-","-","U"
"Western grebe","C","F","C","C"
"Clark's grebe","F","F","U","F"
"American white pelican","-","U","F","U"
"Brown pelican","F","C","C","F"
"Brandt's cormorant","C","C","C","C"
"Double-crested cormorant","F","U","C","C"
"Pelagic cormorant","F","F","F","F"
"American bittern","-","-","U","U"
"Great blue heron","F","F","F","F"
"Great egret","U","-","F","F"
"Snowy egret","U","-","F","F"
"Cattle egret","-","-","-","U"
"Green heron","U","U","U","U"
"Black-crowned night heron","U","U","F","F"
"Turkey vulture","F","F","U","-"
"Canada goose","U","-","U","U"
"Brant","C","-","U","-"
"Wood duck","U","U","F","F"
"Gadwall","F","U","F","F"
"American wigeon","-","-","U","C"
"Mallard","C","C","C","C"
"Blue-winged teal","-","-","U","U"
"Cinnamon teal","C","U","U","F"
"Northern shoveler","U","-","U","F"
"Northern pintail","U","-","U","F"
"Green-winged teal","U","-","F","C"
"Canvasback","U","-","F","C"
"Ring-necked duck","U","-","U","C"
"Greater scaup","R","-","R","U"
"Lesser scaup","U","-","U","F"
"Surf scoter","C","U","C","C"
"White-winged scoter","U","-","U","U"
"Bufflehead","-","-","U","C"
"Common goldeneye","-","-","U","F"
"Hooded merganser","-","-","U","F"
"Common merganser","U","U","U","U"
"Red-breasted merganser","F","-","U","F"
"Ruddy duck","F","U","F","C"
"Osprey","U","-","U","-"
"White-tailed kite","U","U","F","F"
"Northern harrier","-","-","U","U"
"Sharp-shinned hawk","F","U","F","F"
"Cooper's hawk","F","U","F","F"
"Red-shouldered hawk","U","U","F","F"
"Red-tailed hawk","C","F","C","C"
"Ferruginous hawk","-","-","-","U"
"Golden eagle","U","U","U","U"
"American kestrel","U","U","F","F"
"Merlin","-","-","U","U"
"Peregrine falcon","U","-","U","U"
"Wild turkey","U","U","U","U"
"California quail","C","C","C","C"
"Virginia rail","U","U","F","F"
"Sora","U","-","F","F"
"Common gallinule","-","-","-","U"
"American coot","C","F","C","C"
"Black-bellied plover","C","-","C","C"
"Snowy plover","U","U","U","F"
"Semipalmated plover","F","-","F","-"
"Killdeer","U","U","F","C"
"Black oystercatcher","U","U","U","U"
"Black-necked stilt","U","-","F","F"
"American avocet","-","-","U","U"
"Greater yellowlegs","F","-","F","U"
"Lesser yellowlegs","-","-","U","-"
"Willet","C","U","C","C"
"Wandering tattler","U","-","U","-"
"Spotted sandpiper","U","-","U","U"
"Whimbrel","F","-","F","U"
"Long-billed curlew","U","-","U","-"
"Marbled godwit","C","U","C","C"
"Ruddy turnstone","F","-","F","F"
"Black turnstone","C","-","C","C"
"Surfbird","F","-","F","F"
"Sanderling","C","-","C","C"
"Western sandpiper","C","-","F","-"
"Least sandpiper","C","-","F","U"
"Dunlin","C","-","F","U"
"Short-billed dowitcher","F","-","F","-"
"Long-billed dowitcher","F","-","F","U"
"Wilson's snipe","-","-","U","F"
"Wilson's phalarope","U","-","-","-"
"Red-necked phalarope","C","-","C","-"
"Red phalarope","C","-","C","F"
"Pomarine jaeger","F","-","F","-"
"Parasitic jaeger","U","-","F","-"
"Bonaparte's gull","C","-","C","U"
"Heermann's gull","U","C","C","C"
"Mew gull","U","-","F","C"
"Ring-billed gull","U","-","F","C"
"California gull","C","U","C","C"
"Herring gull","U","-","U","F"
"Thayer's gull","-","-","U","U"
"Western gull","C","C","C","C"
"Glaucous-winged gull","F","-","C","C"
"Sabine's gull","U","-","U","-"
"Black-legged kittiwake","U","-","U","F"
"Caspian tern","F","F","-","-"
"Elegant tern","-","C","C","-"
"Common tern","F","-","F","-"
"Arctic tern","F","-","F","-"
"Forster's tern","C","F","U","F"
"Common murre","C","C","C","C"
"Pigeon guillemot","C","C","-","-"
"Marbled murrelet","F","F","U","U"
"Xantus's murrelet","-","-","U","-"
"Ancient murrelet","U","-","U","F"
"Cassin's auklet","F","F","C","C"
"Rhinoceros auklet","F","U","F","C"

