"Serial No.","Episodes","Game","Serial premiere","Serial finale"
"01","19","Kirby Super Star (SNES)","July 18, 2012","October 26, 2012 [F]"
"02","12","The Legend of Zelda: A Link to the Past (SNES)","July 18, 2012","April 16, 2013"
"03","18","Mega Man 7 (SNES)","July 18, 2012","August 15, 2012 [F]"
"04","12","Goof Troop (SNES)","July 24, 2012","August 6, 2012 [F]"
"05","20","Pok̩mon Emerald (GBA)","July 27, 2012","October 6, 2012"
"06","4","Secret of Mana (SNES)","August 8, 2012","August 16, 2012"
"07","23","Banjo-Kazooie (N64)","August 16, 2012","October 18, 2012"
"08","9","New Super Mario Bros. Wii (Wii)","August 18, 2012","September 6, 2012"
"09","3","Animal Crossing: City Folk (Wii)","August 29, 2012","September 3, 2012"
"10","9","Zombies Ate My Neighbors (SNES)","September 8, 2012","May 8, 2013"
"11","11","Castlevania III: Dracula's Curse (NES)","September 9, 2012","March 24, 2013"
"12","7","Super Mario World 2: Yoshi's Island (SNES)","September 18, 2012","October 1, 2012"
"13","4","The Legend of the Mystical Ninja (SNES)","September 19, 2012","September 24, 2012"
"","1","Battletoads (NES)","October 11, 2012",""
"14","3","Adventures in the Magic Kingdom (NES)","October 12, 2012","October 17, 2012"
"","1","Chuck E. Cheese's Party Games (Wii)","October 16, 2012",""
"15","5","Disney's Aladdin (SNES)","October 19, 2012","October 25, 2012 [F]"
"16","3","Shenmue (SDC)","October 20, 2012","October 25, 2012"
"17","4","Joe & Mac (SNES)","October 26, 2012","October 31, 2012 [F]"
"18","12","Kirby's Return to Dreamland (Wii)","October 27, 2012","April 20, 2013"
"","1","Mary-Kate and Ashley: Sweet 16 - Licensed to Drive (GCN)","October 27, 2012",""
"","1","Super Mario Land (NGB)","October 29, 2012",""
"","1","Winter Olympics (GEN)","October 31, 2012",""
"19","108","Sonic the Hedgehog (PS3)","November 1, 2012","June 18, 2013"
"20","5","Super Mario Land 2: 6 Golden Coins (NGB)","November 2, 2012","November 8, 2012"
"","1","Doom Troopers (GEN)","November 5, 2012",""
"","1","Rugrats in Paris: The Movie (N64)","November 9, 2012",""
"21","3","Demon's Souls (PS3)","November 10, 2012","November 14, 2012"
"22","3","Universal Studios Theme Parks Adventure (GCN)","November 11, 2012","November 15, 2012"
"","1","The Blues Brothers (SNES)","November 12, 2012",""
"23","12","Donkey Kong Country (SNES)","November 16, 2012","November 28, 2012 [F]"
"","1","Psycho Dream (SFC)","November 16, 2012",""
"24","2","Resident Evil (GCN)","November 17, 2012","November 19, 2012"
"","1","The New Adventures of Mary-Kate and Ashley (GBC)","November 18, 2012",""
"","1","Timon & Pumbaa's Jungle Games (SNES)","November 20, 2012",""
