"Rank","Company","Employees","Industry"
"1","Banner Health","38,527","Health care"
"2","Wal-Mart Stores, Inc.","32,000","Discount retailer"
"3","Kroger Co.","16,857","Grocery stores"
"4","Wells Fargo & Co.","14,613","Financial services"
"5","Albertsons Inc.","14,490","Grocery stores, retail drugstores"
"6","McDonald's Corp.","13,853","Food service"
"7","Intel Corp.","11,000","Semiconductor manufacturing"
"8","HonorHealth","10,500","Health care"
"9","Circle K Corp.","10,436","Convenience stores"
"10","American Airlines","10,100","Airline"

