"Name","Organisation","Continent","Country","First volume","Last volume","JCR Index","Website"
"Acrocephalus","","Europe","Slovenia","-","-","NA",""
"Acta Ornithologica","","Europe","Poland","1933","present","Yes","[1]"
"Africa Geographic, Birds & Birding","Africa Geographic","Africa","South Africa","2011","2012","NA","[2]"
"Airo","SPEA","Europe","Portugal","1990","present","NA","[3]"
"Alabama Birdlife","Alabama Ornithological Society","North America","USA","1953","present","NA","[4]"
"Alauda","","Europe","France","1990","present","NA","[5]"
"Alula","","Europe","Finland","1995","2008","NA","[6]"
"Anuari OrnitolÃ²gic de les Balears","Balearic Group of Ornithology and Defence of Nature (El GOB)","Europe","Balearic Islands","1985","present","NA","[7]"
"Aquila","","Europe","Hungary","1894","present","NA",""
"Ardea","NOU","Europe","Netherlands","1912","present","Yes","[8]"
"Ardeola","Spanish Ornithological Society","Europe","Spain","1954","present","Yes","[9]"
"Atualidades OrnitolÃ³gicas","","South America","Brazil","1984","present","NA","[10]"
"Audubon","National Audubon Society","North America","USA","1899","present","NA","[11]"
"Aves Ichnusae","Sardinian Ornithological Group\/ GOS","Europe","Italy","1998","present","NA","[12]"
"The Auk","American Ornithologists' Union","North America","USA","1884","present","Yes","[13]"
"The Austral Avian Record","","Europe","UK","1912","1927","NA",""
"Australian Field Ornithology","BOCA","Australasia","","","","NA","[14]"
"Avian Conservation and Ecology","Society of Canadian Ornithologists","North America","Canada","2005","present","NA","[15]"
"Avian Science","","Europe","-","2001","2003","NA","[16]"
"Avicultural Magazine","","Europe","","","","NA","[17]"
"Avifauna","","Europe","Italy","","","NA",""
"Avocetta","","Europe","Italy","","","NA",""
"Backyard Bird Newsletter","","North America","","","","NA",""
"Bird Conservation International","BirdLife International","Europe","UK","1991","present","Yes","[18]"
"Birds of Silesia","GÃ³rnoÅ\u009BlÄ skie KoÅ\u0082o Ornitologiczne","Europe","Poland","1982","present","NA","[19]"
"Bird Study","British Trust for Ornithology","Europe","UK","1954","present","Yes","[20]"
"Bird Watcher's Digest","","North America","USA","1987","present","NA","[21]"
"Bird Watching (magazine)","Bauer Media Group","Europe","UK","1986","present","NA","[22]"
"BirdWatching (formerly Birder's World)","Madavor Media","North America","USA","1987","present","NA","[23]"
"Birding","American Birding Association","North America","USA","1969","present","NA","[24]"
"Birding Business","","North America","","","","NA",""
"Birding Scotland","Alba Ecology Ltd","Europe","Scotland","1998","2004","NA","[25]"
"Birding World","","Europe","","","","NA",""
"BirdingASIA","Oriental Bird Club","Asia","","","","NA","[26]"
