"Game Title","Platform","Source Language","Target Language"
"1112 episode 3","iOS","French","English, Italian, German, Spanish"
"2020: My Country","Facebook","English","Japanese, Korean, Chinese"
"Age of Champions","Facebook","Japanese","English, German, Spanish, French"
"Alan Wake","Xbox 360","Korean, Taiwanese","Korean, Taiwanese"
"CityVille","Facebook","English","Japanese"
"CastleVille","Facebook","English","Japanese"
"Deadfall Adventures","Xbox 360","English","Japanese"
"Dear Esther","PC","English","Japanese"
"Demon's Souls","PlayStation 3","Japanese","English"
"Eufloria","PC\/ PlayStation 3\/PS Vita","English","Japanese"
"Gran Turismo PSP","PlayStation Portable","Japanese","English"
"Great Edo of Nippon","PlayStation 3","Japanese","French, Spanish, Italian, German"
"Half-Minute Hero","Wii","Japanese","French, Spanish, Italian, German, English"
"Harvest Moon: Tree of Tranquility","Wii","English","French, Spanish, Italian, German"
"Hidden Chronicles","Facebook","English","Japanese"
"Joe Danger","PlayStation 3","English","Japanese"
"Kingdom Conquest","iOS","Japanese","English, French, German, Spanish, Chinese, Korean"
"Kingdom Conquest 2","iOS","Japanese","English, French, German, Spanish, Portuguese, Chinese, Korean"
"King of Fighters XIII","Xbox 360\/ PlayStation 3","Japanese","English, French, Spanish, Italian, German, Korean, Chinese"
"Deca Sports Extreme","3DS","Japanese","English, French, Spanish, Italian, German"
"La-Mulana","PC","Japanese","English"
"LittleBigPlanet","PlayStation 3","Japanese","Chinese"
"Little King's Story","Wii","Japanese","English, French, Spanish, Italia, German"
"My Country","Facebook","English","Japanese, Korean, Chinese"
"Mystery Manor","Yahoo! Mobage","English","Japanese"
"New Little King's Story","PS Vita","Japanese","English, French, Spanish, Italian, German"
"No More Heroes","Xbox 360\/ PlayStation 3","Japanese","English, French, Spanish, Italian, German"
"Painkiller","Xbox 360","English","Japanese"
"Rune Factory 2: A Fantasy Harvest Moon","NDS","English","German"
"Shufflepuck Cantina","iOS","French","English, Italian, German, Spanish"
"Soulcalibur IV","PlayStation 3","Japanese","English"
"SpaceChem","PC","English","Japanese"
"Superhero City","Facebook","Japanese","English, German, Spanish, French"
"Tartaros","Online Game","Korean","Japanese"
"Test Drive Unlimited 2","PlayStation 3","English","Japanese"
"The Denpa Men: They Came By Wave","3DS eShop","Japanese","English, French, German"
"The Last Guy","PlayStation 3","Japanese","English"
"The Legacy of Transylvania","Yahoo! Mobage","English","Japanese"
"The Tribez","iOS","English","Japanese"
"Trash Panic","PlayStation 3","Japanese","English"
"Trouble Witches","Xbox 360","Japanese","English"
"Valhalla Knights","Wii","English","French, Spanish, Italian, German"
"Wangan Midnight: Maximum Tune 4","Arcade","Japanese","English, Chinese"
"World of Zoo","Wii","English","French, Spanish, Italian, German"

