"#","Country","Value"
"1","China","210,246"
"2","United States","19,310"
"3","Thailand","19,108"
"4","Mexico","18,885"
"5","Netherlands","16,126"
"6","Germany","12,407"
"7","Malaysia","12,329"
"8","Singapore","9,611"
"9","Czech Republic","8,996"
"10","Philippines","7,210"
"11","South Korea","6,340"
"12","Japan","6,225"
"13","Ireland","5,399"
"14","United Kingdom","4,039"
"15","Vietnam","3,806"
"16","Taiwan","3,775"
"17","Poland","3,012"
"18","Hungary","2,980"
"19","France","2,736"
"20","Hong Kong","2,452"

