"S. No.","University","Nick","Founded","Location","Website"
"1","Al-Jamiatul Ahlia Darul Ulum Moinul Islam[1]","Hathazari Madrasah","1896","Chittagong, Bangladesh","[1]"
"2","Al-Jamiah Al-Islamiah Patiya[2]","Patiya Madrasah","1938","Patiya, Chittagong","[2]"
"3","Al-Jamiatul Arabiatul Islamiah, Ziri[3]","Ziri Madrasah","1910","Ziri, Patiya, Chittagong","[3]"
"4","Jamia Tawakkulia Renga Madrasah[4]","Renga Madrasah","1919","Sylhet, Bangladesh","[4]"
"5","Jamiah Islamiah Yunusia Brahmanbaria","Yunusia Madrasah","1914","Brahmanbaria, Bangladesh",""
"6","Jamiah Rahmania Arabia Dhaka[5]","Muhammadpur Madrasah","1986","Muhammadpur, Dhaka","[5]"
"7","Jamia Qurania Arabia Lalbagh[6]","Lalbagh Madrasah","1950","Lalbagh, Dhaka","[6]"
"8","Jamia Luthfia Anwarul Uloom Hamid Nogor[7]","Boruna Madrasah","1941","Srimongol, Sylhet","[7]"
"9","Al-Jamiatul Islamiah Qasemul Uloom Charia","Charia Madrasah","1949","Charia, Hathazari, Chittagong","[8]"
"10","Al-Jamiatul Islamiah Azizul Uloom Babunagar[8]","Babunagar Madrasah","1924","Babunagar, Fatikchhari, Chittagong",""
"11","Al-Jamiah Al-Islamiah Obaidia Nanupur[9]","Nanupur Obaidia Madrasah","1957","Nanupur, Fatikchhari, Chittagong",""
"12","Al-Jamiatus Shari'ah Malibag, Dhaka","Jamia Shariah Malibag","1956","1037, Malibagh, Dhaka â\u0080\u0093 1217","[9]"
"13","Jamiatul Uloom Al-Islamia Lalkhan Bazar[10]","Lalkhan Bazar Madrasah","19??","Lalkhan Bazar, Chittagong",""
"14","Jamia Darul Ma'arif Al-Islamia[11]","Darul Maarif","1985","Bahaddarhat, Chittagong",""
"15","Shahbag Jamia Madania Quasimul Uloom","Jamia Shahbag","1975","Zakigonj, Sylhet","[10]"
"16","Jamia Hosainia Islamia Arjabad","Jamia Arjabad","1970","Arjabad, Dhaka","[11]"
"17","Al Jamiatul Islamia Darul Uloom Madani Nagar Madrahsa","Madani Nagar Madrasah","1984","Madani Nagar, Dhaka","[12]"
"18","Jameah Islamiah Hussainia Gohorpur[12]","Jamia Gohorpur","1957","Gohorpur, Balaganj, Sylhet","[13]"
"19","Darul Uloom Sahbania[13]","Darul Uloom Sahbania Madrasah","2001","Elephant Road, Dhaka","[14]"

