"Peak","Pronunciation","H","RH","Grid ref.","Parent",""
"Aran Fawddwy","aran fowdh-ooey","905","672","SH862223","Snowdon","Aran Fawddwy"
"Cadair Berwyn","kadd-ire bair-winn","830","344","SJ071323","Aran Fawddwy","Aran Fawddwy"
"Gyrn Moelfre","geern moyl-vre'","523","237","SJ184293","Cadair Berwyn","Aran Fawddwy"
"Rhialgwm","(hr)ee-al-goom","540","225","SJ055211","Aran Fawddwy","Aran Fawddwy"
"Glasgwm","glas-goom (long s)","780","213","SH836194","Aran Fawddwy","Aran Fawddwy"
"Cyrniau Nod","kurrn-ya' nod","667","179","SH988279","Aran Fawddwy","Aran Fawddwy"
"Allt y Main","a(hl)t É\u0099 mine","356","171","SJ162151","Rhialgwm","Aran Fawddwy"
"Esgeiriau Gwynion","ess-gair-ya' gwin-yonn","671","166","SH889236","Aran Fawddwy","Aran Fawddwy"
"Y Golfa","É\u0099 gol-va'","341","165","SJ182070","Carnedd Wen","Aran Fawddwy"
"Mynydd-y-briw","mÉ\u0099nnidh É\u0099 briw","341","165","SJ173260","Cadair Berwyn","Aran Fawddwy"

