"Winner (wager)","Loser (wager)","Location","Event","Date","Notes"
"Cerebro Negro (mask)","Avisman I (hair)","Naucalpan, Mexico State","Live event","December 21, 2003","[1]"
"Cerebro Negro (mask)","Zonik 2000 (hair)","Naucalpan, Mexico State","Live event","May 16, 2004","[1]"
"Cerebro Negro (mask)","Steel Man (hair)","Naucalpan, Mexico State","Live event","November 28, 2004","[1]"
"Masada (hair)","Cerebro Negro (mask)","Naucalpan, Mexico State","El Castillo del Terror (2005)","November 3, 2005","[Note 1][1][9]"
"Cerebro Negro (hair)","Mike Segura (hair)","Naucalpan, Mexico State","Live event","March 30, 2006","[1]"
"Cerebro Negro (hair)","Masada (hair)","Naucalpan, Mexico State","Live event","June 11, 2006","[1]"
"Cerebro Negro (hair)","Freelance (hair)","Naucalpan, Mexico State","Live event","September 17, 2006","[Note 2][1]"
"Cerebro Negro (hair)","Mike Segura (hair)","Naucalpan, Mexico State","Live event","February 22, 2007","[Note 2]"
"Cerebro Negro (hair)","Black Terry (hair)","Naucalpan, Mexico State","Live event","March 11, 2007",""
"Cerebro Negro (hair)","Rey Lobo (mask)","Mexico City","Live event","March 17, 2007",""
"Cerebro Negro (hair)","Yamato (hair)","Naucalpan, Mexico State","Live event","June 21, 2007","[Note 3]"
"Black Terry (hair)","Cerebro Negro (hair)","Naucalpan, Mexico State","Live event","November 22, 2007",""
"Police Man (hair)","Cerebro Negro (hair)","Puebla, Puebla","Live event","May 12, 2008",""
"Cerebro Negro and Dr. Cerebro (hair)","Los Gemelo Fantasticos (hair) (I and II)","Naucalpan, Mexico State","Live event","October 31, 2008",""
"Dr. Cerebro (hair)","Cerebro Negro (hair)","Naucalpan, Mexico State","Live event","January 1, 2009","[Note 4]"
"Gemelo Fantastico I (hair)","Cerebro Negro (hair)","Naucalpan, Mexico State","Live event","March 22, 2009","[Note 5]"
"Fantasma De La Opera (mask)","Cerebro Negro (hair)","Unknown","Live event","March 29, 2010",""
"Aeroboy (mask)","Cerebro Negro (hair)","CuautitlÃ¡n Izcalli, Mexico State","Live event","October 31, 2010",""
"Zumbi (mask)","Cerebro Negro (hair)","Huamantla, Tlaxcala","Live event","August 12, 2011","[Note 6]"
"TBD (hair)","Cerebro Negro (hair)","Queretaro, Queretaro","Live event","September 17, 2011","[Note 7]"
"Dr. Cerebro (hair)","Cerebro Negro (hair)","Naucalpan, Mexico State","Live event","December 16, 2012","[17]"

