"#","Mountain [8]","Elevation [8]","Location","National park located in","List","Pictures"
"1","Yushan[i]","3952 m 12966 ft","Nantou County, Kaohsiung City, Chiayi County","Yushan","Big Five #1[a] High Three #1[b]",""
"2","Xueshan[ii]","3886 m 12749 ft","Miaoli County, Taichung City","Shei-Pa","Big Five #2[a] High Three #2[b]",""
"3","Yushan East Peak","3869 m 12694 ft","Nantou County, Kaohsiung City","Yushan","Precipitous Ten #1[c]",""
"4","Yushan North Peak","3858 m 12657 ft","Nantou County","Yushan","Eight Beauties #1[d]",""
"5","Yushan South Peak","3844 m 12612 ft","Kaohsiung City","Yushan","Precipitous Ten #2[c]",""
"6","Xiuguluanshan[iii]","3825 m 12549 ft","Hualien County, Nantou County","Yushan","Big Five #3[a]",""
"7","Mabolasishan[iv]","3785 m 12418 ft","Hualien County, Nantou County","Yushan","Precipitous Ten #3[c]",""
"8","Nanhudashan","3742 m 12277 ft","Taichung City","Taroko","Big Five #4[a]",""
"9","Dongxiaonanshan","3711 m 12175 ft","Kaohsiung City","Yushan","Level Nine #1[e]",""
"10","Zhongyangjianshan","3705 m 12156 ft","Taichung City, Hualien County","Taroko","Pointy Three #1[f]",""
"11","Xueshan North Peak[v]","3703 m 12149 ft","Miaoli County, Taichung City","Shei-Pa","Gentle Ten #2[g]",""
"12","Guanshan[vi]","3668 m 12034 ft","Taitung County, Kaohsiung City","Yushan","Precipitous Ten #4[c]",""
"13","Dashuikushan","3642 m 11949 ft","Hualien County, Nantou County","Yushan","Gentle Ten #1[g]",""
"14","Nanhushan East Peak[vii]","3632 m 11916 ft","Taichung City, Hualien County, Yilan County","Taroko","Rocky Ten #1[h]",""
"15","Dongjundashan[viii]","3619 m 11873 ft","Nantou County","","Majestic Ten #1[i]",""
"16","Qilaishan North Peak","3607 m 11834 ft","Hualien County","Taroko","Precipitous Ten #5[c] Ominous One[j]",""
"17","Xiangyangshan[ix]","3603 m 11821 ft","Kaohsiung City, Taitung County","Yushan","Eight Beauties #2[d]",""
"18","Dajianshan[x]","3594 m 11791 ft","Taichung City","Shei-Pa","Precipitous Ten #6[c]",""
"19","Yunfeng[xi]","3564 m 11693 ft","Kaohsiung City","Yushan","Lofty Nine #1[k]",""
"20","Qilaishan[xii]","3560 m 11680 ft","Hualien County, Nantou County","Taroko","Lofty Nine #2[k]",""
"21","Malijiananshan[xiii]","3546 m 11634 ft","Nantou County, Hualien County","Yushan","Rocky Ten #2[h]",""
"22","Nanhubeishan[xiv]","3536 m 11601 ft","Yilan County, Taichung City","Taroko","Majestic Ten #2[i]",""
"23","Daxueshan","3530 m 11581 ft","Miaoli County, Taichung City","Shei-Pa","Majestic Ten #3[i]",""
"24","Pintianshan[xv]","3524 m 11562 ft","Hsinchu County, Taichung City","Shei-Pa","Precipitous Ten #7[c] Four Beauties #1[l]",""
"25","Yushan West Peak[xvi]","3518 m 11542 ft","Chiayi County, Nantou County","Yushan","Verdant Ten #4[m]",""
"26","Touyingshan","3510 m 11516 ft","Taichung City, Miaoli County","Shei-Pa","Lofty Nine #3[k]",""
"27","Sanchashan[xvii]","3496 m 11470 ft","Hualien County, Taitung County, Kaohsiung City","Yushan","Majestic Ten #3[i]",""
"28","Dabajianshan[xviii]","3492 m 11457 ft","Hsinchu County, Miaoli County","Shei-Pa","Pointy Three #2[f]",""
"29","Nanhushan South Peak","3475 m 11401 ft","Taichung City, Hualien County","Taroko","Rocky Ten #5[h]",""
"30","Dongluandashan","3468 m 11378 ft","Nantou County","","Eight Beauties #3[d]",""
"31","Wumingshan[xix]","3451 m 11322 ft","Taichung City, Hualien County","Taroko","Precipitous Ten #8[c]",""
"32","Babashan[xx]","3449 m 11316 ft","Taichung City, Hualien County","Taroko","Little Eight #1[n]",""
"33","Maxishan[xxi]","3443 m 11296 ft","Hualien County","Yushan","Majestic Ten #5[i]",""
