"THE LAKE","SURFACE AREA (in km2)","SURFACE AREA (in mi2)","NOTES"
"Caspian Sea","371 000","143 250",""
"Aike","64.7","25",""
"Alakol","2650","1023","Bird breeding and nesting ground"
"Aral","17160","6630","Shrinking due to environmental problems[1]"
"Balkhash","16996","6562",""
"Bartogay","","",""
"Chagan","","","Artificial lake (Former nuclear test site)"
"Issyk[2]","","",""
"Jasybay","","",""
"Kayindi","","",""
"Kamyslybas","176","68",""
"Kapchagay","","","also spelled Qapshaghay Bogeni Reservoir"
"Kopa","","",""
"Markakol","455","175",""
"Sasykkol","600","232",""
"Tengiz","1382","534","Bird breeding and nesting ground"
"Zaysan","1810","700",""
"Zerenda","","",""
"Zhasylkol","","",""

