"Year","Wrestler","Promotion(s)"
"1980","The Iron Sheik","World Wrestling Federation"
"1981","Buzz Sawyer","National Wrestling Alliance"
"1982","Adrian Adonis","American Wrestling Association"
"1983","Dynamite Kid","New Japan Pro Wrestling Stampede Wrestling"
"1984","B. Brian Blair","World Wrestling Federation"
"1985","Bobby Eaton","Jim Crockett Promotions"
"1986","Bobby Eaton","Jim Crockett Promotions"
"1987","Brad Armstrong","Jim Crockett Promotions"
"1988","Tiger Mask II","All Japan Pro Wrestling"
"1989","Dan Kroffat","All Japan Pro Wrestling"
"1990","Bobby Eaton","World Championship Wrestling"
"1991","Terry Taylor","World Championship Wrestling"
"1992","Terry Taylor","World Championship Wrestling"
"1993","Bobby Eaton","World Championship Wrestling"
"1994","Brian Pillman","World Championship Wrestling"
"1995","Skip","World Wrestling Federation"
"1996","Leif Cassidy","World Wrestling Federation"
"1997","Flash Funk","World Wrestling Federation"
"1998","Chris Benoit","World Championship Wrestling"
"1999","Chris Jericho","World Championship Wrestling World Wrestling Federation"
"2000","Chris Jericho","World Wrestling Federation"
"2001","Lance Storm","World Wrestling Federation World Championship Wrestling"
"2002","Booker T","World Wrestling Entertainment\/WWE"
"2003","Ã\u009Altimo DragÃ³n","World Wrestling Entertainment\/WWE"
"2004","Paul London","World Wrestling Entertainment\/WWE"
"2005","Shelton Benjamin","World Wrestling Entertainment\/WWE"
"2006","Shelton Benjamin","World Wrestling Entertainment\/WWE"
"2007","Shelton Benjamin","World Wrestling Entertainment\/WWE"
"2008","Montel Vontavious Porter","World Wrestling Entertainment\/WWE"
"2009","Evan Bourne","World Wrestling Entertainment\/WWE"
"2010","Kaval","World Wrestling Entertainment\/WWE"
"2011","Dolph Ziggler","World Wrestling Entertainment\/WWE"
"2012","Tyson Kidd","World Wrestling Entertainment\/WWE"
"2013","Antonio Cesaro\/Cesaro","World Wrestling Entertainment\/WWE"
"2014","Antonio Cesaro\/Cesaro","World Wrestling Entertainment\/WWE"

