"Name","Birth","Birthplace","Death","Place of death","Notes"
"Sarbel and Barbe","","","101","",""
"Phocas","","","102","","Bishop of Sinope"
"Evaristus","","Bethlehem, Palestine","105","Rome, Roman Empire","Bishop of Rome"
"Zachary","","","106","","Bishop of Vienne"
"Charbel","","","107","",""
"Eudokia of Heliopolis","","","107","",""
"Ignatius of Antioch","35","","107","Rome, Roman Empire","Patriarch of Antioch"
"Rufus and Zosimus","","","107","Rome, Roman Empire",""
"Simeon of Jerusalem","","Galilee","107","Jerusalem, Iudaea Province","Patriarch of Jerusalem"
"Hyacinth","","","108","Caesarea, Cappadocia","chamberlain to emperor Trajan"
"Antiochus of Sulcis","","","110","",""
"Zosimus","","","110","",""
"Eleuchadius","","","112","","Bishop of Ravenna"
"Publius","33","Malta","112","Athens, Greece","legendary bishop of Malta"
"Romulus","","","112","","[1]"
"Flavius Latinus of Brescia","","","115","","Bishop of Brescia"
"Quirinus of Neuss","","","116","",""
"Zacchaeus of Jerusalem","","","116","","Bishop of Jerusalem"
"Astius","","","117","","Bishop of Dyrrachium"
"Hermione of Ephesus","","","117","",""
"Maurus, Pantalemon and Sergius","","","117","Bisceglie, Apulia",""
"Thecla","","","117","",""
"Eustace","","","118","",""
"Terentian","","","118","","Bishop of Todi"
"Pope Alexander I","","Rome, Roman Empire","119","Rome, Roman Empire",""
"Secundus of Asti","","","119","",""
"Seraphia","","Rome, Roman Empire","119","Rome, Roman Empire",""
"Getulius and companions","","Gabii, Roman Empire","120","Gabii, Roman Empire",""
"Marcian of Tortona","","","120","",""
"Matthias of Jerusalem","","","120","","Bishop of Jerusalem"
"Symphorosa and her seven sons","","","120","",""
"Theodora","","","120","",""
"Faustinus and Jovita","","Brescia, Roman Empire","121","Brescia, Roman Empire",""
"Philetus and companions","","","121","Illyria",""
"Sixtus I","","Rome, Roman Empire","125","Rome, Roman Empire","Bishop of Rome"
"Thamel and Companions","","","125","",""
"Exuperius and Zoe","","","127","",""
"Sabina","","Rome, Roman Empire","127","Rome, Roman Empire",""
"Quadratus of Athens","","","129","","Bishop of Athens"
"Ariadne of Phrygia","","","130","",""
"Auspicius","","","130","","Bishop of Trier"
"Balbina","","","130","Rome, Roman Empire",""
"Calocerus","","","130","","Bishop of Ravenna"
"Crescentian","","","130","Sardinia",""
"Papias","","","130","Smyrna","Bishop of Hierapolis"
"Theodore and Pausilippus","","","130","Byzantium",""
"Hermes","","","132","Rome, Roman Empire",""
"Juvenal of Benevento","","Narni, Italy","132","",""
"Judas Cyriacus","","","133","","Bishop of Ancona"
"Ovidius","","Sicily","135","",""
"Herodion of Antioch","","","136","","Bishop of Antioch"
"Castritian","","","137","Milan, Roman Empire","Bishop of Milan"
"Telesphorus","","Greece","137","Rome, Roman Empire","Bishop of Rome"
"Corebus","","","138","",""
"Eleutherius and Anthia","","","138","","Bishop of Illyria and his mother"
"Oliva of Brescia","","","138","",""
"Peregrinus","","","138","","Bishop of Terni"
"Marina","119","","139","",""
