"Date","Recipient","Notes"
"21 June 2012","Adams, Neil","posthumous[2]"
"21 June 1989","ALLEN, Denise Mary","[9]"
"21 June 1988","ALLISON, Ian Frederick","[10]"
"21 June 1989","BARNAART, Willem Philip","[11]"
"22 June 1987","BESSO, Ricky","[12]"
"21 June 1988","BETTS, Martin Stephen","[13]"
"22 June 1987","BLABY, David Andrew","[14]"
"21 June 1994","BRAND, Russell James","[15]"
"21 June 1993","BRUEHWILER, Albert","[16]"
"22 June 1987","BURTON, Harry Roy","[17]"
"21 June 1994","BURTON, Howard Douglas","[18]"
"21 June 1996","CLARKE, Judith Rebekah","[19]"
"21 June 1988","CONRICK, Neil Joseph","[20]"
"22 June 1987","CORCORAN, John Gerard","[21]"
"22 June 1987","COSGROVE, Charles Henry Lewis","[22]"
"21 June 1996","CRAVEN, Trevor Michael","[23]"
"21 June 1997","DELANEY, Paul Robert","[24]"
"21 June 1988","DIETRICH, Maxwell Cecil","[25]"
"21 June 2012","Doube, James","[2]"
"21 June 2011","DOYLE, Murray Patrick","[26]"
"21 June 1998","EASTHER, Robert Leslie","[27]"
"21 June 2001","Elcheikh, Alan","[28]"
"22 June 1987","ELLSON, Malcolm Charles","[29]"
"21 June 1995","ERB, Erwin","[30]"
"22 June 1987","EVERETT, Anthony Peter","[31]"
"21 June 2008","FILIPOWSKI, Matthew Wayne","[32]"
"22 June 1987","FLETCHER, Lloyd Douglas","[33]"
"21 June 1995","FRANZMANN, Peter Damian","[34]"
"21 June 1991","GORMLY, Peter James","[35]"
"21 June 1990","GRANT, David John","[36]"
"21 June 1993","HASICK, David James","[37]"
"21 June 1995","HORNSBY, Norman Leigh","[38]"
"21 June 1992","HOTCHIN, Murray James","[39]"
"21 June 2001","Johnson, Joseph Vaughan","[40]"
"21 June 2000","JONES, John Joseph","[41]"
"21 June 1996","JONES, Robert Tracy","[42]"
"21 June 1993","KERRY, Knowles Ronald","[43]"
"21 June 1995","KIERNAN, Robert Patrick","[44]"
"21 June 2007","Labudda, Sharon Rae","[45]"
"21 June 2006","Larsen, Per Brun","[46]"
"21 June 2013","Laughlin, Scott","[3]"
"21 June 1990","LEDINGHAM, Roderick Bentley","[47]"
"21 June 1992","MACKERETH, Jeffrey Roger","[48]"
"21 June 2001","Main, Dale Allan","[49]"
"21 June 1989","MCCORMACK, David Rockley","[50]"
"21 June 2001","McLean, Ian John","[51]"
"21 June 1991","MILLS, Graham John","[52]"
"21 June 1994","MOORE, Geoffrey James","[53]"
"21 June 1995","MORGAN, Vincent Ivor","[54]"
"22 June 1987","MORRIS, Raymond John","[55]"
"21 June 2000","MORTIMER, Nicolas Andrew","[56]"
"21 June 1993","MUNRO, Paul John","[57]"
"21 June 2011","NICOL, Stephen","[58]"
"22 June 1987","ORCHARD, Robert Campbell","[59]"
"21 June 1989","O'REILLY, Daniel Henry","[60]"
"21 June 1991","OSBORN, Eric William","[61]"
"21 June 1993","PIKE, Paul John","[62]"
"22 June 1987","POTTAGE, David Arnold","[63]"
"21 June 2009","PULLINGER, David Ernest","[64]"
"21 August 1989","RACHINGER, Russell Albert","[65]"
"21 June 2002","REEVE, Jonathan James","[66]"
"22 June 1987","REID, Donald Alexander","[67]"
"21 June 2000","REINKE, Andrew Jason","[68]"
"21 June 2012","Rintoul, Stephen","[2]"
"21 June 1989","ROBERTSON, Diana Lynn","[69]"
"21 June 1989","ROBERTSON, Graham George","[70]"
"21 June 2012","Robertson, Graham","Clasp to AAM[2]"
"21 June 1988","ROBINSON, William Leslie","[71]"
"22 June 1987","ROLLINS, Shane Anthony","[72]"
"21 June 1996","ROOKE, Allen Carey","[73]"
"22 June 1987","SCHMITTER, Ulrich","[74]"
"21 June 2004","Selkirk, Patricia Margaret","[75]"
"21 June 1988","SORENSEN, Bernard William","[76]"
"21 June 2001","Sprunk, Peter Helmut","[77]"
"21 June 2001","Stone, Michael Stephen","[78]"
"22 June 1987","SULLIVAN, Peter Graham","[79]"
"21 June 1996","SYMONS, Lloyd Peter","[80]"
"21 June 1990","TINGEY, Robert John","[81]"
"21 June 1990","TWIGG, Dudley Raymond","[82]"
"21 June 1991","WARE, William Royce","[83]"
"21 June 2000","WATSON, Garry Iain","[84]"
"21 June 1990","WEHRLE, Egon","[85]"
"22 June 1987","WESTERHOF, Herman Hank Edward","[86]"
"21 June 1999","WHITTLE, Michael Robert","[87]"
"21 June 2013","Wienecke, Barbara","[3]"
"21 June 2000","WILCOCK, Madeleine","[88]"
"21 August 1989","WILLIAMS, Dianna Lynn","[89]"
"21 June 1992","WILLIAMS, Richard","[90]"
"21 June 1995","ZWAR, Meredy Jayne","[91]"

