"Games","Year","Host city","Host country","Best nation"
"IV","1950","Auckland","New Zealand","Malaya"
"V","1954","Vancouver, British Columbia","Canada","Canada"
"VI","1958","Cardiff","Wales","Singapore"
"VII","1962","Perth, Western Australia","Australia","England"
"VIII","1966","Kingston","Jamaica","England"
"IX","1970","Edinburgh","Scotland","England"
"X","1974","Christchurch","New Zealand","Australia, England"
"XI","1978","Edmonton, Alberta","Canada","Australia"
"XII","1982","Brisbane, Queensland","Australia","England"
"XIII","1986","Edinburgh","Scotland","Australia"
"XIV","1990","Auckland","New Zealand","India"
"XV","1994","Victoria, British Columbia","Canada","Australia"
"XVI","1998","Kuala Lumpur","Malaysia","Australia"
"XVII","2002","Manchester","England","Cameroon"
"XVIII","2006","Melbourne, Victoria","Australia","Australia"
"XIX","2010","Delhi","India","Nigeria"
"XX","2014","Glasgow","Scotland","Nigeria"
"XXI","2018","Gold Coast, Queensland","Australia",""

