"Year","Title","Role","Notes"
"2001","Final Fantasy X","Yuna, Fayth (Anima)",""
"2003","Final Fantasy X-2","Yuna",""
"2003","Star Wars: Knights of the Old Republic","Various",""
"2005","Kingdom Hearts II","Yuna",""
"2006","Project Sylpheed","Sandra Redbird[13]",""
"2008","Final Fantasy Tactics: The War of the Lions","Agrias Oaks",""
"2008","Valkyria Chronicles","Brigitte \"Rosie\" Stark",""
"2009","Terminator Salvation","Resistance Soldier",""
"2010","Valkyria Chronicles 2","Chloe Bixen\/Brigitte \"Rosie\" Stark",""
"2011","Dissidia 012 Final Fantasy","Yuna",""
"2012","Final Fantasy XIII-2","Various",""

