"#","Year","Venue","Dates"
"1","1981","Nagoya, Japan",""
"2","1984","Singapore",""
"3","1986","Bangkok, Thailand",""
"4","1987","Hong Kong",""
"5","1989","Singapore",""
"6","1990","Seoul, South Korea",""
"7","1991","Fukuoka, Japan",""
"8","1992","Kuala Lumpur, Malaysia",""
"9","1993","Manila, Philippines",""
"10","1994","Bangkok, Thailand",""
"11","1995","Chengdu, China",""
"12","1996","Shanghai, China",""
"13","1997","Brunei","August 10â\u0080\u009316, 1997"
"14","1999","Kuwait City, Kuwait","March 1â\u0080\u00938, 1999"
"15","2000","Vigan, Philippines","June 1â\u0080\u009310, 2000"
"16","2001","Bangkok, Thailand",""
"17","2002","Bangkok, Thailand",""
"18","2003","New Delhi, India","March 22â\u0080\u009328, 2003"
"19","2004","Bangkok, Thailand","July 1â\u0080\u00937, 2004"
"20","2005","Bangkok, Thailand","September 7â\u0080\u009316, 2005"
"21","2006","Singapore","September 1â\u0080\u009310, 2006"
"22","2007","Manila, Philippines","October 25â\u0080\u009331, 2007"
"23","2008","Jaipur, India","February 21â\u0080\u009329, 2008"
"24","2009","Almaty, Kazakhstan","Sep. 24 â\u0080\u0093 Oct. 3, 2009"
"25","2010","Bangkok, Thailand","Mar. 27 â\u0080\u0093 Apr. 6, 2010"

