"Journal","Homepage","Publisher","Publication History","Language","Publication Frequency"
"Acta Botanica Gallica","[1]","Taylor & Francis for SociÃ©tÃ© botanique de France","1853â\u0080\u0093present","English and French","4 issues per year"
"Acta BotÃ¡nica Mexicana","journal home","Instituto de Ecologia","1998â\u0080\u0093present","Spanish","4 issues per year"
"Acta Botanica Yunnanica","journal home","Chinese Academy of Sciences","1979â\u0080\u0093present","Chinese","6 issues per year"
"Acta Phytotaxonomica et Geobotanica","journal home","Japanese Society for Plant Systematics","1932â\u0080\u0093present","English","3 issues per year"
"Aliso","[2]","Rancho Santa Ana Botanic Garden","1948â\u0080\u0093present","English","2 issues per year"
"American Journal of Botany","journal home","HighWire Press and the Botanical Society of America","1914â\u0080\u0093present","English","12 issues per year"
"Annals of Botany","journal home","Oxford Journals","1887â\u0080\u0093present","English","12 issues per year"
"Annals of the Missouri Botanical Garden","[3]","Missouri Botanical Garden Press","1914 to present","English","4 issues per year"
"AoB PLANTS","journal home","Oxford Journals","2009â\u0080\u0093present","English","Continuous, Online"
"Aquatic Botany","journal home","Elsevier","1975â\u0080\u0093present","English","6 issues per year"
"Arnoldia","journal home","Harvard University","1911â\u0080\u0093present","English","4 issues per year"
"Australian Journal of Botany","journal home","CSIRO","1953â\u0080\u0093present","English","8 issues per year"
"Australian Systematic Botany","journal home","CSIRO","1988â\u0080\u0093present","English","6 issues per year"
"Biologia Plantarum","journal home","Springer Science+Business Media and Institute of Experimental Botany of the Academy of Sciences of the Czech Republic","1959â\u0080\u0093present","English","4 issues per year"
"Blumea","journal home","ingentaconnect and National Herbarium of the Netherlands","1934â\u0080\u0093present","English","3 issues per year"
"Blyttia","journal home","Norwegian Botanical Association","1943â\u0080\u0093present","Norwegian","4 issues per year"
"Bonplandia","N\/A","Universidad Nacional del Nordeste","1960â\u0080\u0093present","Spanish","?"
"Botanica Helvetica","journal home","Springer Science+Business Media and the Swiss Botanical Society","1890â\u0080\u0093present","English, German, Italian, French and Romansh","2 issues per year"
"Botanica Pacifica","journal home","Botanical Garden-Institute of the Far Eastern branch of the Russian academy of Sciences","2012â\u0080\u0093present","English","2 issues per year"
"Botanical Journal of Scotland","N\/A","Edinburgh University Press for Botanical Society of Scotland","1991-2008","English","2 issues per year"
"Botanical Journal of the Linnean Society","[4]","Wiley Online Library","1856â\u0080\u0093present","English","12 issues per year"
"Botanisk Tidsskrift","N\/A","Danish Botanical Society","1866â\u0080\u00931980","Danish, German, English and French","4 issues per year"
"Ð\u0091Ð¾Ñ\u0082Ð°Ð½Ð¸Ñ\u0087ÐµÑ\u0081ÐºÐ¸Ð¹ Ð¶Ñ\u0083Ñ\u0080Ð½Ð°Ð» (Botanical Magazine)","journal home","Russian Academy of Sciences","1917â\u0080\u0093present","Russian and English","?"
"Botany","journal home","National Research Council Canada","1929â\u0080\u0093present","English","12 issues per year"
"The Botanical Magazine, Tokyo","N\/A","The Botanical Society of Japan","1887â\u0080\u00931971","English and Japanese","11 issues per year"
"Botanicheskii zhurnal","N\/A","Russkoe Botanicheskoe Obshestvo","1916â\u0080\u0093present","English and Russian","12 issues per year"
"Brittonia","journal home","New York Botanical Garden Press","1931â\u0080\u0093present","English","4 issues per year"
"Contributions of the University of Michigan Herbarium","journal home","University of Michigan Herbarium","1939â\u0080\u0093present","English","Variable"
"Curtis's Botanical Magazine","journal home","Blackwell Publishing and Kew Gardens","1787â\u0080\u0093present","English","4 issues per year"
"Dansk Botanisk Arkiv","N\/A","Danish Botanical Society","1913â\u0080\u00931980","Danish, English, French and German","Variable"
"Darwiniana, nueva serie","sitio web","Instituto de BotÃ¡nica Darwinion","1922 - presente","espaÃ±ol, inglÃ©s","2 por aÃ±o"
"Edinburgh Journal of Botany","journal home","Cambridge University Press for the Royal Botanic Garden Edinburgh","1954â\u0080\u0093present","English","3 issues per year"
"Environmental and Experimental Botany","journal home","Elsevier","1961â\u0080\u0093present","English","9 issues per year"
"Flora","journal home","Elsevier","1818â\u0080\u0093present","English (current) and German (former)","8 issues per year"
"Folia Geobotanica","journal home","Springer Science+Business Media for the Institute of Botany of the Academy of Sciences of the Czech Republic","1966â\u0080\u0093present","English","4 issues per year"
"Frontiers in Plant Science","journal home","Frontiers (publisher)","2010â\u0080\u0093present","English","continuous on-line"
"Gardens' Bulletin Singapore","journal home","National Parks Board, Singapore","1912â\u0080\u0093present","English","2 issues per year"
"Harvard Papers in Botany","journal home","Harvard University Herbaria","1989â\u0080\u0093present","English and up to two non-English abstracts (current)","2 issues per year"
"International Journal of Herbal Medicine","journal home","AkiNik Publications","2013â\u0080\u0093present","English","6 issues per year"
