"Portrait","Name","Birth","Death","King From","King Until","Relationship with Predecessor(s)"
"","Kanakasooriya Cinkaiariyan (restored)","-","1478","1467","1478",""
"","Singai Pararasasegaram","-","1519","1478","1519","Son of Cekaracacekaran V"
"","Cankili I","-","1565","1519","1561","Son of Singai Pararacacekaran VI"
"","Puviraja Pandaram","-","1591","1561","1565","Son of Cekaracacekaran VI"
"","Kasi Nayinar Pararacacekaran","-","1570","1565","1570",""
"","Periyapillai","-","1582","1565","1582",""
"","Puviraja Pandaram (restored)","-","1591","1582","1591",""
"","Ethirimana Cinkam","-","1617","1591","1617","Son of Pararacacekaran VII"
"","Cankili II","-","1619","1617","1619","Nephew of Pararacacekaran VIII Grandson of Pararacacekaran VII Son\/grandson of Cekaracacekaran VIII"

