"Pos","Team","Pld","W","D","L","GF","GA","GD","Pts","Qualification or relegation"
"1","Universitario","22","17","3","2","55","23","+32","54","Copa Libertadores 2001 First stage"
"2","Sporting Cristal","22","15","5","2","48","24","+24","50","Copa Libertadores 2001 First stage"
"3","Cienciano","22","10","5","7","47","28","+19","35"
"4","Melgar","22","10","3","9","33","28","+5","33"
"5","Alianza AtlÃ©tico","22","9","5","8","36","24","+12","32"
"6","Wanka","22","9","5","8","36","34","+2","32"
"7","UniÃ³n Minas","22","9","4","9","33","37","â\u0088\u00924","31"
"8","Alianza Lima","22","7","7","8","36","33","+3","28"
"9","Sport Boys","22","6","7","9","25","25","0","25"
"10","Juan Aurich","22","4","5","13","22","50","â\u0088\u009228","17"
"11","Municipal","22","3","7","12","24","43","â\u0088\u009219","16"
"12","UPAO","22","4","3","15","19","50","â\u0088\u009231","15"

