"Location","Venue","Room","Date built","Seats","Resident organizations"
"Athens","Olympia Theatre","Maria Callas Hall","1958","650","Greek National Opera"
"Athens","Athens Concert Hall","Christos Lambrakis Hall (former Friends of Music Hall)","1991","1,961","Armonia Atenea - The Friends of Music Orchestra"
"Athens","Athens Concert Hall","Dimitris Mitropoulos Hall","1991","494",""
"Athens","Athens Concert Hall","Alexandra Trianti Hall","2004","1,750",""
"Athens","Odeon of Herodes Atticus","","161 AD","5,000","Athens Festival"
"Athens","Onassis Cultural Centre (in Greek)","Main Stage","2004","880","Armonia Atenea - The Friends of Music Orchestra"
"Ermoupoli","Apollon Theatre (Ermoupoli) (in Greek)","","1864","350",""
"Patras","Apollon Theatre (Patras)","","1872","300",""
"Piraeus","Piraeus Municipal Theatre","","1895","600",""
"Thessaloniki","Thessaloniki Concert Hall","Friends of Music Hall","2000","1,464",""
"Thessaloniki","Thessaloniki Concert Hall","Aimilios Riadis Hall","2000","500",""

