"","19703","19803","19853","19903","1993","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Euro1","â\u0080\u0094","â\u0080\u0094","â\u0080\u0094","0.6571","0.6734","0.9387","1.0832","1.1171","1.0578","0.8833","0.8040","0.8033","0.7960","0.7293","0.6791","0.7176","0.6739","0.7178","0.7777","0.7530","0.7520"
"Japanese yen","357.6","240.45","250.35","146.25","111.08","113.73","107.80","121.57","125.22","115.94","108.15","110.11","116.31","117.76","103.39","93.68","87.78","79.70","79.82","97.60","105.74"
"Pound sterling","8s 4d =0.4167","0.4484[61]","0.8613[61]","0.6207","0.6660","0.6184","0.6598","0.6946","0.6656","0.6117","0.5456","0.5493","0.5425","0.4995","0.5392","0.6385","0.4548","0.6233","0.6308","0.6393","0.6066"
"Canadian dollar","1.081","1.168","1.321","1.1605","1.2902","1.4858","1.4855","1.5487","1.5704","1.4008","1.3017","1.2115","1.1340","1.0734","1.0660","1.1412","1.0298","0.9887","0.9995","1.0300","1.1043"
"Mexican peso","0.01250â\u0080\u00930.026502","2.802","2.672","2.502","3.1237","9.553","9.459","9.337","9.663","10.793","11.290","10.894","10.906","10.928","11.143","13.498","12.623","12.427","13.154","12.758","13.302"
"Renminbi yuan","2.46","1.7050","2.9366","4.7832","5.7620","8.2783","8.2784","8.2770","8.2771","8.2772","8.2768","8.1936","7.9723","7.6058","6.9477","6.8307","6.7696","6.4630","6.3093","6.1478","6.1620"
"Indian rupee","â\u0080\u0094","8.000","12.38","16.96","31.291","43.13","45.00","47.22","48.63","46.59","45.26","44.00","45.19","41.18","43.39","48.33","45.65","46.58","53.37","58.51","61.00"
"Singapore dollar","â\u0080\u0094","â\u0080\u0094","2.179","1.903","1.6158","1.6951","1.7361","1.7930","1.7908","1.7429","1.6902","1.6639","1.5882","1.5065","1.4140","1.4543","1.24586","1.2565","1.2492","1.2511","1.2665"
"South African rand","0.7182","0.7780","2.2343[62]","2.5600","3.2729","6.1191","6.9468","8.6093","10.5176","7.5550","6.4402","6.3606","6.7668","7.0477","8.2480","8.4117","7.3159","7.2510","8.2014","9.6436","10.8420"

