"Peak","Height (m)","Prom. (m)","Grid ref.","Class","Parent",""
"Great Gable","899","425","NY211103","Marilyn","Scafell Pike","Great Gable"
"Pillar","892","348","NY171121","Marilyn","Great Gable","Great Gable"
"Scoat Fell","841","86","NY159113","Hewitt","Pillar","Great Gable"
"Black Crag","828","34","NY165116","Hewitt","Pillar","Great Gable"
"Red Pike (Wasdale)","826","62","NY165106","Hewitt","Pillar","Great Gable"
"Steeple","819","24","NY157116","Nuttall","Scoat Fell","Great Gable"
"High Stile","807","362","NY170148","Marilyn","Great Gable","Great Gable"
"Kirk Fell","802","181","NY194104","Marilyn","Great Gable","Great Gable"
"Green Gable","801","50","NY214107","Hewitt","Great Gable","Great Gable"
"Haycock","797","94","NY144107","Hewitt","Pillar","Great Gable"
"Kirk Fell east top","787","36","NY199107","Hewitt","Kirk Fell","Pillar"
"Pillar Rock","780","15","NY171123","Nuttall","Pillar","Pillar"
"Red Pike (Buttermere)","755","40","NY160154","Hewitt","High Stile","Pillar"
"High Crag","744","35","NY180140","Hewitt","High Stile","Pillar"
"Little Gowder Crag","733","17","NY140109","Nuttall","Haycock","Pillar"
"Brandreth","715","61","NY214119","Hewitt","Great Gable","Pillar"
"Caw Fell","697","22","NY131109","Nuttall","Haycock","Pillar"
"Grey Knotts","697","16","NY217125","Nuttall","Brandreth","Pillar"
"Seatallan","692","193","NY139084","Marilyn","Pillar","Pillar"
"Fleetwith Pike","648","117","NY205141","Hewitt","Great Gable","Fleetwith Pike"
"Base Brown","646","38","NY225114","Hewitt","Green Gable","Fleetwith Pike"
"Dodd","641","20","NY163157","Nuttall","Red Pike","Fleetwith Pike"
"Iron Crag","640","56","NY123119","Hewitt","Haycock","Fleetwith Pike"
"Starling Dodd","633","73","NY141157","Hewitt","High Stile","Fleetwith Pike"
"Honister Crag 1","630","20","NY212142","Nuttall","Fleetwith Pike","Fleetwith Pike"
"Yewbarrow","627","142","NY173084","Hewitt","Pillar","Fleetwith Pike"
"Looking Stead","627","20","NY186117","Nuttall","Pillar","Fleetwith Pike"
"Great Borne","616","113","NY123163","Hewitt","High Stile","Fleetwith Pike"
"Yewbarrow north top","616","33","NY175091","Hewitt","Yewbarrow","Fleetwith Pike"

