"COMPANY NAME","SYMBOL","INDUSTRY"
"Abacus Mining & Exploration Corporation","AME","Metals & Mining"
"Abcourt Mines Inc.","ABI",""
"ABE Resources Inc.","ABE","Metals & Mining"
"Aben Resources Ltd.","ABN","Metals & Mining"
"Abenteuer Resources Corp.","ABU","Oil & Gas - E&P"
"Abington Resources Ltd.","ABL","Oil & Gas - E&P"
"Abitibi Royalties Inc.","RZZ",""
"Abzu Gold Ltd.","ABS","Metals & Mining"
"Acasti Pharma Inc.","APO",""
"Acceleware Ltd.","AXE","Application Software"
"Access International Education Ltd.","AOE","Education"
"Ackroo Inc.","AKR","Application Software"
"Acme Resources Inc.","ARI",""
"Acrex Ventures Ltd.","AKV","Metals & Mining"
"ACT Aurora Control Technologies Corp.","ACU","Semiconductors"
"ACT360 Solutions Ltd.","AKM","Online Media"
"Active Control Technology Inc.","ACT","Communication Equipment"
"Active Growth Capital Inc.","ACK","Metals & Mining"
"Actus Minerals Corp.","AAC","Metals & Mining"
"Adamera Minerals Corp.","ADZ","Metals & Mining"
"Adanac Molybdenum Corporation","AUA","Metals & Mining"
"Adent Capital Corp.","ANT.P","Conglomerates"
"Adex Mining Inc.","ADE","Metals & Mining"
"Adira Energy Ltd.","ADL","Oil & Gas - E&P"
"Adriana Resources Inc.","ADI","Metals & Mining"
"Adroit Resources Inc.","ADT","Metals & Mining"
"Advance Gold Corp.","AAX","Metals & Mining"
"Advanced Explorations Inc.","AXI","Metals & Mining"
"Advanced Proteome Therapeutics Corporation","APC","Biotechnology"
"Advent Wireless Inc.","AWI","Retail - Apparel & Specialty"
"Adventure Gold Inc.","AGE","Metals & Mining"
"Aegean Metals Group Inc.","AGN","Metals & Mining"
"Afri-Can Marine Minerals Corporation","AFA","Metals & Mining"
"Africa Hydrocarbons Inc.","NFK",""
"African Gold Group, Inc.","AGG","Metals & Mining"
"African Metals Corporation","AFR","Metals & Mining"
"African Queen Mines Ltd.","AQ",""
"Aftermath Silver Ltd.","AAG","Metals & Mining"
"Agave Silver Corp.","AGV","Metals & Mining"
"Agility Health, Inc.","AHI","Health Care Providers"
"AgriMinco Corp.","ANO","Metals & Mining"
"Aguila American Gold Limited","AGL","Metals & Mining"
"Aim Explorations Ltd.","AXN.P","Conglomerates"
"AirIQ Inc.","IQ","Application Software"
"Alabama Graphite Corp.","ALP","Metals & Mining"
"Alaska Hydro Corporation","AKH","Utilities - Independent Power Producers"
"Alberta Oilsands Inc.","AOS","Oil & Gas - E&P"
"Alberta Star Development Corp.","ASX","Metals & Mining"
"Alchemist Mining Inc.","AMS","Metals & Mining"
"Alder Resources Ltd.","ALR","Metals & Mining"
"Aldershot Resources Ltd.","ALZ","Metals & Mining"
"Aldridge Minerals Inc.","AGM","Metals & Mining"
"Aldrin Resource Corp.","ALN","Metals & Mining"
"Alexander Nubia International Inc.","AAN","Metals & Mining"
"Alexandra Capital Corp.","AXC.P","Conglomerates"
"Alexandria Minerals Corporation","AZX","Metals & Mining"
"Algold Resources Ltd.","ALG",""
"Alhambra Resources Ltd.","ALH","Metals & Mining"
"Alita Resources Ltd.","AL","Metals & Mining"
"Alix Resources Corp.","AIX","Metals & Mining"
"All in West! Capital Corporation","ALW","Travel & Leisure"
"Allegiance Equity Corporation","ANQ","Drug Manufacturers"
"Alliance Mining Corp.","ALM",""
"Allied Hotel Properties Inc.","AHP","Travel & Leisure"
"Almo Capital Corp.","APT","Metals & Mining"
"Almonty Industries Inc.","AII","Metals & Mining"
"Alpha Exploration Inc.","AEX",""
"Alpha Peak Leisure Inc.","AAP.P","Conglomerates"
"Alphamin Resources Corp.","AFM","Metals & Mining"
"Alphinat Inc.","NPA","Online Media"
"ALQ Gold Corp.","ALQ","Metals & Mining"
"Alston Energy Inc.","ALO","Oil & Gas - E&P"
"Alta Natural Herbs & Supplements Ltd.","AHS","Drug Manufacturers"
"Alta Vista Ventures Ltd.","AVV",""
"Altai Resources Inc.","ATI","Oil & Gas - E&P"
"Altair Gold Inc.","AVX","Metals & Mining"
"Altan Nevada Minerals Limited","ANE",""
"Altan Rio Minerals Limited","AMO","Metals & Mining"
"Alternative Earth Resources Inc.","AER",""
"Altima Resources Ltd.","ARH","Oil & Gas - E&P"
"Altiplano Minerals Ltd.","APN",""
"Altitude Resources Inc.","ALI","Coal"
"Alto Ventures Ltd.","ATV","Metals & Mining"
"Alturas Minerals Corp.","ALT","Metals & Mining"
"Alvopetro Energy Ltd.","ALV",""
"AM Gold Inc.","AMG","Metals & Mining"
"Amador Gold Corp.","AGX","Metals & Mining"
"Amanta Resources Ltd.","AMH","Metals & Mining"
"Amarc Resources Ltd.","AHR","Metals & Mining"
"Amarillo Gold Corporation","AGC","Metals & Mining"
"Amarok Energy Inc.","AMR","Oil & Gas - E&P"
"Amato Exploration Ltd","AMT","Metals & Mining"
"American Consolidated Minerals Corp.","AJC","Metals & Mining"
"American Creek Resources Ltd.","AMK","Metals & Mining"
"American Cumo Mining Corporation","MLY",""
"American Manganese Inc.","AMY","Metals & Mining"
"American Natural Energy Corp.","ANR.U","Oil & Gas - E&P"
"American Vanadium Corp.","AVC","Metals & Mining"
"Americas Petrogas Inc.","BOE",""
"Amerix Precious Metals Corporation","APM","Metals & Mining"
"Amex Exploration Inc.","AMX","Metals & Mining"
"AMG Bioenergy Resources Holdings Ltd.","ABG","Consumer Packaged Goods"
"AMI Resources Inc.","AMU","Metals & Mining"
"Amseco Exploration Ltd.","AEL","Metals & Mining"
"AnalytixInsight Inc.","ALY","Entertainment"
"Anconia Resources Corp.","ARA","Metals & Mining"
"AndeanGold Ltd.","AAU","Metals & Mining"
"Anfield Nickel Corp.","ANF","Metals & Mining"
"Anfield Resources Inc.","ARY",""
"Angel Gold Corp.","ANG","Metals & Mining"
"Angkor Gold Corp.","ANK","Metals & Mining"
"Anglo Swiss Resources Inc.","ASW",""
"Anglo-Bomarc Mines Ltd. (N.P.L.)","ANB","Metals & Mining"
"Anglo-Canadian Mining Corp.","URA","Metals & Mining"
"Angus Mining Inc.","ANA",""
"Annidis Corporation","RHA",""
"Ansell Capital Corp.","ACP","Metals & Mining"
"Anterra Energy Inc.","AE.A","Oil & Gas - E&P"
"Anthem Resources Inc.","AYN","Metals & Mining"
"Anthem United Inc.","AFY","Metals & Mining"
"Antibe Therapeutics Inc.","ATE","Biotechnology"
"Antioquia Gold Inc.","AGD",""
"Antipodes Gold Limited","AXG",""
"Antrim Energy Inc.","AEN","Oil & Gas - E&P"
"Apivio Systems Inc.","APV",""
"Apogee Silver Ltd.","APE","Metals & Mining"
"Appalaches Resources Inc.","APP","Metals & Mining"
"Appulse Corporation","APL","Industrial Products"
"AQM Copper Inc.","AQM",""
"Aqua-Pure Ventures Inc.","AQE","Industrial Products"
"Aquarius Coatings Inc.","AQC","Building Materials"
"Arcan Resources Ltd.","ARN","Oil & Gas - E&P"
"Archer Petroleum Corp.","ARK","Oil & Gas - E&P"
"Archon Minerals Limited","ACS","Metals & Mining"
