"Rank","Country","Airport","City\/Town\/Village","Code (IATA\/ICAO)","Total passengers","Rank Change","Change 2012â\u0080\u00932013"
"1.","DEN","Copenhagen Airport","Copenhagen","CPH\/EKCH","24,066,917","","+3.1%"
"2.","NOR","Oslo Airport","Oslo","OSL\/ENGM","22,956,544","","+4.0%"
"3.","SWE","Stockholm Arlanda Airport","Stockholm","ARN\/ESSA","20,673,810","","+5.1%"
"4.","FIN","Helsinki Airport","Helsinki","HEL\/EFHK","15,279,043","","+2.8%"
"5.","NOR","Bergen Airport Flesland","Bergen","BGO\/ENBR","6,213,960","","+6.9%"
"6.","SWE","GÃ¶teborg Landvetter Airport","Gothenburg","GOT\/ESGG","4,998,526","","+3.0%"
"7.","NOR","Stavanger Airport Sola","Stavanger","SVG\/ENZV","4,668,403","","+5.8%"
"8.","NOR","Trondheim Airport VÃ¦rnes","Trondheim","TRD\/ENVA","4,311,328","","+3.6%"
"9.","ISL","KeflavÃ­k International Airport","KeflavÃ­k\/ReykjavÃ­k","KEF\/BIKF","3,209,848","","+16.1%"
"10.","DEN","Billund Airport","Billund","BLL\/EKBI","2,829,016","","+3.5%"
"11.","SWE","Bromma Stockholm Airport","Stockholm","BMA\/ESSB","2,277,567","1","-0.7%"
"12.","SWE","Stockholm Skavsta Airport","NykÃ¶ping\/Stockholm","NYO\/ESKN","2,165,040","1","-6.6%"
"13.","SWE","MalmÃ¶ Airport","MalmÃ¶","MMX\/ESMS","2,124,682","","+1.0%"
"14.","NOR","TromsÃ¸ Airport Langnes","TromsÃ¸","TOS\/ENTC","1,935,419","","+2.5%"
"15.","NOR","Moss Airport Rygge","Oslo\/Moss","RYG\/ENRY","1,890,889","","+9.2%"
"16.","NOR","Torp Sandefjord Airport","Oslo\/Sandefjord","TRF\/ENTO","1,856,300","1","+8.8%"
"17.","NOR","BodÃ¸ Airport","BodÃ¸","BOO\/ENBO","1,669,191","1","-3.6%"
"18.","DEN","Aalborg Airport","Aalborg","AAL\/EKYT","1,302,053","","-0.5%"
"19.","SWE","LuleÃ¥ Airport","LuleÃ¥","LLA\/ESPA","1,105,680","","+1.4%"
"20.","NOR","Ã lesund Airport Vigra","Ã lesund","AES\/ENAL","1,077,209","2","+7.6%"
