"Year","Awarded","Place"
"2015","Christos Papadimitriou","ICALP (Kyoto)"
"2014","Gordon Plotkin","ICALP (Copenhagen)"
"2013","Martin Dyer","ICALP (Riga)"
"2012","Moshe Vardi","ICALP (Warwick)"
"2011","Boris Trakhtenbrot","ICALP (Zurich)"
"2010","Kurt Mehlhorn","ICALP (Bordeaux)"
"2009","GÃ©rard Huet","ICALP (Rhodes)"
"2008","Leslie G. Valiant","ICALP (ReykjavÃ­k)"
"2007","Dana S. Scott","ICALP (Wroclaw)"
"2006","Mike Paterson","ICALP (Venice)"
"2005","Robin Milner","ICALP (Lisboa)"
"2004","Arto Salomaa","ICALP (Turku)"
"2003","Grzegorz Rozenberg","ICALP (Eindhoven)"
"2002","Maurice Nivat","ICALP (MÃ¡laga)"
"2001","Corrado BÃ¶hm","ICALP (Creta)"
"2000","Richard Karp","ICALP (Geneva)"

