"Year","Recipient","Rationale[2]"
"1972","Karl August Folkers, The University of Texas at Austin","For his basic research in the area of life sciences."
"1974","Albert Eschenmoser, Swiss Federal Institute of Technology","For his profound and highly creative contributions to synthetic chemistry."
"1976","Neil Bartlett, University of California, Berkeley","For his synthesis of chemical compounds of noble gases and the consequent opening of broad new fields of research in inorganic chemistry."
"1978","Edgar Bright Wilson, Harvard University","For his pioneering theoretical and experimental contributions to molecular structure."
"1980","Sune Bergstr̦m, Karolinska Institute","For his pioneering studies of the prostaglandins."
"1981","Paul Doughty Bartlett, Texas Christian University","For his original investigations of the mechanisms of organic reactions."
"1982","Frank Westheimer, Harvard University","For his significant achievements in the field of bioorganic chemistry."
"1983","Henry Taube, Stanford University","For his contributions to the field of chemistry, particularly in inorganics."
"1984","Kenneth Pitzer, University of California, Berkeley","For his theory for the internal rotation of groups within molecules."
"1985","Duilio Arigoni, Swiss Federal Institute of Technology","For his contributions of founding the field of bioorganic stereochemistry."
"1986","George C. Pimentel, University of California, Berkeley","For his contribution to the field of hydrogen bonding, matrix isolation, and chemical lasers."
"1987","Harry George Drickamer, University of Illinois at Urbana-Champaign","For his research on the effects of pressure on optical, electrical magnetic and chemical properties of matter."
"1988","Richard Barry Bernstein, University of California, Los Angeles","For his pioneering research in chemical dynamics, thereby providing a new understanding of chemical reactions."
"1989","Norman R. Davidson, California Institute of Technology","For his pioneering research contributions to the understanding of the structure and function of genetic materials, especially for his novel techniques which had a powerful influence in this field."
"1990","John D. Roberts, California Institute of Technology","For his integration of molecular spectroscopy, quantum mechanics, kinetics and other aspects of physical chemistry with his talent for organic synthesis. In the application of these intertwined disciplines to the study of structure activities of organic molecules."
"1990","William von Eggers Doering, Harvard University","For his critical contribution into fundamental aspects of physical organic chemistry. Among his many other important contributions, his work on the carbenes was a pioneering effort which opened a broad field."
"1991","Earl R. Stadtman, National Institutes of Health","For his work in demonstrating that covalent interconvertible enzyme cascades provide the cell with a finely tuned regulatory mechanism capable of integrating a vast amount of metabolic information, and that they have a remarkable potential for amplification signals and rates."
"1991","Edwin G. Krebs, Howard Hughes Medical Institute, University of Washington","For his part in showing that interconversion of phosphorylase between its active and inactive forms involved phosphorylation\/ dephosphorylation, a process fundamental to the regulation of nearly every vital biological function."
"1992","Richard Smalley, Rice University","For his career contributions to physical chemistry, including his development and use of supersonic molecular beam techniques for the study of clusters, ions, and molecules."
"1993","Gilbert Stork, Columbia University","For his work in developing new methods in organic synthesis and as a mentor to leading synthetic chemists all over the world. He has profoundly influenced the way scientists think about natural product synthesis in general and stereochemical control in particular."
"1994","Jack Halpern, The University of Chicago","For his contributions to understanding reaction mechanisms not only of inorganic chemicals but of complex organometallic reactions systems as well; also for his contributions to understanding the field of homogeneous catalysis in solution."
