"City of license","State","Call sign","Frequency"
"Birmingham","Alabama","WBFR","89.5 FM"
"Phoenix","Arizona","KPHF","88.3 FM"
"Bakersfield","California","KFRB","91.3 FM"
"Chico","California","KHAP","89.1 FM"
"China Lake","California","KFRJ","91.1 FM"
"Coalinga","California","KFRP","90.7 FM"
"El Cajon","California","KECR","910 AM"
"Fresno","California","KFNO","90.3 FM"
"Le Grand","California","KEFR","89.9 FM"
"Long Beach","California","KFRN","1280 AM"
"Sacramento","California","KEBR","88.1 FM"
"San Francisco","California","KEAR","610 AM"
"Soledad","California","KFRS","89.9 FM"
"Ukiah","California","KPRA","89.5 FM"
"Pueblo","Colorado","KFRY","89.9 FM"
"Vernon","Connecticut","WCTF","1170 AM"
"Florida City","Florida","WMFL","88.5 FM"
"Jacksonville","Florida","WJFR","88.7 FM"
"Stuart","Florida","WWFR","91.7 FM"
"Americus","Georgia","WFRP","88.7 FM"
"Columbus","Georgia","WFRC","90.5 FM"
"Joliet","Illinois","WJCH","91.9 FM"
"Des Moines","Iowa","KDFR","91.3 FM"
"Shenandoah","Iowa","KYFR","920 AM"
"Emporia","Kansas","KPOR","90.7 FM"
"Baltimore","Maryland","WBMD","750 AM"
"Baltimore","Maryland","WFSI","860 AM"
"Schoolcraft","Michigan","WOFR","89.5 FM"
"Butte","Montana","KFRD","88.3 FM"
"Great Falls","Montana","KFRW","91.9 FM"
"Socorro","New Mexico","KXFR","91.9 FM"
"Buffalo","New York","WFBF","89.9 FM"
"Kingston","New York","WFRH","91.7 FM"
"New York City","New York","WFME","1560 AM"
"Mt. Kisco","New York","WFME-FM","106.3 FM"
"Smithtown","New York","WFRS","88.9 FM"
"Cuyahoga Falls","Ohio","WCUE","1150 AM"
"Toledo","Ohio","WOTL","90.3 FM"
"Youngstown","Ohio","WYTN","91.7 FM"
"Newport","Oregon","KYOR","88.9 FM"
"Pine Grove","Oregon","KPFR","89.5 FM"
"Springfield","Oregon","KQFE","88.9 FM"
"Bedford","Pennsylvania","WUFR","91.1 FM"
"Erie","Pennsylvania","WEFR","88.1 FM"
"Johnstown","Pennsylvania","WFRJ","88.9 FM"
"Philadelphia","Pennsylvania","WKDN","950 AM"
"State College","Pennsylvania","WKDN-FM","88.3 FM"
"Charleston","South Carolina","WFCH","88.5 FM"
"Aberdeen","South Dakota","KKAA","1560 AM"
"Redfield","South Dakota","KQKD","1380 AM"
"Beaumont","Texas","KTXB","89.7 FM"
"Kirkland","Washington","KARRâ\u0080","1460 AM"
"Longview","Washington","KJVH","89.5 FM"
"Milwaukee","Wisconsin","WMWK","88.1 FM"
"Salt Lake City","Utah","KUFR","91.7 FM"

