"Category","Winner"
"Afro Fusion","Kaz"
"Asian Music","Gupz"
"Boomba Rap","Pili Pili"
"Boomba Pop","Xyzee"
"Contemporary Gospel","Esther Wahome"
"Eastern Benga","Musaimo"
"Gospel Ensembles","Ruth Wamuyu"
"Hip hop","Ukoo Fulani MauMau"
"R&B","Mbuvi"
"Rap","Bamboo"
"Reggae\/Ragga","Redsan"
"Traditional","Kenge Kenge"
"Best Artist\/Group from Tanzania","TID"
"Best Artist\/Group from Uganda","Blu*3"
"Best Music Video from Uganda","Blu*3"
"Western Benga","Peter Khayadi"
"Best Music Video from Kenya","Harry Kimani"
"Best Song","Harry Kimani"
"Best Collaboration","Pili Pili Feat. Ratatat"
"Best Male Artist","Pili Pili"
"Best Female Artist","Nyota Ndogo"
"Most Promising Artist","Maximum Melodies"
"Best Group","Kleptomaniax"
"Producer of the Year","Clemo (Calif Records)"

