"Team \\ Round","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"Anderlecht","1","4","3","3","4","2","2","2","2","2","3","2","2","3","2","2","1","1","2","1","1","1","1","1","1","1","2","2","1","1"
"Genk","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","1","1","2","2"
"Gent","4","9","5","5","3","5","4","4","3","4","2","4","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"Club Brugge","12","6","9","11","9","7","7","6","6","6","5","8","8","9","7","8","8","6","6","6","4","4","4","4","4","4","4","4","4","4"
"Lokeren","15","14","12","12","13","10","13","11","9","9","8","7","7","7","5","4","5","4","5","5","6","5","6","7","6","6","5","5","5","5"
"Standard Li̬ge","7","3","6","8","6","6","6","5","4","3","4","3","4","5","4","5","4","5","4","4","5","6","7","5","5","7","7","7","6","6"
"Mechelen","2","2","2","2","2","4","3","3","5","5","7","5","5","4","6","6","6","7","8","9","10","9","8","9","7","5","6","6","7","7"
"Westerlo","12","7","8","9","11","12","9","8","10","10","10","10","10","10","9","10","10","10","10","11","11","11","10","10","10","10","10","10","8","8"
"Cercle Brugge","7","10","7","10","10","11","8","10","8","8","6","6","6","8","10","7","7","8","9","10","7","7","5","6","8","8","8","8","9","9"
"Kortrijk","4","5","4","4","5","3","5","7","7","7","9","9","9","6","8","9","9","9","7","7","8","8","9","8","9","9","9","9","10","10"
"Zulte Waregem","7","12","11","7","8","9","12","9","12","12","12","12","12","11","11","11","11","11","11","8","9","10","11","11","11","11","11","11","11","11"
"Sint-Truiden","4","8","10","6","7","8","11","13","13","13","13","13","13","13","13","12","12","12","12","12","12","12","12","12","12","12","13","12","12","12"
"Germinal Beerschot","11","13","14","13","14","13","10","12","11","11","11","11","11","12","12","13","13","13","13","14","14","14","13","14","13","13","12","13","13","13"
"Lierse","12","15","16","15","15","15","15","15","14","15","14","14","14","14","14","15","15","15","15","15","15","15","15","15","15","15","15","15","15","14"
"Eupen","16","15","15","16","16","16","16","16","16","16","16","16","16","15","15","14","14","14","14","13","13","13","14","13","14","14","14","14","14","15"
"Charleroi","7","10","13","14","12","14","14","14","15","14","15","15","15","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16"

