"A.","Journal","ISSN","Status","Notes"
"","Abstracts of Working Papers in Economics","0951-0079","Ceased (2005)",""
"","Acta geneticae medicae et gemellologiae: twin research","0001-5660","Ceased (1998)","Formerly Acta geneticae medicae et gemellologiae, v. 1â\u0080\u009327 (1952â\u0080\u009378) Replaced by Twin Research and Human Genetics"
"â\u008A\u008A","Acta Neuropsychiatrica","1601-5215","Ongoing",""
"â\u008A\u008A","Acta Numerica","0962-4929 (print) 1474-0508 (web)","Ongoing",""
"â\u008A\u008A","Advances in Animal Biosciences","2040-4700 (print) 2040-4719 (web)","Ongoing",""
"","Advances in Applied Mathematics and Mechanics","2070-0733 (print) 2075-1354 (web)","Ongoing",""
"â\u008A\u008A","Africa","0001-9720 (print) 1750-0184 (web)","Ongoing",""
"","Africa Bibliography","0266-6731 (print) 1757-1642 (web)","Ongoing",""
"â\u008A\u008A","African Studies Review","0002-0206 (print) 1555-2462 (web)","Ongoing","Formerly African Studies Bulletin volume 1â\u0080\u009312 (1958â\u0080\u009369)"
"â\u008A\u008A","Ageing & Society","0144-686X (print) 1469-1779 (web)","Ongoing",""
"â\u008A\u008A","AI EDAM","0890-0604 (print) 1469-1760 (web)","Ongoing",""
"","AJS Review","0364-0094 (print) 1475-4541 (web)","Ongoing",""
"","Albion","0095-1390","Ceased (2005)","Merged with Journal of British Studies from v. 44"
"","American Journal of Alternative Agriculture","0889-1893 (print) 1478-5498 (web)","Ceased (2003)","Now published as Renewable Agriculture and Food Systems"
"â\u008A\u008A","American Political Science Review","0003-0554 (print) 1537-5943 (web)","Ongoing",""
"","The Americas: A Quarterly Review of Latin American History","0003-1615 (print) 1533-6247 (web)","Ongoing",""
"","Anatolian Studies","0066-1546 (print) 2048-0849 (web)","Ongoing",""
"â\u008A\u008A","Ancient Mesoamerica","0956-5361 (print) 1469-1787 (web)","Ongoing",""
"â\u008A\u008A","Anglo-Saxon England (journal)","0263-6751 (print) 1474-0532 (web)","Ongoing",""
"â\u008A\u008A","animal","1751-7311 (print) 1751-732X (web)","Ongoing",""
"","Animal Genetic Resources Resources gÃ©nÃ©tiques animales Recursos genÃ©ticos animales","2078-6336 (print) 2078-6344 (web)","Ongoing","Formerly Animal Genetic Resources Information, v. 1â\u0080\u009345 (1983â\u0080\u00932009)"
"â\u008A\u008A","Animal Health Research Reviews","1466-2523 (print) 1475-2654 (web)","Ongoing",""
"","Animal Science","1357-7298 (print) 1748-748X (web)","Ceased (2006)","Formerly Animal Production, v. 1â\u0080\u009359 (1959â\u0080\u009394) Merged into animal"
"â\u008A\u008A","International Journal of Limnology Annales de Limnologie","0003-4088 (print) 2100-000X (web)","Ongoing",""
"","Annals of Actuarial Science","1748-4995 (print) 1748-5002 (web)","Ongoing",""
"","Annual of the British School at Athens","0068-2454 (print) 2045-2403 (web)","Ongoing",""
"â\u008A\u008A","Annual Review of Applied Linguistics","0267-1905 (print) 1471-6356 (web)","Ongoing",""
"â\u008A\u008A","Antarctic Science","0954-1020 (print) 1365-2079 (web)","Ongoing",""
"","Antichthon","0066-4774 (print) 2056-8819 (web)","Ongoing",""
"","The Antiquaries Journal","0003-5815 (print) 1758-5309 (web)","Ongoing","Formerly Proceedings of the Society of Antiquaries of London, First Series, v. 1â\u0080\u00934 (1844â\u0080\u009359) Proceedings of the Society of Antiquaries of London, Second Series, v. 1â\u0080\u009332 (1860â\u0080\u00931920)"
"â\u008A\u008A","Antiquity (journal)","0003-598x (print) 1745-1744 (web)","Ongoing",""
"â\u008A\u008A","The ANZIAM Journal","1446-1811 (print) 1446-8735 (web)","Ongoing","Formerly The Journal of the Australian Mathematical Society, Series B. Applied Mathematics, v. 19â\u0080\u009341 (1975â\u0080\u00932000) Split from The Journal of the Australian Mathematical Society in 1975"
"â\u008A\u008A","Applied Psycholinguistics","0142-7164 (print) 1469-1817 (web)","Ongoing",""
"","APSIPA Transactions on Signal and Information Processing","2048-7703","Ongoing",""
"â\u008A\u008A","Aquatic Living Resources","0990-7440 (print) 1765-2952 (web)","Ongoing",""
"â\u008A\u008A","Arabic Sciences and Philosophy","0957-4239 (print) 1474-0524 (web)","Ongoing",""
"","Arbor Clinical Nutrition Updates","1446-5450 (print) 1446-5450 (web)","Ongoing",""
"","Archaeologia Miscellaneous Tracts Relating to Antiquity","0261-3409","Ceased (1991)","Archaeologia was published between 1770 and 1991. It has been replaced by The Antiquaries Journal."
"â\u008A\u008A","Archaeological Dialogues","1380-2038 (print) 1478-2294 (web)","Ongoing",""
"","Archaeological Reports","0570-6084 (print) 2041-4102 (web)","Ongoing",""
"â\u008A\u008A","Architectural History","0066-622X (print) 2059-5670 (web)","Ongoing",""
"â\u008A\u008A","arq: Architectural Research Quarterly","1359-1355 (print) 1474-0516 (web)","Ongoing",""
"â\u008A\u008A","Art Libraries Journal","0307-4722","Ongoing",""
"","Asian Journal of Comparative Law","1932-0205 (print) 1932-0205 (web)","Ongoing",""
"â\u008A\u008A","Asian Journal of International Law","2044-2513 (print) 2044-2521 (web)","Ongoing",""
"â\u008A\u008A","Asian Journal of Law and Society","2052-9015 (print) 2052-9023 (web)","Ongoing",""
"","ASTIN Bulletin","0515-0361 (print) 1783-1350 (web)","Ongoing",""
"","Australasian Journal of Organisational Psychology","2054-2232","Ongoing",""
"","Australasian Journal of Special Education","1030-0112 (print) 1833-6914 (web)","Ongoing",""
"","The Australian Educational and Developmental Psychologist","0816-5122 (print) 1839-2504 (web)","Ongoing",""
"","Australian Journal of Environmental Education","0814-0626 (print) 2049-775X (web)","Ongoing",""
"â\u008A\u008A","The Australian Journal of Indigenous Education","1326-0111 (print) 2049-7784 (web)","Ongoing",""
"","The Australian Journal of Rehabilitation Counselling","1323-8922 (print) 1838-6059 (web)","Ongoing",""
"","Austrian History Yearbook","0067-2378 (print) 1558-5255 (web)","Ongoing",""
"","Behavioral and Brain Sciences","0140-525X (print) 1469-1825 (web)","Ongoing",""
"â\u008A\u008A","Behaviour Change","0813-4839 (print) 2049-7768 (web)","Ongoing",""
"â\u008A\u008A","Behavioural and Cognitive Psychotherapy","1352-4658 (print) 1469-1833 (web)","Ongoing","Formerly B.A.B.P. Bulletin, v. 1â\u0080\u00935 (1973-1977) Behavioural Psychotherapy, v. 6â\u0080\u009321, no. 2 (1978â\u0080\u00931993)"
"â\u008A\u008A","Bilingualism: Language and Cognition","1366-7289 (print) 1469-1841 (web)","Ongoing",""
"","Biofilms","1479-0505 (print) 1479-0513 (web)","Ceased (2006)",""
"","BioSocieties","1745-8552 (print) 1745-8560 (web)","Ongoing","Since 2010 BioSocieties has been published by Palgrave Macmillan."
"â\u008A\u008A","Bird Conservation International","0959-2709 (print) 1474-0001 (web)","Ongoing",""
"","BJHS Themes","2056-354X","Ongoing",""
"â\u008A\u008A","Brain Impairment","1443-9646 (print) 1839-5252 (web)","Ongoing",""
"","Breast Cancer Online","1470-9031","Ceased (2009)",""
"","Britannia","0068-113X (print) 1753-5352 (web)","Ongoing",""
"","British Actuarial Journal","1357-3217 (print) 2044-0456 (web)","Ongoing","Formerly Journal of the Institute of Actuaries Merged with Transactions of the Faculty of Actuaries in 1995."
"â\u008A\u008A","British Catholic History","2055-7973 (print) 2055-7981 (web)","Ongoing","Formerly Recusant History, v. 4â\u0080\u009331 (1957-2014) Biographical Studies, 1534-1829, v. 1â\u0080\u00933 (1951-6)"
"","British Journal of Anaesthetic and Recovery Nursing","1742-6456 (print) 1744-2192 (web)","Ongoing","Issues after 2013 appear to only be available to members of the British Anaesthetic & Recovery Nurses Association on their website."
"â\u008A\u008A","The British Journal for the History of Science","0007-0874 (print) 1474-001X (web)","Ongoing","Formerly Bulletin of the British Society for the History of Science, v. 1â\u0080\u00932 (1949â\u0080\u009361)"
"â\u008A\u008A","British Journal of Music Education","0265-0517 (print) 1469-2104 (web)","Ongoing",""
"â\u008A\u008A","British Journal of Nutrition","0007-1145 (print) 1475-2662 (web)","Ongoing",""
"â\u008A\u008A","British Journal of Political Science","0007-1234 (print) 1469-2112 (web)","Ongoing",""
"","BSAP Occasional Publication","0263-967X","Ongoing",""
"","Bulletin of the Australian Mathematical Society","0004-9727 (print) 1755-1633 (web)","Ongoing",""
"","Bulletin of the British Association for American Studies","0524-5001 (print) 0524-5001 (web)","Ceased","Replaced by the Journal of American Studies"
"","Bulletin of the British Society for the History of Science","0950-5636 (print) 0950-5636 (web)","Ceased","See also The British Journal for the History of Science"
"â\u008A\u008A","Bulletin of Entomological Research","0007-4853 (print) 1475-2670 (web)","Ongoing",""
"","Bulletin of Entomological Research Supplement Series","1367-4269","Ceased","Published 1993â\u0080\u00935 as a supplement to The Bulletin of Entomological Research"
"","Bulletin International des Societes de la Croix-Rouge","1816-9686 (print) 1816-9686 (web)","Ceased","One of several precursors to what is now published as the International Review of the Red Cross.[3]"
"","Bulletin of the International Institute of Social History","1873-0841 (print) 1873-0841 (web)","Ceased","Replaced by the International Review of Social History"
"â\u008A\u008A","Bulletin of the School of Oriental and African Studies","0041-977X (print) 1474-0699 (web)","Ongoing",""
"","Bulletin of Symbolic Logic","1079-8986 (print) 1943-5894 (web)","Ongoing",""
"","Business and Human Rights Journal","2057-0198 (print) 2057-0201 (web)","Ongoing",""
"","Business Ethics Quarterly","1052-150X (print) 2153-3326 (web)","Ongoing",""
"","Business History Review","0007-6805 (print) 2044-768X (web)","Ongoing","Formerly Bulletin of the Business Historical Society, v. 1â\u0080\u009327 (1926â\u0080\u009353)"
"â\u008A\u008A","Cambridge Archaeological Journal","0959-7743 (print) 1474-0540 (web)","Ongoing",""
"","The Cambridge Classical Journal","1750-2705 (print) 2047-993X (web)","Ongoing","Formerly Proceedings of the Cambridge Philological Society, v. 1â\u0080\u0093180 (1882â\u0080\u00931951) Proceedings of the Cambridge Philological Society, New Series, v. 1â\u0080\u009350 (1952â\u0080\u00932004)"
"","Cambridge Historical Journal","1474-6913 (print) 1474-6913 (web)","Ceased (1958)","Replaced by The Historical Journal"
"â\u008A\u008A","Cambridge Journal of Postcolonial Literary Inquiry","2052-2614 (print) 2052-2622 (web)","Ongoing",""
"â\u008A\u008A","The Cambridge Law Journal","0008-1973 (print) 1469-2139 (web)","Ongoing",""
"â\u008A\u008A","Cambridge Opera Journal","0954-5867 (print) 1474-0621 (web)","Ongoing",""
"â\u008A\u008A","Cambridge Quarterly of Healthcare Ethics","0963-1801 (print) 1469-2147 (web)","Ongoing",""
"","Cambridge Test Journal","1234-5679","Ongoing",""
"â\u008A\u008A","Cambridge Yearbook of European Legal Studies","1528-8870","Ongoing",""
"","Camden Old Series","2042-1699 (print) 2042-1699 (web)","Ceased (1872)",""
"","Camden New Series","2042-1702 (print) 2042-1702 (web)","Ceased (1901)","Formerly Camden Old Series, v. 1â\u0080\u0093105 (1838â\u0080\u009372)"
"","Camden Third Series","2042-1710 (print) 2042-1710 (web)","Ceased (1963)","Formerly Camden Old Series, v. 1â\u0080\u0093105 (1838â\u0080\u009372) Camden New Series, v. 1â\u0080\u009362 (1872â\u0080\u00931901)"
"","Camden Fourth Series","0068-6905 (print) 0068-6905 (web)","Ceased (1992)","Formerly Camden Old Series, v. 1â\u0080\u0093105 (1838â\u0080\u009372) Camden New Series, v. 1â\u0080\u009362 (1872â\u0080\u00931901) Camden Third Series, v. 1â\u0080\u009394 (1900â\u0080\u009363)"
"","Camden Fifth Series","0960-1163 (print) 1478-5110 (web)","Ongoing","Formerly Camden Old Series, v. 1â\u0080\u0093105 (1838â\u0080\u009372) Camden New Series, v. 1â\u0080\u009362 (1872â\u0080\u00931901) Camden Third Series, v. 1â\u0080\u009394 (1900â\u0080\u009363) Camden Fourth Series, v. 1â\u0080\u009344 (1964â\u0080\u009392)"
"â\u008A\u008A","The Canadian Entomologist","0008-347X (print) 1918-3240 (web)","Ongoing",""
"","Canadian Journal of Economics and Political Science","0315-4890","Ceased (1967)","Replaced by Canadian Journal of Political Science"
"","Canadian Journal of Emergency Medicine","1481-8035","Ongoing",""
"â\u008A\u008A","Canadian Journal of Law & Jurisprudence","0841-8209 (print) 2056-4260 (web)","Ongoing",""
"â\u008A\u008A","Canadian Journal of Law & Society La Revue Canadienne Droit et SociÃ©tÃ©","0829-3201 (print) 1911-0227 (web)","Ongoing",""
"â\u008A\u008A","Canadian Journal of Linguistics La Revue canadienne de linguistique","0008-4131 (print) 1710-1115 (web)","Ongoing",""
"â\u008A\u008A","Canadian Journal of Neurological Sciences Journal Canadien des Sciences Neurologiques","0317-1671 (print) 2057-0155 (web)","Ongoing",""
"â\u008A\u008A","Canadian Journal on Aging La Revue canadienne du vieillissement","0714-9808 (print) 1710-1107 (web)","Ongoing",""
"â\u008A\u008A","Canadian Journal of Political Science Revue canadienne de science politique","0008-4239 (print) 1744-9324 (web)","Ongoing","Formerly Canadian Journal of Economics and Political Science"
"â\u008A\u008A","Canadian Yearbook of International Law Annuaire canadien de droit international","0069-0058 (print) 1925-0169 (web)","Ongoing",""
"â\u008A\u008A","Cardiology in the Young","1047-9511 (print) 1467-1107 (web)","Ongoing",""
"","Central European History","0008-9389 (print) 1569-1616 (web)","Ongoing",""
"","Children Australia","1035-0772 (print) 2049-7776 (web)","Ongoing",""
"â\u008A\u008A","The China Quarterly","0305-7410 (print) 1468-2648 (web)","Ongoing",""
"","Chinese Journal of Agricultural Biotechnology","1479-2362 (print) 1479-2370 (web)","Ceased (2009)",""
"","Church History: Studies in Christianity and Culture","0009-6407 (print) 1755-2613 (web)","Ongoing",""
"","The Classical Quarterly","0009-8388 (print) 1471-6844 (web)","Ongoing",""
"","The Classical Review","0009-840X (print) 1464-3561 (web)","Ongoing",""
"â\u008A\u008A","CNS Spectrums","1092-8529 (print) 2165-6509 (web)","Ongoing",""
"â\u008A\u008A","The Cognitive Behaviour Therapist","1754-470X","Ongoing",""
