"Year","Film","Director","Writer","Producer","Assistant Director","Editor"
"1995","Badkonake sefid (The White Balloon)","","co writer","","",""
"1997","Mosafere jonoub (fa)","","","","",""
"1999","Yek rooz bishtar (fa) (One More Day)","","","","",""
"2000","Najva (fa) (Whispers)","","","","",""
"2003","Nafas-e amigh (Deep Breath)","","","","",""
"2003","Tehran saat-e 7 sobh (Tehran 7:00 a.m.)","","","","",""
"2006","Be ahestegi... (fa) (Gradually...)","","","","",""
"2009","Ayar 14 (fa) (Karat 14)","","","","",""
"2012","Darband (fa) (Trapped)","","","","",""

