"Home â\u0095² Away","CIB","DIN","HAJ","INT","IST","LOK","OSI","RIJ","SLA","SPL","ZAD","ZAG"
"Cibalia","","0â\u0080\u00931","0â\u0080\u00932","1â\u0080\u00931","0â\u0080\u00931","3â\u0080\u00932","2â\u0080\u00930","4â\u0080\u00931","0â\u0080\u00933","2â\u0080\u00931","0â\u0080\u00930","1â\u0080\u00931"
"Dinamo Zagreb","2â\u0080\u00931","","3â\u0080\u00931","1â\u0080\u00931","3â\u0080\u00931","1â\u0080\u00930","0â\u0080\u00930","4â\u0080\u00931","3â\u0080\u00930","4â\u0080\u00932","5â\u0080\u00930","6â\u0080\u00930"
"Hajduk Split","4â\u0080\u00930","1â\u0080\u00932","","1â\u0080\u00930","0â\u0080\u00931","0â\u0080\u00930","1â\u0080\u00931","1â\u0080\u00931","3â\u0080\u00931","1â\u0080\u00930","3â\u0080\u00930","5â\u0080\u00931"
"Inter ZapreÅ¡iÄ\u0087","0â\u0080\u00930","0â\u0080\u00932","1â\u0080\u00931","","2â\u0080\u00930","0â\u0080\u00931","0â\u0080\u00933","2â\u0080\u00930","2â\u0080\u00932","0â\u0080\u00932","0â\u0080\u00931","1â\u0080\u00932"
"Istra 1961","3â\u0080\u00930","0â\u0080\u00931","0â\u0080\u00930","3â\u0080\u00931","","2â\u0080\u00932","1â\u0080\u00933","1â\u0080\u00931","0â\u0080\u00930","1â\u0080\u00930","1â\u0080\u00931","0â\u0080\u00930"
"Lokomotiva","1â\u0080\u00930","1â\u0080\u00933","2â\u0080\u00930","2â\u0080\u00933","1â\u0080\u00930","","0â\u0080\u00930","2â\u0080\u00931","3â\u0080\u00931","3â\u0080\u00932","2â\u0080\u00931","1â\u0080\u00931"
"Osijek","1â\u0080\u00930","2â\u0080\u00931","0â\u0080\u00930","1â\u0080\u00931","0â\u0080\u00930","1â\u0080\u00932","","1â\u0080\u00931","1â\u0080\u00932","2â\u0080\u00932","2â\u0080\u00930","1â\u0080\u00930"
"Rijeka","0â\u0080\u00930","3â\u0080\u00930","1â\u0080\u00930","2â\u0080\u00931","2â\u0080\u00931","2â\u0080\u00932","3â\u0080\u00931","","0â\u0080\u00930","2â\u0080\u00933","0â\u0080\u00930","1â\u0080\u00930"
"Slaven Belupo","2â\u0080\u00931","1â\u0080\u00934","0â\u0080\u00932","2â\u0080\u00932","3â\u0080\u00931","3â\u0080\u00932","2â\u0080\u00930","1â\u0080\u00933","","2â\u0080\u00932","2â\u0080\u00930","1â\u0080\u00930"
"RNK Split","3â\u0080\u00931","1â\u0080\u00930","0â\u0080\u00931","1â\u0080\u00930","2â\u0080\u00931","1â\u0080\u00931","0â\u0080\u00930","2â\u0080\u00930","2â\u0080\u00930","","3â\u0080\u00931","3â\u0080\u00932"
"Zadar","4â\u0080\u00931","1â\u0080\u00933","2â\u0080\u00934","1â\u0080\u00935","1â\u0080\u00931","1â\u0080\u00930","0â\u0080\u00930","2â\u0080\u00934","1â\u0080\u00930","1â\u0080\u00930","","4â\u0080\u00930"
"NK Zagreb","0â\u0080\u00931","1â\u0080\u00930","0â\u0080\u00931","1â\u0080\u00931","2â\u0080\u00931","0â\u0080\u00932","2â\u0080\u00931","0â\u0080\u00931","1â\u0080\u00932","2â\u0080\u00931","2â\u0080\u00931",""

