"Name","Birth","Birthplace","Death","Place of death","Notes"
"Anselm of Nonantola","","","803","",""
"Maurontus","","","804","","Bishop of Marseilles"
"Paulinus of Aquileia","726","","804","",""
"Amalburga","","","805","",""
"Urbitius (Urbez)","","","805","",""
"Martyrs of Iona","","","806","Iona","68 monks killed by Viking raiders"
"Tarasius","","","806","","Bishop of Constantinople"
"Tanco (Tancho, Tatta, Tatto)","","","808","","Bishop of Verden"
"Ludger","743","","809","","Bishop of Munster"
"William of Gellone","","","812","",""
"John of Constantinople","","","813","",""
"John","","","813","","Bishop of Pavia"
"Angilbert (Homer)","","","814","",""
"Charlemagne","742","","814","",""
"Plato","","","814","",""
"Geminus","","","815","",""
"Theophanes and Companions","","","815","",""
"Leo III","","","816","","pope"
"Theophanes the Chronicler","758","","817","",""
"Athanasius","","","818","",""
"Michael the Confessor","","","818","","Bishop of Synnada"
"Anne (Euphemianus)","","","820","",""
"Benedict of Angers","","","820","","Bishop of Angers"
"Emilian","","","820","","Bishop of Cyzicus"
"Benedict of Aniane","750","","821","",""
"Eigil (Aegilius)","","","822","",""
"Adolphus and John","","","824","",""
"Aengus (Dengus, \"the Culdee\")","","","824","",""
"Paschal I","","","824","","pope"
"Blaithmaic mac Flainn","750","Ireland","823","Iona","martyr"
"George","","","825","","Bishop of Amastris Amasra"
"Ida of Herzfeld","","","825","",""
"Paulinus","","","826","","Bishop of Sinigaglia"
"Theodore the Studite","759","","826","",""
"Adalhard (Adelard)","753","","827","",""
"Hildegrin","","","827","","Bishop of Ch̢lons-sur-Marne"
"Angelelmus","","","828","","Bishop of Auxerre"
"Apollinaris of Monte Cassino","","","828","",""
"Nicephorus","","","828","",""
"Antonius of Sorrento","","","830","",""
"Glastian","","","830","","Bishop of Kinglassie"
"Ymar","","","830","",""
"Ansegisus","770","","833","",""
"Deusdedit","","","834","",""
"Etheldritha (Alfreda)","","","834","",""
"Sirian Abrahamites","","","835","",""
"Pomposa","","","835","",""
"Aigulf (Ayoul)","","","836","","Bishop of Bourges"
"Peter of Atroa","773","","837","",""
