"Order","Name","Type","Region","Designation","Area","Image","Notes"
"Order","Name","Type","Region","Designation","ha","Image","Notes","acre"
"1","Braunsteffer Lake","Glacial","Princess Elizabeth Land","","","","","[2]"
"2","Club Lake","Glacial","Princess Elizabeth Land","","","","","[3]"
"3","Collerson Lake","Glacial","Princess Elizabeth Land","","","","","[4]"
"4","Dingle Lake","Glacial","Princess Elizabeth Land","","","","","[5]"
"5","Krok Lake","Glacial","Princess Elizabeth Land","","","","","[6]"
"6","Station Tarn","Glacial","Princess Elizabeth Land","","","","",""
"7","Stinear Lake","Glacial","Princess Elizabeth Land","","","","",""
"8","Lake Vereteno","Glacial","Princess Elizabeth Land","","","","",""
"9","Lake Zvezda","Glacial","Princess Elizabeth Land","","","","",""

