"Language","Endonym[28]","Family","Speakers (% of total)","Speaks English <\"Very Well\"[29]",""
"Navajo","DinÃ© bizaad","Na-DenÃ©","170 822 (45.68)","23.25%"
"Dakota","DakÈ\u009FÃ³tiyapi","Siouan","18 804 (5.03)","9.86%"
"Yupik","â\u0080\u0094","Eskimo-Aleut","18 626 (4.98)","37.02%"
"Apache","Ndee biyati'","Na-DenÃ©","14 012 (3.75)","3.53%"
"Keres","â\u0080\u0094","Isolate","13 073 (3.50)","6.20%"
"Cherokee","Tsalagi (á\u008F£á\u008E³á\u008E©)","Iroquoian","12 320 (3.29)","16.33%"
"Choctaw","Chahta'","Muskogean","10 368 (2.77)","23.44%"
"Zuni","Shiwi'ma","Isolate","9 432 (2.52)","14.22%"
"American Indian (Other)","â\u0080\u0094","â\u0080\u0094","8 888 (2.38)","16.73%"
"O'odham (Pima)","OÊ¼odham Ã±iÊ¼okÄ­","Uto-Aztecan","8 190 (2.19)","14.70%"
"Ojibwe (Chippewa)","Anishinaabemowin","Algic","6 986 (1.87)","11.28%"
"Hopi","HopilÃ vayi","Uto-Aztecan","6 776 (1.81)","18.80%"
"Inupiat (Inupik)","IÃ±upiatun","Eskimo-Aleut","5 580 (1.49)","26.04%"
"Tewa","â\u0080\u0094","Tanoan","5 123 (1.37)","13.80%"
"Muskogee (Creek)","Mvskoke","Muskogean","5 072 (1.36)","19.62%"
"Crow","ApsÃ¡alooke","Siouan","3 962 (1.06)","6.59%"
"Shoshoni","Sosoni' daÌ²iÌ²gwape","Uto-Aztecan","2 512 (0.67)","7.25%"
"Cheyenne","TsÄ\u0097hÃ©senÄ\u0097stsestÈ¯tse","Algic","2 399 (0.64)","3.21%"
"Tiwa","â\u0080\u0094","Tanoan","2 269 (0.61)","3.22%"
"Towa (Jemez)","â\u0080\u0094","Tanoan","2 192 (0.59)","27.65%"
"Inuit (Eskimo)","â\u0080\u0094","Eskimo-Aleut","2 168 (0.58)","25.46%"
"Blackfoot","SiksikÃ¡ (á\u0093±á\u0096½á\u0090§á\u0096¿)","Algic","1 970 (0.53)","11.02%"
"Sahaptin","IchishkÃ­in sÉ¨Ì\u0081nwit","Plateau Penutian","1 654 (0.44)","6.17%"
"Paiute","â\u0080\u0094","Uto-Aztecan","1 638 (0.44)","11.78%"
"Athapascan","â\u0080\u0094","Na-DenÃ©","1 627 (0.44)","19.55%"
"Ute","NÃºu-'apaghapi","Uto-Aztecan","1 625 (0.43)","5.23%"
"Mohawk","Kanienâ\u0080\u0099kÃ©ha'","Iroquoian","1 423 (0.38)","11.67%"
"Seneca","OnÃ¶dowÃ¡ga","Iroquoian","1 353 (0.36)","11.23%"
"Winnebago","HocÄ k","Siouan","1 340 (0.36)","6.27%"
"Kiowa","CÃ¡uijÃ²gÃ","Tanoan","1 274 (0.34)","9.58%"
"Aleut","Unangam tunuu","Eskimo-Aleut","1 236 (0.33)","19.01%"
"Salish","â\u0080\u0094","Salishan","1 233 (0.33)","22.87%"
"Gwichâ\u0080\u0099in (Kuchin)","Gwichâ\u0080\u0099in","Na-DenÃ©","1 217 (0.33)","25.82%"
"Kickapoo","Kiwikapawa","Algic","1 141 (0.31)","41.72%"
"Arapaho","HinÃ³noÊ¼eitÃ­Ã­t","Algic","1 087 (0.29)","1.20%"
"Tlingit","LingÃ­t","Na-DenÃ©","1 026 (0.27)","8.19%"
"Siberian Yupik (SLI Yupik)","Sivuqaghmiistun","Eskimo-Aleut","993 (0.27)","39.48%"
"Passamaquoddy","Peskotomuhkat","Algic","982 (0.26)","6.11%"
"Comanche","NÊ\u0089mÊ\u0089 tekwapÊ\u0089","Uto-Aztecan","963 (0.26)","10.59%"
"Cree","NÄ\u0093hiyawÄ\u0093win","Algic","951 (0.25)","8.73%"
"Menominee","OmÄ\u0081Ä\u0093qnomenew","Algic","946 (0.25)","39.64%"
"Nez Perce","NiimiipuutÃ­mt","Plateau Penutian","942 (0.25)","12.10%"
"Potawatomi","BodÃ©wadmi","Algic","824 (0.22)","9.95%"
"Hidatsa","Hidatsa","Siouan","806 (0.22)","4.47%"
"Mesquakie (Fox)","Meshkwahkihaki","Algic","727 (0.19)","22.15%"
"Karok","KÃ¡ruk","Isolate","700 (0.19)","5.43%"
"Pomo","â\u0080\u0094","Pomoan","648 (0.17)","14.81%"
"Chinook Jargon","Chinuk wawa","Creole","644 (0.17)","17.70%"
"Oneida","Oneyota'aaka","Iroquoian","527 (0.14)","58.63%"
"Yurok","Puliklah","Algic","491 (0.13)","1.63%"
"Cocopah","Kwikapa","Yuman","483 (0.13)","22.77%"
"Hualapai","HwalbÃ¡y","Yuman","458 (0.12)","4.80%"
"Omaha","Umoâ\u0081¿hoâ\u0081¿","Siouan","457 (0.12)","1.97%"
"Chiricahua","Ndee bizaa","Na-DenÃ©","457 (0.12)","â\u0080\u0094"
"Jicarilla","AbÃ¡achi mizaa","Na-DenÃ©","455 (0.12)","14.51%"
"Yaqui","Yoem noki","Uto-Aztecan","425 (0.11)","10.12%"
"Yokuts","â\u0080\u0094","Yokutsan","407 (0.11)","27.27%"
"Mono","Mono","Uto-Aztecan","349 (0.09)","â\u0080\u0094"
"Mohave","Hamakhav","Yuman","330 (0.09)","6.36%"
"LuiseÃ±o","Cham'teela","Uto-Aztecan","327 (0.09)","4.28%"
"Shawnee","Sawanwa","Algic","321 (0.09)","6.23%"
"Maidu (NE Maidu)","MÃ¡jdy","Maiduan","319 (0.09)","6.90%"
"Ottawa","Nishnaabemwin","Algic","312 (0.08)","10.90%"
"Algonquin","AnicinÃ¢bemowin","Algic","288 (0.08)","19.79%"
"Okanogan","NsÉ\u0099lxcin","Salishan","284 (0.08)","10.92%"
"Osage","Wazhazhe ie","Siouan","260 (0.07)","20.38%"
"Wichita","KirikirÊ\u0094i:s","Caddoan","242 (0.06)","16.12%"
"Onondaga","OnÇ«daâ\u0080\u0099gegÃ¡","Iroquoian","239 (0.06)","2.93%"
"Mi'kmaq (Micmac)","MÃ­kmawÃ­simk","Algic","230 (0.06)","10.87%"
"DigueÃ±o (Ipai-Kumiai-Tipai)","â\u0080\u0094","Yuman","228 (0.06)","60.96%"
"Washo","WÃ¡:Å¡iw Ê\u0094Ã­tlu","Isolate","227 (0.06)","9.69%"
"Miwok","Miwok","Utian","216 (0.06)","â\u0080\u0094"
"Lushootseed (Puget Salish)","XÊ·É\u0099lÅ¡ucid","Salishan","207 (0.06)","47.83%"
"Kutenai","Ktunaxa","Isolate","200 (0.05)","32.50%"
"Miccosukee","MikisÃºkÃ®","Muskogean","188 (0.05)","22.87%"
"Tuscarora","Ska:rÃ¹:rÄ\u0099'","Iroquoian","179 (0.05)","10.06%"
"Makah","QÊ·iÂ·qÊ·iÂ·diÄ\u008DÄ\u008Daq","Wakashan","176 (0.05)","30.11%"
"Coeur d'Alene","SnchitsuÊ¼umshtsn","Salishan","174 (0.05)","â\u0080\u0094"
"Hupa","Na:tinixwe","Na-DenÃ©","174 (0.05)","â\u0080\u0094"
"Quechan (Yuma)","Kwtsaan","Yuman","172 (0.05)","31.98%"
"Miami","Myaamia","Algic","168 (0.04)","50.60%"
"Alabama","Albaamo innaaÉ¬iilka","Muskogean","165 (0.04)","20.00%"
"Delaware","LÃ«nape \/ Lunaapeew","Algic","146 (0.04)","25.34%"
