"UN Code","Country","Effective date","Notes"
"1","Germany","28 January 1965",""
"2","France","20 June 1959",""
"3","Italy","26 April 1963",""
"4","Netherlands","29 August 1960",""
"5","Sweden","20 June 1959",""
"6","Belgium","5 September 1959",""
"7","Hungary","2 July 1960",""
"8","Czech Republic","1 January 1993","(formerly Czechoslovakia)"
"9","Spain","10 October 1961",""
"10","Serbia","12 March 2001","(formerly Yugoslavia)"
"11","United Kingdom","16 March 1963",""
"12","Austria","11 May 1971",""
"13","Luxembourg","12 December 1971",""
"14","Switzerland","28 August 1973",""
"15","DDR","","(expired in 1999)"
"16","Norway","4 April 1975",""
"17","Finland","17 September 1976",""
"18","Denmark","20 December 1976",""
"19","Romania","21 February 1977",""
"20","Poland","13 March 1979",""
"21","Portugal","28 March 1980",""
"22","Russian Federation","17 February 1987",""
"23","Greece","5 December 1992",""
"24","Ireland","24 March 1998",""
"25","Croatia","8 October 1991",""
"26","Slovenia","25 June 1991",""
"27","Slovakia","1 January 1993",""
"28","Belarus","2 July 1995",""
"29","Estonia","1 May 1995",""
"31","Bosnia and Herzegovina","6 March 1992",""
"32","Latvia","18 January 1999",""
"34","Bulgaria","21 January 2000",""
"35","Kazakhstan","8 January 2011",""
"36","Lithuania","29 March 2002",""
"37","Turkey","27 February 1996",""
"39","Azerbaijan","14 June 2002",""
"40","Republic of Macedonia","17 November 1991",""
"42","European Union","24 March 1998",""
"43","Japan","24 November 1998",""
"45","Australia","25 April 2000",""
"46","Ukraine","30 June 2000",""
"47","South Africa","17 June 2001",""
"48","New Zealand","26 January 2002",""
"49","Cyprus","1 May 2004",""
"50","Malta","1 May 2004",""
"51","South Korea","31 December 2004",""
"52","Malaysia","4 April 2006",""
"53","Thailand","1 May 2006",""
"54","Albania","5 November 2011",""
"56","Montenegro","3 June 2006",""
"58","Tunisia","1 January 2008",""

