"Saint","Date of birth","Date of death","Date of canonization","Tradition"
"Saint","Date of birth","Date of death","Date of canonization","Anglican","Oriental Orthodox","Eastern Orthodox","Roman Catholic","total"
"Abadiu of Antinoe","","4th century","","","Yes","Yes","Yes","3"
"Abakuh","","Unknown","","","","Yes","Yes","2"
"Abamun of Tarnut","","372","","","Yes","Yes","Yes","3"
"Saint Phoenix","","4th century","","","Yes","","","1"
"Abaskhayroun","","3rd century","","","Yes","","","1"
"Abban of Magheranoidhe","","c. 570","","","","","Yes","1"
"Abban of New Ross","","7th century","","","","","","0"
"Abban the Hermit","","5th century","","","","","Yes","1"
"Abbo of Fleury","945","1004","","","","","Yes","1"
"Abdas of Susa","","5th century","","","","","","0"
"Abel of Reims","","764","","","","","","0"
"Saint Abib","","5th century","","","Yes","","","1"
"Abo of Tiflis","","786","","","","Yes","","1"
"Abraham the Coptic","","360","","","Yes","","","1"
"Abraham of Rostov","","1073â\u0080\u00931077","","","","Yes","","1"
"Abraham of Scetes","","399","","","Yes","","","1"
"Abraham of Smolensk","","1222","","","","Yes","","1"
"Abraam Bishop of Faiyum","1829","1914","","","Yes","","","1"
"Abraham the Syrian","","978","","","Yes","","","1"
"Abuna Aregawi","","6th century","","","","","","0"
"Abundius","","469","","","","","","0"
"Acacius of Amida","","425","","","","","Yes","1"
"Acca of Hexham","","742?","","Yes","","","Yes","2"
"Achilleus Kewanuka","1869","1886","","","","","","0"
"Adalbert of Prague","956","997","","","","","Yes","1"
"Adalgar","","909","","","","","Yes","1"
"Adalgott","","1165","","","","","Yes","1"
"Adamo Abate","","1060 to 1070","","","","","Yes","1"
"Adelaide of Italy","931","999","","","","","Yes","1"
"Adelaide, Abbess of Vilich","970","1015","","","","","Yes","1"
"Adelin (Adelhelm) of SÃ©ez","","c. 910","","","","","Yes","1"
"Pope Adeodatus I","","618","","","","Yes","Yes","2"
"AdomnÃ¡n","624","704","","","","","Yes","1"
"Pope Adrian III","","885","","","","","Yes","1"
"Afan","","6th century","","Yes","","Yes","Yes","3"
"Pope Agapitus I","","536","","","","Yes","Yes","2"
"Agapetus of Pechersk","","11th century","","","","Yes","","1"
"Agatha of Sicily","","3rd century","","","","","","0"
"Agatho of Alexandria","","677","","","Yes","","","1"
"Pope Agatho","","681","","","","Yes","Yes","2"
"Agnes","","1253","","Yes","","Yes","Yes","3"
"Agnes","1211","1282","","","","","Yes","1"
"Aidan","","651","","Yes","","Yes","Yes","3"
"Alban","","disputed: 22 Jun 209, c. 251 or 304","","Yes","","Yes","Yes","3"
"Alberic","","1108","","","","","Yes","1"
"Alberic of Utrecht","","784","","","","","Yes","1"
"Alberto Hurtado","22 Jan 1901","18 Aug 1952","23 Oct 2005","","","","Yes","1"
"Albertus Magnus","1200","1280","","","","","Yes","1"
"Alda","","c. 1309","","","","","Yes","1"
"Alcuin","","804","","Yes","","Yes","Yes","3"
"Pope Alexander of Alexandria","","328","","","Yes","","","1"
"Alexandra of Hesse","1872","1918","","","","Yes","","1"
"Alexei of Russia","1904","1918","","","","Yes","","1"
"Alexis Falconieri","1200","1310","","","","","Yes","1"
"Alexis of Wilkes-Barre","1853","1909","","","","Yes","","1"
"Alice of Schaerbeek","1204","1250","","","","","Yes","1"
"Alypius the Stylite","522","640","","Yes","","Yes","Yes","3"
"Alipy of the Caves","","11th-12th century","","","","Yes","","1"
"Aloysius Gonzaga","1568","1591","","","","","Yes","1"
"Alphege","953","1012","","Yes","","Yes","Yes","3"
"Alphonsa Muttathupandathu","1910","1946","","","","","Yes","1"
"Amand","","675","","","","","Yes","1"
"Ambrose of Alexandria","","250","","","Yes","","","1"
"Saint Ammon","","357","","","Yes","","","1"
"Amphilochius of Pochayiv","27 Nov 1894","1 Jan 1971","","","","Yes","","1"
"Anastasius of Alexandria","","616","","","Yes","","","1"
"Andronicus of Alexandria","","622","","","Yes","","","1"
"Pope Anianus","","82","","","Yes","","","1"
"Anastasia of Russia","1901","1918","","","","Yes","","1"
"Anastasius Sinaita","","post 700","","","","Yes","Yes","2"
"AndrÃ© Bessette","9 Aug 1845","6 Jan 1937","17 Oct 2010","","","","Yes","1"
"Andrei the Iconographer","","c. 1430","","","","Yes","","1"
"Andrew Bobola","1591","1657","","","","","Yes","1"
"Andrew of Constantinople","","936","","","","Yes","","1"
"Andrew of Crete","","8th century","","","","Yes","Yes","2"
"Andrew Dung-Lac","1795","1839","","","","","Yes","1"
"Angela Merici","1474","1540","","","","","Yes","1"
"Anna","","1st century","","","","Yes","","1"
"Anne Line","1563","1601","","","","","Yes","1"
"Anselm of Canterbury","","1109","","Yes","","","Yes","2"
"Ansgar","","865","","Yes","","Yes","Yes","3"
"Anthony the Great","","356","","","Yes","Yes","Yes","3"
"Anthony of Kiev","","1073","","","","Yes","","1"
"Anthony of Padua","","1231","","","","","Yes","1"
"Anthony GalvÃ£o","1739","1822","","","","","Yes","1"
"Anthony Mary Claret","1807","1870","","","","","Yes","1"
"Antoine Daniel","","1648","","","","","Yes","1"
"Saint Aphrodisius","","65","","","Yes","","Yes","2"
"Saint Apollo","","5th century","","","Yes","","","1"
"Apollonia","","249","","","Yes","","","1"
"Saint Apollos","","1st century","","","Yes","","","1"
"Saint Aprax","","4th century","","","Yes","","","1"
"Arnold Janssen","","1909","","","","","Yes","1"
"Arnulf of Metz","","640","","","","","Yes","1"
"Athanasius of Alexandria","","373","","","Yes","","","1"
"Augustine of Canterbury","","604","","Yes","","Yes","Yes","3"
"Avitus of Vienne","","523","","","","","Yes","1"
"Avilius of Alexandria","","95","","","Yes","","","1"
"Baldred of Tyninghame","","757","","Yes","","","Yes","2"
"Barbatus of Benevento","","682","","","","Yes","Yes","2"
"Saint Barsanuphius","","540","","","Yes","","","1"
"Basil the Great","","379","","","Yes","Yes","Yes","3"
"Basil the Fool for Christ","","1552 or 1557","","","","Yes","","1"
"Basil of Ostrog","","1671","","","","Yes","","1"
"Beatrix d'Este","","1262","","","","","Yes","1"
"The Venerable Bede","","735","","Yes","","Yes","Yes","3"
"Benedetta Cambiagio Frassinello","1791","1858","","","","","Yes","1"
"Benedict of Aniane","","747","","","","Yes","Yes","2"
"Benedict of Nursia","","543","","Yes","","Yes","Yes","3"
"Benedict of Jesus","","1934","","","","","Yes","1"
"Pope Benedict II","","685","","","","Yes","Yes","2"
"Benedict the Moor","","1589","","","","","Yes","1"
"Benedict Joseph Labre","","1783","","","","","Yes","1"
"Berlinda of Meerbeke","","702","","","","","Yes","1"
"Bernadette Soubirous","7 Jan 1844","16 Apr 1879","1933","","","","Yes","1"
"Bernard of Clairvaux","","1153","","Yes","","","Yes","2"
"Bernard Due Van Vo","","1838","","","","","Yes","1"
"Bernard of Menthon","","1008","","","","","Yes","1"
"Bernardo Tolomei","","1348","","","","","Yes","1"
"Bernardino of Siena","","1444","","","","","Yes","1"
"Birinus","","649","","Yes","","Yes","Yes","3"
"Bonaventure of Bagnoregio","","1274","","","","","Yes","1"
"Boniface","","754","","Yes","","Yes","Yes","3"
"Pope Boniface IV","","608","","","","Yes","Yes","2"
"Boris I","","2 May 907","","","","Yes","","1"
"Saint Botolph","","680","","Yes","","","Yes","2"
"Brendan of Birr","","c. 573","","","","Yes","Yes","2"
"Brendan the Navigator","","c. 578","","","","Yes","Yes","2"
"Bridget of Sweden","","23 Jul 1373","","Yes4","","","Yes","2"
"Brigid of Kildare","","525","","Yes4","","Yes","Yes","3"
"Brioc","","6th century","","","","","Yes","1"
"Bruno of Cologne","","1101","","","","","Yes","1"
"Bruno of Querfurt","","1009","","","","Yes","Yes","2"
"Bruno of Segni","","1123","","","","","Yes","1"
"Budoc of Dol","","7th century","","Yes","","","Yes","2"
"Caesarius of Arles","","542","","","","","Yes","1"
"Cajetan","","1547","","","","","Yes","1"
"Camillus de Lellis","","1614","","","","","Yes","1"
"Saint Candidus","","287","","","Yes","","","1"
"Canute IV of Denmark","","1086","","","","","Yes","1"
"Carantoc","","6th century","","Yes","","","Yes","2"
"Casimir","","1484","","","","","Yes","1"
"Catald","","c. 8th century","","","","","Yes","1"
"Catherine the Great","","305","","","Yes","","","1"
"Catherine of Bologna","","1463","","","","","Yes","1"
"Catherine of Genoa","","1510","","","","","Yes","1"
"Catherine Laboure","","c. 1806","","","","","Yes","1"
"Catherine of Ricci","","1590","","","","","Yes","1"
"Catherine of Siena","","1380","","Yes","","","Yes","2"
"Catherine of Vadstena","","1381","","","","","Yes","1"
"Cedd","","664","","Yes","","","Yes","2"
"Celadion of Alexandria","","166","","","Yes","","","1"
"Celestine V","","1296","","","","","Yes","1"
"Cettin[2]","","5th century","","","","","Yes","1"
"Chad of Mercia","","672","","Yes","","Yes","Yes","3"
"Charbel","","1898","","","","","Yes","1"
"Saint Charles de Chattilon","1319","1364","IV","","","","Yes","1"
"Charles I of England","","1649","","Yes","","","","1"
"Charles of Mount Argus","1821","1893","","","","","Yes","1"
"Christopher","","c. 251","","","","Yes","Yes","2"
"Christina the Astonishing","","1224","","","","","Yes","1"
"Chrysanthus","","283","","","Yes","","","1"
"CiarÃ¡n of Clonmacnoise","","546","","Yes","","","Yes","2"
"CiarÃ¡n of Saighir","","c. 530","","","","","Yes","1"
"Clare of Assisi","","1253","","Yes","","","Yes","2"
"Clare of Montefalco","","1308","","","","","Yes","1"
"Claudus Corrius II[citation needed]","","1253","","Yes","","","Yes","2"
"Clement of Alexandria","","215","","","Yes","","","1"
"Clement of Ohrid","","17 Jul 960","","","","Yes","","1"
