"Mayor","Start of Term","End of Term","Notes"
"Grant Decker","1855","1856",""
"Robert J. S. Page","1856","1857",""
"Henry M. Henderson","1857","1858",""
"William M. Fenton","1858","1860[2][3]","Some records show Porter Hazelton as mayor from 1859 to 1860[4]"
"Henry H. Crapo","1860","1861",""
"Ephraim S. Williams","1861","1862",""
"William Paterson","1862","1863",""
"William Hamilton","1863","1865",""
"William B. McCreery","1865","1867",""
"Austin B. Witherbee","1867","1868[2][4]",""
"Samuel M. Axford","1868","1869[2][3]",""
"William S. Patrick","1869","1870",""
"James B. Walker","1870","1871",""
"David Spencer Fox","1871","1873",""
"George H. Durand","1873","1875",""
"Alexander McFarland","1875","1876",""
"William Hamilton","1876","1877",""
"Edward H. Thompson","1877","1878",""
"Jerome Eddy","1878","1879",""
"James C. Willson","1879","1880[3]",""
"Zacheus Chase","1880","1881",""
"Charles A. Mason","1881","1882",""
"William A. Atwood","1882","1883",""
"George E. Newall","1883","1884",""
"William W. Joyner","1884","1885",""
"Mathew Davison","1885","1886",""
"George T. Warren","1886","1887",""
"John C. Dayton","1887","1888",""

