"Player","Votes (549 cast)","Percent","Change","Year"
"â\u0080 Randy Johnson","534","97.3%","â\u0080\u0093","1st"
"â\u0080 Pedro MartÃ­nez","500","91.1%","â\u0080\u0093","1st"
"â\u0080 John Smoltz","455","82.9%","â\u0080\u0093","1st"
"Craig Biggio","454","82.7%","07.9%","3rd"
"Mike Piazza","384","69.9%","07.7%","3rd"
"Jeff Bagwell","306","55.7%","01.4%","5th"
"Tim Raines","302","55.0%","08.9%","8th"
"Curt Schilling","215","39.2%","010.0%","3rd"
"Roger Clemens","206","37.5%","02.1%","3rd"
"Barry Bonds","202","36.8%","02.1%","3rd"
"Lee Smith","166","30.2%","00.3%","13th"
"Edgar MartÃ­nez","148","27.0%","01.8%","6th"
"Alan Trammell","138","25.1%","04.3%","14th"
"Mike Mussina","135","24.6%","04.3%","2nd"
"Jeff Kent","77","14.0%","01.2%","2nd"
"Fred McGriff","71","12.9%","01.2%","6th"
"Larry Walker","65","11.8%","01.6%","5th"
"â\u0080 Gary Sheffield","64","11.7%","â\u0080\u0093","1st"
"Mark McGwire","55","10.0%","01.0%","9th"
"Don Mattingly","50","9.1%","00.9%","15th"
"Sammy Sosa","36","6.6%","00.6%","3rd"
"â\u0080 Nomar Garciaparra","30","5.5%","â\u0080\u0093","1st"
"â\u0080 Carlos Delgado*","21","3.8%","â\u0080\u0093","1st"
"â\u0080 Troy Percival*","4","0.7%","â\u0080\u0093","1st"
"â\u0080 Aaron Boone*","2","0.4%","â\u0080\u0093","1st"
"â\u0080 Tom Gordon*","2","0.4%","â\u0080\u0093","1st"
"â\u0080 Darin Erstad*","1","0.2%","â\u0080\u0093","1st"
"â\u0080 Rich Aurilia*","0","0","â\u0080\u0093","1st"
"â\u0080 Tony Clark*","0","0","â\u0080\u0093","1st"
"â\u0080 Jermaine Dye*","0","0","â\u0080\u0093","1st"
"â\u0080 Cliff Floyd*","0","0","â\u0080\u0093","1st"
"â\u0080 Brian Giles*","0","0","â\u0080\u0093","1st"
"â\u0080 Eddie Guardado*","0","0","â\u0080\u0093","1st"
"â\u0080 Jason Schmidt*","0","0","â\u0080\u0093","1st"

