"Rank","Building","City","Roof (m)","Architectural (m)","Floors","Built"
"1.","Palace of Culture and Science","Warsaw","188","231","42","1955"
"2.","Sky Tower","WrocÅ\u0082aw","212","212","50","2012"
"3.","Warsaw Trade Tower","Warsaw","184","208","43","1999"
"4.","ZÅ\u0082ota 44","Warsaw","192","192","54","2012"
"5.","Rondo 1","Warsaw","159","192","40","2006"
"6.","Hotel Marriott","Warsaw","140","170","40","1989"
"7.","Warsaw Financial Center","Warsaw","144","165","34","1998"
"8.","InterContinental Warsaw","Warsaw","154","164","45","2004"
"9.","Cosmopolitan Twarda 2\/4","Warsaw","160","160","46","2013"
"10.","Oxford Tower","Warsaw","140","150","42","1979"
"11.","Sea Towers","Gdynia","125.4","141.6","36","2009"
"12.","Intraco I","Warsaw","107","138","39","1975"
"13.","Spektrum","Warsaw","128","128","30","2001"
"14.","Pazim","Szczecin","92","128","22","1992"
"15.","Altus","Katowice","106","125","29","2002"
"16.","Å\u0081ucka City","Warsaw","106","120","30","2004"
"17.","BÅ\u0082Ä\u0099kitny WieÅ¼owiec","Warsaw","100","120","28","1991"
"18.","Millennium Plaza","Warsaw","112","116","28","1999"
"19.","Novotel Warszawa Centrum","Warsaw","106","111","33","1979"
"20.","Akademik Kredka","WrocÅ\u0082aw","85","110","23","1990"
"21.","Collegium Altum","PoznaÅ\u0084","83","106","22","1991"
"22.","ZÅ\u0082ote Tarasy","Warsaw","105","105","26","2007"
"23.","Babka Tower","Warsaw","96","105","28","2002"
"24.","Biurowiec WojewÃ³dzki","Katowice","90","105","22","1985"
"25.","Cracovia Business Center","KrakÃ³w","88","105","20","1998"
"26.","Ilmet","Warsaw","83","103","22","1997"
"27.","Andersia Tower","PoznaÅ\u0084","84","102","21","2007"
"28.","Stalexport 1","Katowice","97","99","22","1981"
"29.","Organika Trade","GdaÅ\u0084sk","80","98","20","1980"
"30.","PZU Tower","Warsaw","94","97","25","2000"
"31.","Hotel Hilton","Warsaw","94","94","28","2007"
"32.","North Gate[citation needed]","Warsaw","87","94","25","2008"
"33.","Stalexport 2","Katowice","92","92","20","1981"
"34.","Euro Centrum Budynek A","Warsaw","88","88","21","2002"
"35.","Kukurydza - ul. Zawiszy Czarnego 4","Katowice","82","87","27","1988"
"35.","Kukurydza - ul. Zawiszy Czarnego 6","Katowice","82","87","27","1989"
"35.","Kukurydza - ul. Zawiszy Czarnego 10","Katowice","82","87","27","1991"
"38.","Platinum Towers","Warsaw","85","85","22","2009"
"39.","Pekao Tower","Warsaw","80","85","20","1993"
"40.","WydziaÅ\u0082 Nauk o Ziemi Uniwersytetu Å\u009AlÄ skiego \"Å»yleta\"","Sosnowiec","84","b\/d","20","1981"
"41.","Warta Tower","Warsaw","82","82","22","2000"
"42.","Gwiazda 1","Katowice","81","81","27","1978"
"42.","Gwiazda 2","Katowice","81","81","27","1978"
"42.","Gwiazda 3","Katowice","81","81","27","1978"
"42.","Gwiazda 4","Katowice","81","81","27","1978"
"42.","Gwiazda 5","Katowice","81","81","27","1978"
"42.","Gwiazda 6","Katowice","81","81","27","1978"
"42.","Gwiazda 7","Katowice","81","81","27","1978"

