"Pick","Player","Team","Position","Hometown\/School"
"1","* Danny Goodwin","Chicago White Sox","C","Peoria, IL"
"2","Jay Franklin","San Diego Padres","RHP","Vienna, VA"
"3","Tommy Bianco","Milwaukee Brewers","SS","Elmont, NY"
"4","* Condredge Holloway","Montreal Expos","SS","Huntsville, AL"
"5","Roy Branch","Kansas City Royals","RHP","St. Louis, MO"
"6","Roy Thomas","Philadelphia Phillies","RHP","Lompoc, CA"
"7","Roger Quiroga","Washington Senators","RHP","Galveston, TX"
"8","Ed Kurpiel","St. Louis Cardinals","1B","Hollis, NY"
"9","David Sloan","Cleveland Indians","RHP","Santa Clara, CA"
"10","Taylor Duncan","Atlanta Braves","SS","Sacramento, CA"
"11","Tom Veryzer","Detroit Tigers","SS","Islip, NY"
"12","Frank Tanana","California Angels","LHP","Detroit, MI"
"13","Neil Rasmussen","Houston Astros","SS","Arcadia, CA"
"14","Rich Puig","New York Mets","2B","Tampa, FL"
"15","Jim Rice","Boston Red Sox","OF","Anderson, SC"
"16","Jeff Wehmeir","Chicago Cubs","RHP","Indianapolis, IN"
"17","William \"Sugar Bear\" Daniels","Oakland Athletics","RHP","Detroit, MI"
"18","Frank Riccelli","San Francisco Giants","LHP","Syracuse, NY"
"19","Terry Whitfield","New York Yankees","OF","Blythe, CA"
"20","Rick Rhoden","Los Angeles Dodgers","RHP","Boynton Beach, FL"
"21","Dale Soderholm","Minnesota Twins","SS","Miami, FL"
"22","Craig Reynolds","Pittsburgh Pirates","SS","Houston, TX"
"23","Randy Stein","Baltimore Orioles","RHP","Pomona, CA"
"24","* Mike Miley","Cincinnati Reds","SS","New Orleans, LA"

