"Institution","2004","2005","2006","2007","2008","2009","2010","2011 (QS)","2011 (THE)","2012 (QS)","2012 (THE)","2013 (QS)","2013 (THE)","2015 (THE)","2015 (QS)[9]"
"University of Amsterdam","98","58","69","48","53","49","56","63","92","62","83","58","83","58","55"
"Leiden University","131","138","90","84","64","60","82","88","79","75","64","74","67","67","95"
"Utrecht University","120","120","95","89","67","70","83","80","68","85","67","81","74","62","94"
"Delft University of Technology","78","53","86","63","78","83","108","104","104","103","77","95","69","65","64"
"Erasmus University Rotterdam","64","57","92","163","126","108","99","103","157","99","72","92","73","71","126"
"Maastricht University","123","157","172","111","111","116","111","109","197","107","115","121","98","88","169"
"Eindhoven University of Technology","83","70","67","130","128","120","126","146","115","158","114","157","106","176","117"
"University of Groningen","NR","NR","NR","193","144","138","120","115","134","109","89","97","98","74","100"
"Wageningen University","NR","108","97","148","142","155","178","175","75","161","70","150","77","47","135"
"Vrije Universiteit","NR","186","183","NR","155","165","171","179","159","177","140","181","144","154","176"
"University of Twente","NR","NR","115","185","200","200","199","226","200","224","187","228","170","149","188"
"Radboud Universiteit Nijmegen","191","177","137","195","NR","NR","149","138","159","136","127","143","131","125","177"

