"Season","Class","Motorcycle","Race","Win","Podium","Pole","FLap","Pts","Plcd"
"1996","125cc","Honda","1","0","0","0","0","0","NC"
"1997","125cc","Honda","2","0","0","0","0","1","31st"
"1998","125cc","Honda","3","0","0","0","0","3","27th"
"1999","250cc","Honda","3","0","0","0","0","0","NC"
"2000","250cc","TSR","3","0","0","0","0","0","NC"
"2001","250cc","Yamaha","3","0","0","0","0","0","NC"
"2003","250cc","Aprilia","3","0","0","0","0","0","NC"
"2004","250cc","Aprilia","2","0","0","0","0","0","NC"
"2005","250cc","Aprilia","7","0","0","0","0","0","NC"
"2006","250cc","Aprilia","3","0","0","0","0","2","34th"
"2007","250cc","Aprilia","5","0","0","0","0","0","NC"
"Total","","","'35","0","0","0","0","6",""

