"Team","Year","Record","Pct.","Conference","National standings"
"Oregon State (W)","2014","21-13",".618","Tied for 7th (Pac-12)","23rd (RPI)"
"Oregon State (W)","2013","9â\u0080\u009322",".290","12th (Pac-12)","138th (RPI)"
"Oregon State (W)","2012","14â\u0080\u009318",".437","Tied for 10th (Pac-12)","63rd (RPI)"
"Oregon State (W)","2011","16â\u0080\u009316",".500","8th (Pac-12)","103rd (RPI)"
"Oregon State (W)","2010","9â\u0080\u009323",".281","9th (Pac-10)","130th (RPI)"
"Oregon State (W)","2009","12â\u0080\u009318",".400","Tied for 9th (Pac-10)","75th (RPI)"
"Oregon State (W)","2008","14â\u0080\u009317",".450","9th (Pac-10)","82nd (RPI)"
"Oregon State (W)","2007","10â\u0080\u009320",".333","9th (Pac-10)","74th (RPI)"
"Oregon State (W)","2006","3â\u0080\u009324",".111","10th (Pac-10)","146th (RPI)"
"Oregon State (W)","2005","11â\u0080\u009313",".458","7th (Pac-10)","------"
"Pacific (W)","1984","31â\u0080\u00938",".795","2nd (PCAA)","3rd (NCAA)"
"Pacific (W)","1983","37â\u0080\u00934",".903","1st (NorPac)","4th (NCAA)"
"Pacific (W)","1982","32â\u0080\u00938",".800","1st (NorPac)","5th (NCAA)"
"Pacific (W)","1981","27â\u0080\u009313",".675","1st (NorCal)","4th (AIAW)"
"Pacific (W)","1980","48â\u0080\u00938",".857","1st (NorCal)","2nd (AIAW)"
"Pacific (W)","1979","40â\u0080\u009311",".784","1st (NorCal)","4th"
"Pacific (W)","1978","23â\u0080\u009315",".605","3rd (NorCal)","-----"
"Pacific (W)","1977","12â\u0080\u009310",".535","3rd (NorCal)","-----"
"Pacific (W)","1976","17â\u0080\u00938",".680","1st (NorCal)","-----"
"Ohio State (M)","1976","24â\u0080\u00934",".857","1st (MIVA)","3rd (NCAA)"
"Ohio State (M)","1975","21â\u0080\u00933",".875","1st (MIVA)","3rd (NCAA)"

