"Basilica of St. Nicholas, Nantes","Nantes, Loire-Atlantique","1882-01-09"
"Basilica of St. Donatien et St. Rogatien, Nantes","Nantes, Loire-Atlantique","1889-03-14"
"Basilica of Notre-Dame du ChÃªne, Vion (\"Basilica of Our Lady of the Oak, Vion\")","Vion, Sarthe","1894-04-09"
"Basilica of Notre-Dame d'AvesniÃ¨res, Laval","Laval, Mayenne","1898-03-05"
"Basilica of Notre-Dame des Miracles, Mayenne","Mayenne, Mayenne","1900-05-15"
"Basilica of Notre-Dame, Pontmain","Pontmain, Mayenne","1905-02-21"
"Basilica of St. Madeleine, Angers","Angers, Maine-et-Loire","1922-12-13"
"Basilica of Notre-Dame de lâ\u0080\u0099Ã\u0089pine, Ã\u0089vron (\"Basilica of Our Lady of the Thorn, Ã\u0089vron\")","Ã\u0089vron, Mayenne","1939-06-07"
"Basilica of St. Benedict, Saint-BenoÃ®t-sur-Loire","Saint-BenoÃ®t-sur-Loire, Loiret","1949-07-08"
"Basilica of St. Louis de Montfort Basilique Saint-Louis-Marie-Grignon-de-Montfort de Saint-Laurent-sur-SÃ¨vre","Saint-Laurent-sur-SÃ¨vre, VendÃ©e","1962-09-05"

