"Rank","Player (2015 Rs)","R"
"163","Miguel Cabrera (64)","1,229"
"","Willie McCovey â\u0080","1,229"
"165","Jason Giambi","1,227"
"","Ed McKean","1,227"
"167","Earl Averill â\u0080","1,224"
"168","Red Schoendienst â\u0080","1,223"
"169","Edgar MartÃ­nez","1,219"
"170","Willie Davis","1,217"
"171","Eddie Yost","1,215"
"172","Cupid Childs","1,214"
"173","Scott Rolen","1,211"
"174","Andruw Jones","1,204"
"175","Lloyd Waner â\u0080","1,201"
"176","Edgar RenterÃ­a","1,200"
"177","Joe Medwick â\u0080","1,198"
"178","Dale Murphy","1,197"
"179","Mickey Vernon","1,196"
"180","AndrÃ©s Galarraga","1,195"
"","Willie Stargell â\u0080","1,195"
"182","Graig Nettles","1,193"
"183","Al Oliver","1,189"
"","Rusty Staub","1,189"
"185","George Burns","1,188"
"","Brian Downing","1,188"
"187","Marquis Grissom","1,187"
"188","JosÃ© Canseco","1,186"
"","Will Clark","1,186"
"","Earle Combs â\u0080","1,186"
"191","Joe Judge","1,185"
"192","Tommy Corcoran","1,184"
"193","Pie Traynor â\u0080","1,183"
"194","Bert Campaneris","1,181"
"195","Fielder Jones","1,180"
"196","Mark Grace","1,179"
"197","Jim Bottomley â\u0080","1,177"
"198","Yogi Berra â\u0080","1,175"
"","Arky Vaughan â\u0080","1,175"
"200","Buddy Myer","1,174"
"201","Joe Carter","1,170"
"202","Willie Wilson","1,169"
"203","Chuck Klein â\u0080","1,168"
"204","Mark McGwire","1,167"
"205","Jack Glasscock","1,163"
"","Jim Gilliam","1,163"
"","Billy Herman â\u0080","1,163"
"208","Paul Konerko","1,162"
"209","Alfonso Soriano","1,152"
"210","Buddy Bell","1,151"
"","Lu Blue","1,151"
"212","Lance Berkman","1,146"
"213","Ben Chapman","1,144"
"214","Steve Garvey","1,143"
"215","Joe Sewell â\u0080","1,141"
"216","John Olerud","1,139"
"217","Ron Santo â\u0080","1,138"
"218","Michael Young","1,137"
"219","Minnie MiÃ±oso","1,136"
"220","Chuck Knoblauch","1,132"
"221","Dick Bartell","1,131"
"","Orlando Cepeda â\u0080","1,131"
"","Bobby Lowe","1,131"
"224","Gary Gaetti","1,130"
"225","Buck Ewing â\u0080","1,129"
"","Shawn Green","1,129"
"","Ken Griffey, Sr.","1,129"
"228","Carlos Lee","1,125"
"","Devon White","1,125"
"230","Keith Hernandez","1,124"
"","Wally Moses","1,124"
"232","Jay Bell","1,123"
"","Reggie Smith","1,123"
"234","Brian Giles","1,121"
"235","Hardy Richardson","1,120"
"","Bill Terry â\u0080","1,120"
"237","Jack Clark","1,118"
"","Johnny Mize â\u0080","1,118"
"239","Jake Daubert","1,116"
"240","Toby Harrah","1,115"
"241","Sherry Magee","1,112"
"242","MoisÃ©s Alou","1,109"
"243","Jimmy Dykes","1,108"

