"","Name","Country","Region","Depth (meters)","Depth (feet)"
"1.","Baikal[1]","Russia","Siberia","744.4","2,442"
"2.","Tanganyika","Tanzania, Democratic Republic of the Congo, Burundi, Zambia","Africa","570","1,870"
"3.","Crater[5]","United States","Oregon","350","1,148"
"4.","Vostok[3]","Antarctica","","344","1,129"
"5.","Tahoe","United States","California, Nevada","301","989"
"6.","Adams","Canada","British Columbia","299","981"
"7.","Malawi","Mozambique, Tanzania, Malawi","","292","958"
"8.","Issyk Kul","Kyrgyzstan","","270","886"
"9.","Kivu","Democratic Republic of the Congo, Rwanda","","240","787"
"10.","Matano[8]","Indonesia","Sulawesi","240","787"
"11.","Hornindalsvatnet[8]","Norway","Sogn og Fjordane","237","778"
"12.","Toba[8]","Indonesia","Sumatra","216","707"
"13.","Karakul","Tajikistan","","210","689"
"14.","Sarez","Tajikistan","","202","662"
"15.","(Caspian Sea[2])","Iran, Russia, Turkmenistan, Kazakhstan, Azerbaijan","","184","604"
"16=","Lake Teletskoye","Russia","","174","571"
"16=","Ranau","Indonesia","Sumatra","174","571"
"18.","Slocan","Canada","British Columbia","171","561"
"19.","Azure","Canada","British Columbia","157.2","515.7"
"20.","Quesnel","Canada","British Columbia","157","515"
"21.","Ohrid","Macedonia, Albania","","155","508"
"22.","Geneva[8]","Switzerland, France","","153","502"
"23.","Singkarak","Indonesia","West Sumatra","149","489"
"24.[8]","Loch Ness","United Kingdom","Scotland","133","436"
"25.","Great Central","Canada","British Columbia","124","407"
"26.","Garibaldi","Canada","British Columbia","119","390"
"27.","Dead Sea","Jordan, Palestine, Israel","","118","387"
"28.","Titicaca","Peru, Bolivia","","107","351"
"29.","Gander","Canada","Newfoundland","105.4","346"
"30.","KauhakÅ\u008D Crater[9] [10]","United States","Hawaii","105","344"

