"Year","Name","Nationality","Citation"
"2016","Hideo Hosono","Japan","for the creation of unconventional inorganic materials with novel electronic functions based on nano-structure engineering."
"2016","Steven D. Tanksley","United States","for his contribution to modern crop breeding through research on development of molecular genetic analysis."
"2015","Yutaka Takahasi","Japan","for the contribution to development of innovative concept on river basin management and reduction of water-related disasters."
"2015","Theodore Friedmann Alain Fischer","United States France","for the proposal of the concept of gene therapy and its clinical applications."
"2014","Yasuharu Suematsu","Japan","for pioneering research on semiconductor lasers for high-capacity long-distance optical fiber communication."
"2014","C. David Allis","United States","for the discovery of histone modifications as fundamental regulators of gene expression."
"2013","C. Grant Willson Jean M. J. FrÃ©chet","United States United States","for development of chemically amplified resist polymer materials for innovative semiconductor manufacturing process.[8]"
"2013","John Frederick Grassle","United States","for contribution to marine environmental conservation through research on ecology and biodiversity of deep-sea organisms."
"2012","Janet Rowley Brian Druker Nicholas Lydon","United States United States United Kingdom","for the development of a new therapeutic drug targeting cancer-specific molecules."
"2012","Masato Sagawa","Japan","for the developing the world's highest performing Nd-Fe-B type permanent magnet and contributing to energy conservation."
"2011","Kenneth Thompson Dennis Ritchie","United States United States","for writing the Unix operating system."
"2011","Tadamitsu Kishimoto Toshio Hirano","Japan Japan","for the discovery of interleukin-6."
"2010","Shunâ\u0080\u0099ichi Iwasaki","Japan","for contributions to high-density magnetic recording technology by the development of a perpendicular magnetic recording method."
"2010","Peter Vitousek","United States","for contributions to solving global environmental issues based on the analysis of nitrogen and other substancesâ\u0080\u0099 cycles."
"2009","Dennis L. Meadows","United States","for contributions in the area of \"Transformation towards a sustainable society in harmony with nature\"."
"2009","David E. Kuhl","United States","for contributions in the area of \"Technological integration of medical science and engineering\". Specifically, tomographic imaging in nuclear medicine."
"2008","Vinton Gray Cerf Robert E. Kahn","United States United States","for the creation of network architecture and communication protocol for the Internet."
"2008","Victor A. McKusick","United States","for the establishment of medical genetics and contributions to its development."
"2007","Albert Fert Peter GrÃ¼nberg","France Germany","for the discovery of Giant Magneto-Resistance (GMR) and its contribution to development of innovative spin-electronics devices."
"2007","Peter Shaw Ashton","United Kingdom","for contributions to the conservation of tropical forest."
