"Peak","Height (m)","Prom. (m)","Grid ref.","Class","Parent",""
"Grasmoor","852","519","NY174203","Marilyn","Scafell Pike","Grasmoor"
"Crag Hill","839","117","NY192203","Hewitt","Grasmoor","Grasmoor"
"Grisedale Pike","791","189","NY198225","Marilyn","Grasmoor","Grasmoor"
"Sail","773","32","NY198202","Hewitt","Crag Hill","Grasmoor"
"Wandope","772","30","NY188197","Hewitt","Crag Hill","Grasmoor"
"Hopegill Head","770","97","NY185221","Hewitt","Grisedale Pike","Grasmoor"
"Sand Hill","756","18","NY187218","Nuttall","Hopegill Head","Grasmoor"
"Dale Head","753","397","NY223153","Marilyn","Great Gable","Grasmoor"
"Hobcarton Crag","739","37","NY193220","Hewitt","Grisedale Pike","Grasmoor"
"Robinson","737","161","NY201168","Marilyn","Dale Head","Grasmoor"
"Hindscarth","727","71","NY215165","Hewitt","Dale Head","Dale Head"
"Whiteside east top","719","39","NY175221","Hewitt","Hopegill Head","Dale Head"
"Whiteside","707","18","NY170219","Nuttall","Whiteside east top","Dale Head"
"Ladyside Pike","703","28","NY185227","Nuttall","Hopegill Head","Dale Head"
"Scar Crags","672","55","NY208206","Hewitt","Crag Hill","Dale Head"
"Whiteless Pike","660","36","NY180189","Hewitt","Crag Hill","Dale Head"
"High Spy","653","148","NY234162","Hewitt","Dale Head","Dale Head"
"Causey Pike","637","40","NY218208","Hewitt","Scar Crags","Dale Head"
"High Spy north top","634","16","NY236171","Nuttall","High Spy","Dale Head"
"Hobcarton End","634","15","NY195235","Nuttall","Grisedale Pike","Dale Head"

