"Rank","Name of Owner","Percentage Ownership"
"1","Rinascimento Global Limited","15.9"
"2","Shegas Limited","13.9"
"3","Balst Investment Holdings Limited","11.2"
"4","Amethis Finance of France","10.9"
"5","Festuca Investments Limited","9.3"
"6","German Investment Corporation (DEG)[8]","6.6"
"7","Carlo Van Wageningen","6.5"
"8","ESOP","4.3"
"9","Responsability investments \/ ResponsAbility Participations AG","3.4"
"10","Namaja Investments Limited","3.0"
"11","Other Local & International Investors","15.0"
"","Total","100.00"

