"Species","Common name","Family","Hybridization","Confirmed or putative hybridization?","Putative parental\/introgressive species","Polyploid or homoploid?","Polyploid chromosome count","References","Notes"
"Abelmoschus esculentus (L.) Moench","Okra","Malvaceae","Allopolyploid origin","Putative","Uncertain","Polyploid (tetraploid)","usually 2n=4x=130","Joshi and Hardas, 1956; Schafleitner et al., 2013","Variable ploidy"
"Actinidia deliciosa (A. Chev.) C.F.Liang & A.R.Ferguson","Kiwifruit","Actinidiaceae","Allopolyploid origin","Putative","Actinidia chinensis Planch. and Unknown","Polyploid (hexaploid)","2n=6x=174","Atkinson et al., 1997",""
"Agave fourcroydes Lem.","Henequen","Asparagaceae","Allopolyploid origin","Confirmed","Uncertain","Polyploid (usu. pentaploid, triploid)","2n=5x(3x)=150(90)","Robert et al., 2008; Hughes et al., 2007","Variable ploidy, polyploid event not recent"
"Agave sisalana Perrine","Sisal","Asparagaceae","Allopolyploid origin","Confirmed","Uncertain","Polyploid (usu. pentaploid, hexaploid)","2n=5x(6x)=150(180)","Robert et al., 2008","Variable ploidy, polyploid event not recent"
"Allium ampeloprasum L.","Great headed garlic","Amaryllidaceae","Intraspecific hybrid origin","Putative","Allium ampeloprasum L.","Homoploid","â\u0080\u0093","Guenaoui et al., 2013",""
"Allium cepa L.","Common onion","Amaryllidaceae","Interspecific hybrid origin","Putative","Uncertain: Allium vavilovii Popov & Vved., A. galanthum Kar. & Kir. or A. fistulosum L.","Homoploid","â\u0080\u0093","Gurushidze et al., 2007",""
"Allium cornutum Clementi","Triploid onion","Amaryllidaceae","Triparental allopolyploid origin","Confirmed","Allium cepa L., A. roylei Stearn, unknown","Polyploid (triploid)","2n=3x=24","Fredotovic et al., 2014",""
"Ananas comosus (L.) Merr is","Pineapple","Bromeliaceae","Interspecific introgression","Putative","Ananas ananassoides (Baker) L.B. Smith","Homoploid","â\u0080\u0093","Duval et al., 2003",""
"Annona x atemoya","Atemoya","Annonaceae","Interspecific hybrid origin","Confirmed","Annona cherimola Mill. and A. squamosa L.","?","â\u0080\u0093","Perfectti et al., 2004; Jalikop, 2010",""
"Arachis hypogaea L.","Peanut","Fabaceae","Allopolyploid origin","Confirmed","Arachis duranensis Krapov. & W.C. Greg. and A. ipaÃ«nsis Krapov. & W.C. Greg.","Polypoid (tetraploid)","2n=4x=40","Kochert et al., 1996; Bertioli et al., 2011",""
"Armoracia rusticana P.Gaertn., B.Mey. & Scherb.","Horseradish","Brassicaceae","Interspecific hybrid origin","Putative","Uncertain","?","â\u0080\u0093","Courter and Rhodes, 1969",""
"Artocarpus altilis (Parkinson ex F.A.Zorn) Fosberg","Breadfruit","Moraceae","Interspecific introgression","Putative","Artocarpus mariannensis TrÃ©cul","?","â\u0080\u0093","Zerega et al., 2005; Jones et al., 2013",""
"Avena sativa L.","Oat","Poaceae","Allopolyploid origin","Confirmed","Uncertain","Polyploid (hexaploid)","2n=6x=42","Linares et al., 1998; Oliver et al., 2013",""
"Brassica carinata A.Braun","Ethiopian mustard","Brassicaceae","Allopolyploid origin","Confirmed","Brassica oleracea L. and B. nigra (L.) K.Koch","Polyploid (tetraploid)","2n=4x=19","Arias et al., 2014",""
"Brassica juncea (L.) Czern.","Indian mustard","Brassicaceae","Allopolyploid origin","Confirmed","Brassica nigra (L.) K.Koch and B. rapa L.","Polyploid (tetraploid)","2n=4x=18","Arias et al., 2014",""
"Brassica napus L.","Rapeseed, rutabega","Brassicaceae","Allopolyploid origin","Confirmed","Brassica rapa L. and B. oleracea L.","Polyploid (tetraploid)","2n=4x=19","Arias et al., 2014",""
"Cajanus cajan (L.) Millsp.","Pigeon pea","Fabaceae","Intraspecific introgression, interspecific introgression","Putative","Wild Cajanus cajan and other species","Homoploid","â\u0080\u0093","Kassa et al., 2012",""
"Cannabis sativa L.","Hemp","Cannabaceae","Intraspecific introgression","Putative","Cannabis sativa L. 'Indica' and 'Sativa' types","Homoploid","â\u0080\u0093","de Meijer and van Soest, 1992",""
"Carica pentagona Heilborn","Babaco","Caricaceae","Interspecific hybrid origin","Confirmed","Uncertain (Carica stipulata V.M.Badillo, Vasconcellea pubescens A.DC., Vasconcellea weberbaueri (Harms) V.M. Badillo)","?","â\u0080\u0093","Van Droogenbroeck et al., 2002; Van Droogenbroeck et al., 2006",""
"Carya illinoinensis (Wangenh.) K.Koch","Pecan","Juglandaceae","Interspecific hybrid origin","Putative","Uncertain","?","â\u0080\u0093","Grauke et al., 2011",""
"Castanea dentata (Marshall) Borkh","Chestnut","Fagaceae","Interspecific introgression","Confirmed","Castanea pumila (L.) Mill.","Homoploid","â\u0080\u0093","Li and Dane, 2013","Also ongoing efforts to introgress blight resistance from Castanea mollissima Blume (see Jacobs et al., 2013)"
"Castanea sativa Mill.","Chestnut","Fagaceae","Intraspecific introgression","Confirmed","Castanea sativa Eurosiberian and Mediterranean populations","Homoploid","â\u0080\u0093","Villani et al., 1999; Mattioni et al., 2013",""
"Chenopodium quinoa Willd.","Quinoa","Chenopodiaceae","Allopolyploid origin","Putative","Uncertain","Polyploid (tetraploid)","â\u0080\u0093","Heiser, 1974; Ward, 2000; Maughan et al., 2004",""
"Cicer arietinum L.","Chickpea (pea-shaped)","Fabaceae","Intraspecific hybrid origin","Putative","Cicer arietinum L. Desi and Kabuli Germplasm","?","â\u0080\u0093","Upadhyaya et al., 2008; Keneni et al., 2011",""
"Cichorium intybus L.","Radicchio","Asteraceae","Interspecific introgression","Confirmed","Wild Cichorium intybus L.","Homoploid","â\u0080\u0093","Kiaer et al., 2009",""
"Citrus aurantiifolia (Christm.) Swingle","Key lime","Rutaceae","Interspecific hybrid origin","Confirmed","Citrus medica L. and C. subg. Papeda","?","â\u0080\u0093","Ollitrault and Navarro, 2012; Penjor et al., 2014; Nicolosi et al., 2000; Moore, 2001",""
"Citrus aurantium L.","Sour oranges","Rutaceae","Interspecific hybrid origin","Confirmed","Citrus maxima (Burm.) and C. reticulata Blanco","?","â\u0080\u0093","Wu et al., 2014; Moore, 2001",""
"Citrus clementina hort.","Clementine","Rutaceae","Interspecific hybrid origin","Confirmed","Citrus sinensis (L.) Osbeck and C. reticulata Blanco","?","â\u0080\u0093","Wu et al., 2014",""
"Citrus limon (L.) Osbeck","Lemon, lime","Rutaceae","Interspecific hybrid origin","Confirmed","Citrus medica L., C. aurantiifolia (Christm.) Swingle, and uncertain","?","â\u0080\u0093","Nicolosi et al., 2000; Moore, 2001",""
"Citrus paradisi Macfad.","Grapefruit","Rutaceae","Interspecific hybrid origin","Confirmed","Citrus sinensis (L.) Osbeck and C. maxima (Burm.)","?","â\u0080\u0093","Wu et al., 2014; Moore, 2001",""
"Citrus reticulata Blanco","Mandarin","Rutaceae","Interspecific introgression","Confirmed","Citrus maxima (Burm.)","?","â\u0080\u0093","Wu et al., 2014",""
"Citrus sinensis (L.) Osbeck","Sweet orange (blood, common)","Rutaceae","Interspecific hybrid origin","Confirmed","Uncertain","?","â\u0080\u0093","Wu et al., 2014; Moore, 2001",""
"Cocos nucifera L.","Coconut","Arecaceae","Intraspecific introgression","Confirmed","Cocos nucifera L. Indo-Atlantic and Pacific lineages","Homoploid","â\u0080\u0093","Gunn et al., 2011",""
"Coffea arabica L.","Coffee","Rubiaceae","Allopolyploid origin","Confirmed","Coffea eugenioides S.Moore and C. canephora Pierre ex A.Froehner","Polyploid (tetraploid)","2n=4x=44","Lashermes et al., 1999",""
"Corylus avellana L.","Hazelnut","Betulaceae","Intraspecific introgression","Confirmed","Wild Corylus avellana L. in Southern Europe","Homoploid","â\u0080\u0093","Campa et al., 2011; Boccacci et al., 2013",""
"Cucurbita pepo L.","Winter squash, pumpkin","Cucurbitaceae","Intraspecific introgression","Putative","Cucurbita pepo var. texana (Scheele) D.S.Decker","Homploid","â\u0080\u0093","Kirkpatrick and Wilson, 1988",""
"Daucus carota subsp. sativus (Hoffm.) Arcang.","Carrot","Apiaceae","Intraspecific introgression","Confirmed","Daucus carota L. subsp. carota","Homoploid","â\u0080\u0093","Iorizzo et al., 2013; Simon, 2000",""
"Dioscorea L. spp.","Yam","Dioscoreaceae","Interspecific hybrid origin, introgression","Putative","Uncertain","Variable","â\u0080\u0093","Terauchi et al., 1992; Dansi et al., 1999; Bhattacharjee et al., 2011; Mignouna et al., 2002","Multiple species of putative hybrid (perhaps allopolyploid) origin including Dioscorea cayennensis subsp. rotundata (Poir.) J.MiÃ¨ge. and D. cayennensis Lam."
"Diospyros kaki L.f.","Persimmon","Ebenaceae","Allopolyploid origin","Putative","Uncertain","Polyploid (hexaploid)","Yonemori et al., 2008",""
"Ficus carica L.","Fig","Moraceae","Interspecific introgression","Putative","Uncertain","?","Aradhya et al., 2010",""
"Fragaria ananassa (Duchesne ex Weston) Duchesne ex Rozier","Strawberries","Rosaceae","Interspecific hybrid origin","Confirmed","Fragaria virginiana Mill. (octoploid), F. chiloensis (L.) Mill. (octoploid)","Homoploid relative to parentals (octoploid)","2n=8x=56 Evans, 1977; Hirakawa et al., 2014","Uncertain which species formed the octoploid progenitors"
"Garcinia mangostana L.","Mangosteen","Clusiaceae","Allopolyploid origin","Putative","Garcinia celebica L. and G. malaccensis Hook.f. ex T.Anderson","Polyploid (tetraploid)","? Richards, 1990","Recent work shows this may not be of hybrid origin (Nazre, 2014)"
"Gossypium hirsutum L.","Upland cotton","Malvaceae","hybrid origin","Confirmed","Uncertain, referred to as 'A' and 'D'","Polyploid (formed <1MYA)","2n =4x=52 Wendel and Cronn 2003","Polyploidization likely led to agronomically significant traits (Applequist et al., 2001)"
"Hibiscus sabdariffa L.","Roselle","Malvaceae","Allopolyploid origin","Putative","Uncertain","Polyploid (tetraploid)","2n=4x=72 Menzel and Wilson, 1966; Satya et al., 2013",""
"Hordeum vulgare L.","Barley","Poaceae","Introgression","Confirmed","Hordeum spontaneum K.Koch","Homoploid","Badr et al., 2000; Dai et al., 2012",""
"Humulus lupulus L.","Hops","Cannabaceae","Intraspecific introgression","Confirmed","Humulus lupulus L. North American and European Germplasm","Homoploid","Reeves and Richards, 2011; Stajner et al., 2008; Seefelder et al., 2000",""
"Ipomoea batatas (L.) Lam.","Sweet potato","Convolvulaceae","Intraspecific introgression; Interspecific introgression?","Putative","Ipomoea batatas (L.) Lam. Central American and South American Germplasm","Homoploid relative to parentals","Roullier et al., 2013",""
"Juglans regia L.","Walnut","Juglandaceae","Interspecific hybridization","Confirmed","Juglans sigillata Dode","Homoploid","Gunn et al., 2010",""
"Lactuca sativa L.","Lettuce","Asteraceae","Intraspecific hybrid origin","Putative","Lactuca serriola L. and other L. spp.","Homoploid","de Vries, 1997",""
"Lagenaria siceraria (Molina) Standl.","Bottle Gourd","Cucurbitaceae","Intraspecific introgression","Confirmed","Lagenaria siceraria (Molina) Standl. African\/American and Asian Germplasm","Homoploid","Clarke et al., 2006",""
"Lens culinaris Medik. ssp. culinaris","Lentil","Fabaceae","Intraspecific introgression","Putative","Wild lentil, Lens culinaris subsp. orientalis (Boiss.) Ponert","Homoploid","Erskine et al., 2011",""
"Macadamia integrifolia Maiden & Betche","Macadamia","Proteaceae","Interspecific hybrid origin, interspecific introgression","Confirmed","Macadamia tetraphylla L.A.S.Johnson, and other M. spp.","Homoploid","Hardner et al., 2009; Steiger et al., 2003; Aradhya et al., 1998",""
"Malus domestica Borkh.","Apple","Rosaceae","Interspecific hybrid origin","Confirmed","Malus sieversii (Ledeb.) M.Roem., M. sylvestris (L.) Mill., and possibly others","Homoploid","Cornille et al., 2012",""
"Mentha piperita L.","Peppermint","Lamiaceae","Allopolyploid origin","Confirmed","Mentha aquatica L. and M. spicata L.","Polyploid (12-ploid)","2n=12x=66 or 72 Harley and Brighton, 1977; Gobert et al., 2002",""
"Musa paradisiaca L.","Banana","Musaceae","Allopolyploid origin","Confirmed","Musa acuminata Colla, M. balbisiana Colla","Polyploid (usually triploid)","2n=3x=33 Simmonds and Shepherd, 1955; Heslop-Harrison and Schwarzacher, 2007; De Langhe et al., 2010",""
"Nicotiana tabacum L.","Tobacco","Solanaceae","Allopolyploid origin","Confirmed","Uncertain (Nicotiana sylvestris Speg. & S. Comes and N. tomentosiformis Goodsp.)","Polyploid (tetraploid)","2n=4x=48 Kenton et al., 1993; Murad et al., 2002",""
"Olea europaea L.","Olive","Oleaceae","Intraspecific introgression","Putative","Wild Olea europaea L., Eastern and Western Germplasm","Homoploid","Kaniewski et al., 2012; Besnard et al., 2013; Breton et al., 2006; Rubio de Casas et al., 2006; Besnard et al., 2007; Besnard et al., 2000",""
"Opuntia L. spp.","Opuntia","Cactaceae","Interspecific hybrid origin, Allopolyploid origin","Putative","Including Opuntia ficus-indica (L.) Mill.","Polyploid, homoploid","Hughes et al., 2007; Griffith, 2004",""
"Oryza sativa L.","Rice","Poaceae","Intraspecific introgression, interspecific introgression","Putative","Oryza sativa L. 'Japonica' and 'Indica' Germplasm, Oryza rufipogon Griff.","Homoploid","Caicedo et al., 2007; Gao and Innan, 2008",""
"Oxalis tuberosa Molina","Oca","Oxalidaceae","Allopolyploid origin","Putative","Uncertain","Polyploid (octaploid)","2n=8x=64 Emswhiller and Doyle, 2002; Emshwiller 2002; Emswhiller et al., 2009",""
"Pennisetum glaucum (L.) R.Br.","Pearl millet","Poaceae","Intraspecific introgression","Confirmed","Wild Pennisetum glaucum (L.) R.Br.","Homoploid","Oumar et al., 2008",""
"Persea americana Mill.","Avocado (Hass and other cultivars)","Lauraceae","Intraspecific introgression","Confirmed","Persea americana Mill. 'Guatamalensis', 'Drymifolia', and' Americana'","Homoploid","Chen et al., 2008; Davis et al., 1998; Ashworth and Clegg, 2003; Douhan et al., 2011",""
"Phoenix dactylifera L.","Date palm","Arecaceae","Interspecific hybrid origin","Putative","Uncertain","Homoploid","El Hadrami et al., 2011; Bennaceur et al., 1991",""
"Piper methysticum G.Forst.","Kava","Piperaceae","Allopolyploid origin","Putative","Piper wichmannii C. DC. and P. gibbiflorum C.DC.","Polyploid (decaploid)","2n=10x=130 Singh, 2004; Lebot et al., 1991",""
"Pistacia vera L.","Pistachio","Anacardiaceae","Interspecific introgression","Putative","Pistacia atlantica Desf., P. chinensis subsp. integerrima (J. L. Stewart ex Brandis) Rech. f.","Homoploid","Kafkas et al., 2001",""
"Pisum abyssinicum A.Braun","Pea","Fabaceae","Interspecific hybrid origin","Confirmed","Uncertain (Pisum fulvum Sibth. & Sm. and other P. spp.)","Homoploid","Vershinin et al., 2003",""
"Pisum sativum L.","Pea","Fabaceae","Interspecific hybrid origin","Confirmed","Uncertain (Pisum sativum subsp. elatius (M.Bieb.) Asch. & Graebn. and other P. spp.)","Homoploid","Vershinin et al., 2003",""
"Plinia cauliflora (Mart.) Kausel","Jaboticaba","Myrtaceae","Intraspecific hybridization, interspecific hybridization","Putative","Plinia 'Jaboticaba' and 'Cauliflora' Germplasm; P. peruviana (Poir.) Govaerts","Homoploid","Balerdi et al., 2006",""
"Prunus cerasus L.","Cherry","Rosaceae","Allopolyploid origin","Confirmed","Prunus avium (L.) L. and P. fruticosa Pall.","Polyploid (tetraploid)","2n=4x=32 Tavaud et al., 2004; Olden and Nybom, 1968",""
"Prunus domestica L.","Plum","Rosaceae","Allopolyploid origin","Confirmed","Uncertain (P. cerasifera Ehrh. and P. spinosa L.)","Polyploid (hexaploid)","2n=6x=48 Zohary, 1992; Hartmann and Neumuller, 2009","Japanese plum is also of hybrid origin (see Hartmann and Neumuller 2009). Also hybridizes with other cultivated Prunus spp."
"Prunus dulcis (Mill.) D.A.Webb","Almond","Rosaceae","Interspecific introgression","Confirmed","Prunus orientalis (Mill.) Koehne and other P. spp.","Homoploid","Delplancke et al., 2012; Delplancke et al., 2013",""
"Pyrus L. species","Pear","Rosaceae","Interspecific hybrid origin","Confirmed","Many species","Homoploid","Silva et al., 2014","Also introgression with semidomesticated populations (see Iketani et al. 2009)"
"Raphanus raphanistrum subsp. sativus (L.) Domin","Radish","Brassicaceae","Intraspecific introgression","Confirmed","Raphanus raphanistrum L. subsp. raphanistrum","Homoploid","Ridley et al., 2008",""
"Rheum L. cultivated species","Rhubarb","Polygonaceae","Interspecific hybrid origin","Putative","Unclear","Homoploid relative to parentals (tetraploid)","Foust and Marshall, 1991; Kuhl and Deboer, 2008","Hybrids include: Rheum rhaponticum L., R. rhabarbarum L., R. palmatum L."
"Rubus L. spp.","Red raspberry, blackberry, tayberry, boysenberry, etc.","Rosaceae","Allopolyploid origin, interspecific hybridization","Confirmed","Many","Polyploid","Alice et al., 2014; Alice and Campbell, 1999",""
"Saccharum spp.","Sugarcane","Poaceae","Allopolyploid origin","Confirmed","Saccharum officinarum L. and S. spontaneum L.","Polyploid","Variable, 2n=10-13x=100-130 Grivet et al., 1995; D'Hont et al., 1996",""
