"Common name","Binomial name","Population","Status","Trend","Notes","Image"
"Makira woodhen","Gallinula silvestris","50[1]","CR[1]","Unknown[1]","Maximum estimate; possibly extinct.[1]",""
"New Caledonian rail","Gallirallus lafresnayanus","50[2]","CR[2]","Unknown[2]","Maximum estimate; possibly extinct.[2]",""
"Samoan wood rail","Gallinula pacifica","50[3]","CR[3]","Unknown[3]","Maximum estimate; possibly extinct.[3]",""
"Plain-flanked rail","Rallus wetmorei","50 â\u0080\u0093 249[4]","EN[4]","[4]","",""
"Zapata rail","Cyanolimnas cerverai","70 â\u0080\u0093 400[5]","CR[5]","[5]","",""
"Lord Howe woodhen","Gallirallus sylvestris","220 â\u0080\u0093 230[6]","EN[6]","[6]","Endemic to Lord Howe Island.[6]",""
"Great Indian bustard","Ardeotis nigriceps","300[7]","CR[7]","[7]","",""
"TakahÄ\u0093","Porphyrio hochstetteri","340- 350[8]","EN[8]","[8]","",""
"Bengal florican","Houbaropsis bengalensis","350 â\u0080\u0093 1500[9]","CR[9]","[9]","",""
"Kagu","Rhynochetos jubatus","350 â\u0080\u0093 1500[10]","EN[10]","[10]","",""
"Rusty-flanked crake","Laterallus levraudi","350 â\u0080\u0093 1500[11]","EN[11]","[11]","",""
"Slender-billed flufftail","Sarothrura watersi","350 â\u0080\u0093 1500[12]","EN[12]","[12]","",""
"Whooping crane","Grus americana","382[13]","EN[13]","[13]","Number refers to wild population only, of which 266 are considered self-sustaining.[13]",""
"Okinawa rail","Gallirallus okinawae","720[14]","EN[14]","[14]","",""
"Buff-breasted buttonquail","Turnix olivii","750[15]","EN[15]","[15]","",""
"White-winged flufftail","Sarothrura ayresi","865 â\u0080\u0093 880[16]","EN[16]","[16]","",""
"Madagascan wood rail","Canirallus kioloides","1000 â\u0080\u0093 2000[17]","LC[17]","[17]","",""
"Junin crake","Laterallus tuerosi","1000 â\u0080\u0093 2499[18]","EN[18]","[18]","",""
"Masked finfoot","Heliopais personatus","1000 â\u0080\u0093 2499[19]","EN[19]","[19]","",""
"Talaud rail","Gymnocrex talaudensis","1000 â\u0080\u0093 2499[20]","EN[20]","[20]","",""
"Chestnut-headed flufftail","Sarothrura lugens","1000 â\u0080\u0093 10 000[21]","LC[21]","[21]","",""
"Spotted rail","Pardirallus maculatus","1000 â\u0080\u0093 10 000[22]","LC[22]","Unknown[22]","",""
"Streaky-breasted flufftail","Sarothrura boehmi","1000 â\u0080\u0093 10 000[23]","LC[23]","[23]","",""
"BogotÃ¡ rail","Rallus semiplumbeus","1500 â\u0080\u0093 4000[24]","EN[24]","[24]","",""
"Brown wood rail","Aramides wolfi","1500 â\u0080\u0093 4000[25]","VU[25]","[25]","Preliminary estimate.[25]",""
"Hawaiian coot","Fulica alai","2000 â\u0080\u0093 4000[26]","VU[26]","[26]","",""
"Lesser florican","Sypheotides indicus","2200[27]","EN[27]","[27]","",""
"Madagascan rail","Rallus madagascariensis","2500 â\u0080\u0093 10 000[28]","VU[28]","[28]","",""
"Pink-legged rail","Gallirallus insignis","2500 â\u0080\u0093 9999[29]","NT[29]","[29]","",""
"Rouget's rail","Rougetius rougetii","2500 â\u0080\u0093 9999[30]","NT[30]","[30]","",""
"Roviana rail","Gallirallus rovianae","2500 â\u0080\u0093 9999[31]","NT[31]","[31]","",""
"Red-crowned crane","Grus japonensis","2750[32]","EN[32]","[32]","",""
"Clapper rail","Rallus longirostris","3500 â\u0080\u0093 3700[33]","LC[33]","[33]","",""
"Auckland rail","Lewinia muelleri","3500 â\u0080\u0093 4000[34]","VU[34]","[34]","Estimate is for mature population only.[34]",""
"Siberian crane","Leucogeranus leucogeranus","3500 â\u0080\u0093 4000[35]","CR[35]","[35]","Western subpopulation is 4.[35]",""
"Blue-faced rail","Gymnocrex rosenbergii","3500 â\u0080\u0093 15 000[36]","VU[36]","[36]","",""
"Brown mesite","Mesitornis unicolor","3500 â\u0080\u0093 15 000[37]","VU[37]","[37]","",""
"Dot-winged crake","Porzana spiloptera","3500 â\u0080\u0093 15 000[38]","VU[38]","[38]","",""
"Invisible rail","Habroptila wallacii","3500 â\u0080\u0093 15 000[39]","VU[39]","[39]","",""
"Rufous-faced crake","Laterallus xenopterus","3500 â\u0080\u0093 15 000[40]","VU[40]","[40]","Preliminary estimate.[40]",""
"Sakalava rail","Amaurornis olivieri","3500 â\u0080\u0093 15 000[41]","EN[41]","[41]","",""
"Snoring rail","Aramidopsis plateni","3500 â\u0080\u0093 15 000[42]","VU[42]","[42]","",""
"Sumba buttonquail","Turnix everetti","3500 â\u0080\u0093 15 000[43]","VU[43]","[43]","",""
"Swinhoe's rail","Coturnicops exquisitus","3500 â\u0080\u0093 15 000[44]","VU[44]","[44]","",""
"Talaud bush-hen","Amaurornis magnirostris","3500 â\u0080\u0093 15 000[45]","VU[45]","[45]","",""
"Calayan rail","Gallirallus calayanensis","3800 â\u0080\u0093 6500[46]","VU[46]","[46]","",""
"White-throated rail","Dryolimnas cuvieri","5100 â\u0080\u0093 7500[47]","LC[47]","[47]","",""
"White-naped crane","Grus vipio","5500 â\u0080\u0093 6500[48]","VU[48]","[48]","",""
"Wattled crane","Bugeranus carunculatus","6000 â\u0080\u0093 8000[49]","VU[49]","[49]","",""
"Black-breasted buttonquail","Turnix melanogaster","7500[50]","NT[50]","[50]","",""
"White-breasted mesite","Mesitornis variegatus","8000[51]","VU[51]","[51]","Minimum estimate.[51]",""
"Inaccessible Island rail","Atlantisia rogersi","8400[52]","VU[52]","[52]","",""
"Red-eyed crake","Porzana atra","9300[53]","VU[53]","[53]","",""
"Horned coot","Fulica cornuta","10 000 â\u0080\u0093 19 999[54]","NT[54]","[54]","",""
"Woodford's rail","Nesoclopeus woodfordi","10 000 â\u0080\u0093 19 999[55]","NT[55]","[55]","",""
"Andaman crake","Rallina canningi","10 000 â\u0080\u0093 25 000[56]","NT[56]","[56]","",""
"Austral rail","Rallus antarcticus","10 000 â\u0080\u0093 25 000[57]","VU[57]","[57]","",""
"Yellow rail","Coturnicops noveboracensis","10 000 â\u0080\u0093 25 000[58]","LC[58]","[58]","",""
"White-breasted waterhen","Amaurornis phoenicurus","10 000 â\u0080\u0093 100 000[59]","LC[59]","Unknown[59]","",""
"Black-necked crane","Grus nigricollis","10 070 â\u0080\u0093 10 970[60]","VU[60]","[60]","",""
"Hooded crane","Grus monacha","11 600[61]","VU[61]","[61]","",""
"Blue korhaan","Eupodotis caerulescens","12 000 â\u0080\u0093 15 000[62]","NT[62]","[62]","",""
"Gough moorhen","Gallinula nesiotis","13 000 â\u0080\u0093 14 000[63]","VU[63]","[63]","",""
"Sarus crane","Grus antigone","19 000 â\u0080\u0093 21 800[64]","VU[64]","[64]","",""
"Galapagos crake","Laterallus spilonotus","20 000 â\u0080\u0093 49 999[65]","VU[65]","[65]","",""
"Ruddy crake","Laterallus ruber","20 000 â\u0080\u0093 49 999[66]","LC[66]","Unknown[66]","",""
"Uniform crake","Amaurolimnas concolor","20 000 â\u0080\u0093 49 999[67]","LC[67]","[67]","",""
"Yellow-breasted crake","Porzana flaviventer","20 000 â\u0080\u0093 49 999[68]","LC[68]","Unknown[68]","",""
"Blue crane","Anthropoides paradiseus","25 580[69]","VU[69]","[69]","Minimum estimate.[69]",""
"Black crowned crane","Balearica pavonina","43 000 â\u0080\u0093 70 000[70]","VU[70]","[70]","Divided into two subspecies: B. p. pavonina (15 000) & B. p. ceciliae (28 000 â\u0080\u0093 55 000).[70]",""
"Great bustard","Otis tarda","44 000 â\u0080\u0093 57 000[71]","VU[71]","[71]","",""
"Crested crane","Balearica regulorum","50 000 â\u0080\u0093 64 000[72]","EN[72]","[72]","Numbers are from 2004; considered too high due to the rapidly decreasing population.[72]",""
"Rufous-necked wood rail","Aramides axillaris","50 000 â\u0080\u0093 499 999[73]","LC[73]","Unknown[73]","",""
"Ludwig's bustard","Neotis ludwigii","56 000 â\u0080\u0093 81 000[74]","EN[74]","[74]","Population may be lower due to an apparent recent spate of power-line collisions.[74]",""
"Subdesert mesite","Monias benschi","98 000 â\u0080\u0093 152 000[75]","VU[75]","[75]","",""
"Australian bustard","Ardeotis australis","100 000[76]","LC[76]","[76]","Maximum estimate.[76]",""
"Houbara bustard","Chlamydotis undulata","106 000 â\u0080\u0093 110 000[77]","VU[77]","[77]","Preliminary estimate.[77]",""
"Weka","Gallirallus australis","107 000 â\u0080\u0093 177 000[78]","VU[78]","[78]","Divided into four subspecies: G. a. australis (50 000 â\u0080\u0093 100 000), G. a. greyi (~11 000), G. a. hectori (38 000 â\u0080\u0093 58 000), & G. a. scotti (<8000)[78]",""
"Demoiselle crane","Anthropoides virgo","230 000 â\u0080\u0093 280 000[79]","LC[79]","[79]","Minimum estimate.[79]",""
"Little bustard","Tetrax tetrax","260 000[80]","NT[80]","[80]","Minimum estimate.[80]",""
"Common crane","Grus grus","360 000 â\u0080\u0093 370 000[81]","LC[81]","Unknown[81]","",""
"Sunbittern","Eurypyga helias","500 000 â\u0080\u0093 4 999 999[82]","LC[82]","[82]","",""
"Sungrebe","Heliornis fulica","500 000 â\u0080\u0093 4 999 999[83]","LC[83]","Unknown[83]","",""
"Black crake","Amaurornis flavirostra","1 000 000[84]","LC[84]","Unknown[84]","",""
"Limpkin","Aramus guarauna","1 000 000[85]","LC[85]","[85]","",""
"Red-gartered coot","Fulica armillata","1 000 000[86]","LC[86]","Unknown[86]","",""
"White-winged coot","Fulica leucoptera","1 000 000[87]","LC[87]","[87]","",""
"Plumbeous rail","Pardirallus sanguinolentus","1 000 000 â\u0080\u0093 2 000 000[88]","LC[88]","[88]","",""
"Common moorhen","Gallinula chloropus","3 900 000 â\u0080\u0093 8 100 000[89]","LC[89]","Unknown[89]","",""
"Grey-necked wood rail","Aramides cajaneus","5 000 000 â\u0080\u0093 50 000 000[90]","LC[90]","[90]","",""
