"Name","Lifetime","Genre","Notable works"
"Brendan Gall","","playwright, screenwriter","Wide Awake Hearts"
"Mavis Gallant","1922â\u0080\u00932014","short stories","From the Fifteenth District, Home Truths, Paris Notebooks"
"Steven Galloway","","novelist","The Cellist of Sarajevo"
"FranÃ§ois-Xavier Garneau","1809â\u0080\u00931866","historian","History of Canada : from the time of its discovery till the union year"
"Saint-Denys Garneau","1912â\u0080\u00931943","poet","Regards et jeux dans l'espace"
"Hugh Garner","1913â\u0080\u00931979","novelist","Cabbagetown"
"Elyse Gasco","b. 1967","short stories","Can You Wave Bye Bye, Baby?"
"Bill Gaston","b. 1953","novelist, short stories","The Order of Good Cheer, Mount Appetite"
"C. E. Gatchalian","b. 1974","playwright","Motifs & Repetitions, Falling in Time"
"Connie Gault","b. 1949","playwright, novelist, short stories","Sky, Euphoria, A Beauty"
"Pauline Gedge","b. 1945","novelist","Stargate, House of Illusions"
"Camilla Gibb","b. 1968","novelist","Sweetness in the Belly"
"John Murray Gibbon","1875â\u0080\u00931952","non-fiction novelist","Canadian Mosaic"
"Douglas Gibson","b. 1943","editor, publisher, memoirist","Stories About Storytellers: Publishing Alice Munro, Robertson Davies, Alistair MacLeod, Pierre Trudeau, and Others"
"Graeme Gibson","b. 1934","novelist","Five Legs, Perpetual Motion"
"Margaret Gibson","1948â\u0080\u00932006","novelist, short story writer","The Butterfly Ward, Opium Dreams"
"William Gibson","b. 1948","science fiction","Neuromancer, All Tomorrow's Parties"
"Sky Gilbert","b. 1952","playwright","Brother Dumb, Drag Queens in Outer Space"
"Charlotte Gill","","short stories, non-fiction","Ladykiller, Eating Dirt: Deep Forests, Big Timber, and Life with the Tree-Planting Tribe"
"John Patrick Gillese","1926â\u0080\u00931999","novelist, short stories","Kirby's Gander"
"David Gilmour","b. 1949","novelist","A Perfect Night to Go to China"
"Joanna Glass","b. 1936","playwright","If We Are Women, Trying"
